Column1,Column2,Column3,Column4,Column5,Column6
2017-2018,Apertura,  Domingo 30 de Julio de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 1-n30 Julio 2017 - 1030 hrs,  5 - 2,  El Barrial,  81177-rayados-de-monterrey-vs-necaxa
2017-2018,Apertura,  Viernes 4 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n4 Agosto 2017 - 1000 hrs,  0 - 2,  Nou Camp,  81180-leon-vs-rayados-de-monterrey
2017-2018,Apertura,  Viernes 4 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n4 Agosto 2017 - 1600 hrs,  0 - 5,  Ciudad De Los Deportes,  81183-cruz-azul-vs-america
2017-2018,Apertura,  Viernes 4 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n4 Agosto 2017 - 1600 hrs,  0 - 1,  Instalaciones Casa Club Necaxa Cancha 5 Sintetica,  81186-necaxa-vs-queretaro
2017-2018,Apertura,  Sabado 5 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n5 Agosto 2017 - 1230 hrs,  3 - 2,  Club Atlas Chapalita,  81195-atlas-vs-santos-laguna
2017-2018,Apertura,  Sabado 5 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n5 Agosto 2017 - 1200 hrs,  2 - 0,  Caliente,  81200-tijuana-vs-m-morelia
2017-2018,Apertura,  Sabado 5 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n5 Agosto 2017 - 1600 hrs,  1 - 1,  La Cantera,  81197-pumas-vs-toluca
2017-2018,Apertura,  Sabado 5 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n5 Agosto 2017 - 1800 hrs,  0 - 2,  Luis Pirata Fuente,  81189-veracruz-vs-pachuca
2017-2018,Apertura,  Sabado 5 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 2-n5 Agosto 2017 - 2115 hrs,  2 - 0,  Universitario,  81192-tigres-de-la-uanl-vs-guadalajara
2017-2018,Apertura,  Viernes 11 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n11 Agosto 2017 - 1000 hrs,  3 - 0,  Hidalgo,  81203-pachuca-vs-tijuana
2017-2018,Apertura,  Viernes 11 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n11 Agosto 2017 - 1200 hrs,  1 - 2,  Nemesio Diez,  81209-toluca-vs-america
2017-2018,Apertura,  Viernes 11 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n11 Agosto 2017 - 1700 hrs,  1 - 3,  Nou Camp,  81206-leon-vs-atlas
2017-2018,Apertura,  Sabado 12 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n12 Agosto 2017 - 0900 hrs,  0 - 6,  Cancha Alterna TSM Cancha 2 Sintetica,  81212-santos-laguna-vs-tigres-de-la-uanl
2017-2018,Apertura,  Sabado 12 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n12 Agosto 2017 - 1100 hrs,  1 - 0,  Verde Valle,  81214-guadalajara-vs-necaxa
2017-2018,Apertura,  Sabado 12 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n12 Agosto 2017 - 1230 hrs,  0 - 1,  Jose Mari­a Morelos y Pavon,  81219-m-morelia-vs-cruz-azul
2017-2018,Apertura,  Sabado 12 de Agosto de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 3-n12 Agosto 2017 - 1600 hrs,  3 - 0,  La Cantera,  81220-pumas-vs-veracruz
