Column1,Column2,Column3,Column4,Column5,Column6
2018-2019,Clausura,  Viernes 19 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nJornada 18-n19 Abril 2019 - 1800 hrs,  3 - 2,  Estadio BBVA Bancomer,  95667-rayados-de-monterrey-vs-santos-laguna
2018-2019,Clausura,  Sabado 20 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nJornada 18-n20 Abril 2019 - 1200 hrs,  1 - 0,  Cancha Centenario No 5 (Natural) Instalaciones Club America,  95665-america-vs-lobos
2018-2019,Clausura,  Domingo 21 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nJornada 18-n21 Abril 2019 - 1200 hrs,  1 - 0,  Cuauhtemoc,  95656-puebla-fc-vs-pumas
2018-2019,Clausura,  Domingo 21 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nJornada 18-n21 Abril 2019 - 1230 hrs,  3 - 1,  Verde Valle,  95659-guadalajara-vs-queretaro
2018-2019,Clausura,  Lunes 22 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nJornada 18-n22 Abril 2019 - 1600 hrs,  2 - 3,  Jose Mari­a Morelos y Pavon,  95661-m-morelia-vs-leon
2018-2019,Clausura,  Lunes 22 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nJornada 18-n22 Abril 2019 - 1800 hrs,  2 - 3,  Nemesio Diez,  95663-toluca-vs-pachuca
2018-2019,Clausura,  Miercoles 24 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Ida-n24 Abril 2019 - 1600 hrs,  1 - 2,  La Cantera Cancha 1,  97966-pumas-vs-rayados-de-monterrey
2018-2019,Clausura,  Jueves 25 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Ida-n25 Abril 2019 - 1700 hrs,  0 - 1,  Colomos,  97969-atlas-vs-pachuca
2018-2019,Clausura,  Jueves 25 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Ida-n25 Abril 2019 - 1900 hrs,  1 - 2,  Cuauhtemoc,  97968-puebla-fc-vs-tigres-de-la-uanl
2018-2019,Clausura,  Jueves 25 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Ida-n25 Abril 2019 - 2100 hrs,  0 - 1,  Nou Camp,  97967-leon-vs-america
2018-2019,Clausura,  Sabado 27 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Vuelta-n27 Abril 2019 - 2106 hrs,  3 - 0,  Estadio BBVA Bancomer,  97970-rayados-de-monterrey-vs-pumas
2018-2019,Clausura,  Domingo 28 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Vuelta-n28 Abril 2019 - 1600 hrs,  1 - 1,  Azteca,  97971-america-vs-leon
2018-2019,Clausura,  Lunes 29 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Vuelta-n29 Abril 2019 - 1900 hrs,  1 - 1,  Hidalgo,  97973-pachuca-vs-atlas
2018-2019,Clausura,  Lunes 29 de Abril de 2019-nTemporada 2018-2019-nTorneo Clausura-nCuartos Vuelta-n29 Abril 2019 - 2000 hrs,  2 - 0,  Universitario,  97972-tigres-de-la-uanl-vs-puebla-fc
2018-2019,Clausura,  Jueves 2 de Mayo de 2019-nTemporada 2018-2019-nTorneo Clausura-nSemifinal Ida-n2 Mayo 2019 - 2100 hrs,  2 - 0,  Universitario,  97983-tigres-de-la-uanl-vs-america
2018-2019,Clausura,  Viernes 3 de Mayo de 2019-nTemporada 2018-2019-nTorneo Clausura-nSemifinal Ida-n3 Mayo 2019 - 1900 hrs,  3 - 2,  Hidalgo,  97982-pachuca-vs-rayados-de-monterrey
2018-2019,Clausura,  Domingo 5 de Mayo de 2019-nTemporada 2018-2019-nTorneo Clausura-nSemifinal Vuelta-n5 Mayo 2019 - 1600 hrs,  1 - 3,  Azteca,  97985-america-vs-tigres-de-la-uanl
2018-2019,Clausura,  Lunes 6 de Mayo de 2019-nTemporada 2018-2019-nTorneo Clausura-nSemifinal Vuelta-n6 Mayo 2019 - 2100 hrs,  1 - 0,  Estadio BBVA Bancomer,  97984-rayados-de-monterrey-vs-pachuca
2018-2019,Clausura,  Viernes 10 de Mayo de 2019-nTemporada 2018-2019-nTorneo Clausura-nFinal Ida-n10 Mayo 2019 - 2100 hrs,  1 - 1,  Universitario,  98100-tigres-de-la-uanl-vs-rayados-de-monterrey
2018-2019,Clausura,  Lunes 13 de Mayo de 2019-nTemporada 2018-2019-nTorneo Clausura-nFinal Vuelta-n13 Mayo 2019 - 2000 hrs,  1 - 2,  Estadio BBVA Bancomer,  98101-rayados-de-monterrey-vs-tigres-de-la-ua
2019-2020,Apertura,  Sabado 13 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n13 Julio 2019 - 1200 hrs,  2 - 0,  La Cantera,  98978-pumas-vs-tijuana
2019-2020,Apertura,  Domingo 14 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n14 Julio 2019 - 1200 hrs,  0 - 3,  Cuauhtemoc,  98985-puebla-fc-vs-toluca
2019-2020,Apertura,  Lunes 15 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n15 Julio 2019 - 1600 hrs,  0 - 1,  Jose Mari­a Morelos y Pavon,  98992-m-morelia-vs-rayados-de-monterrey
2019-2020,Apertura,  Lunes 15 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n15 Julio 2019 - 1700 hrs,  2 - 2,  Luis Pirata Fuente,  98995-veracruz-vs-queretaro
2019-2020,Apertura,  Lunes 15 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n15 Julio 2019 - 1900 hrs,  1 - 1,  Nou Camp,  98998-leon-vs-fc-juarez
2019-2020,Apertura,  Lunes 15 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n15 Julio 2019 - 2000 hrs,  2 - 1,  Universitario,  99002-tigres-de-la-uanl-vs-guadalajara
2019-2020,Apertura,  Lunes 15 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n15 Julio 2019 - 2000 hrs,  1 - 6,  Alfonso Lastras Rami­rez,  99006-club-atletico-de-san-luis-vs-atlas
2019-2020,Apertura,  Lunes 15 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 1-n15 Julio 2019 - 2100 hrs,  1 - 4,  TSM Corona,  99010-santos-laguna-vs-pachuca
2019-2020,Apertura,  Viernes 19 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n19 Julio 2019 - 1600 hrs,  3 - 2,  10 de Diciembre,  99016-cruz-azul-vs-pumas
2019-2020,Apertura,  Viernes 19 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n19 Julio 2019 - 1600 hrs,  2 - 1,  CEGAR Cancha 1,  99018-queretaro-vs-leon
2019-2020,Apertura,  Viernes 19 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n19 Julio 2019 - 1900 hrs,  0 - 3,  Oli­mpico Benito Juarez,  99043-fc-juarez-vs-santos-laguna
2019-2020,Apertura,  Sabado 20 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n20 Julio 2019 - 1100 hrs,  1 - 2,  Colomos,  99022-atlas-vs-rayados-de-monterrey
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1700 hrs,  4 - 2,  Nemesio Diez,  99029-toluca-vs-m-morelia
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs,  0 - 1,  Azteca,  99026-america-vs-puebla-fc
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs,  2 - 1,  Estadio AKRON,  99033-guadalajara-vs-club-atletico-de-san-luis
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs,  1 - 0,  Hidalgo,  99036-pachuca-vs-necaxa
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs,  1 - 1,  Caliente,  99038-tijuana-vs-veracruz
2019-2020,Apertura,  Viernes 26 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n26 Julio 2019 - 1600 hrs,  0 - 3,  Victoria,  99052-necaxa-vs-guadalajara
2019-2020,Apertura,  Sabado 27 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n27 Julio 2019 - 1200 hrs,  1 - 2,  La Cantera,  99056-pumas-vs-queretaro
2019-2020,Apertura,  Domingo 28 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n28 Julio 2019 - 1130 hrs,  0 - 2,  Cuauhtemoc,  99060-puebla-fc-vs-pachuca
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1000 hrs,  4 - 0,  El Barrial,  99087-rayados-de-monterrey-vs-toluca
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1600 hrs,  2 - 1,  Jose Mari­a Morelos y Pavon,  99064-m-morelia-vs-fc-juarez
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1700 hrs,  2 - 0,  Luis Pirata Fuente,  99068-veracruz-vs-atlas
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 1900 hrs,  0 - 2,  Nou Camp,  99073-leon-vs-cruz-azul
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 2000 hrs,  0 - 0,  Alfonso Lastras Rami­rez,  99076-club-atletico-de-san-luis-vs-america
2019-2020,Apertura,  Lunes 29 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n29 Julio 2019 - 2100 hrs,  2 - 2,  TSM Corona,  99081-santos-laguna-vs-tigres-de-la-uanl
2019-2020,Apertura,  Viernes 2 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n2 Agosto 2019 - 1600 hrs,  1 - 0,  La Corregidora,  99094-queretaro-vs-santos-laguna
2019-2020,Apertura,  Viernes 2 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n2 Agosto 2019 - 1600 hrs,  2 - 1,  10 de Diciembre,  99096-cruz-azul-vs-m-morelia
2019-2020,Apertura,  Viernes 2 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n2 Agosto 2019 - 1900 hrs,  0 - 0,  Oli­mpico Benito Juarez,  99130-fc-juarez-vs-club-atletico-de-san-luis
2019-2020,Apertura,  Domingo 4 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n4 Agosto 2019 - 1200 hrs,  1 - 0,  Verde Valle 2,  99108-guadalajara-vs-puebla-fc
2019-2020,Apertura,  Lunes 5 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n5 Agosto 2019 - 1600 hrs,  1 - 1,  Nemesio Diez,  99103-toluca-vs-leon
2019-2020,Apertura,  Lunes 5 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n5 Agosto 2019 - 1800 hrs,  3 - 1,  Azteca,  99100-america-vs-veracruz
2019-2020,Apertura,  Lunes 5 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n5 Agosto 2019 - 1900 hrs,  4 - 2,  Hidalgo,  99112-pachuca-vs-rayados-de-monterrey
2019-2020,Apertura,  Lunes 5 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n5 Agosto 2019 - 2000 hrs,  0 - 0,  Universitario,  99116-tigres-de-la-uanl-vs-pumas
2019-2020,Apertura,  Lunes 5 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 4-n5 Agosto 2019 - 1900 hrs,  1 - 1,  Caliente,  99120-tijuana-vs-atlas
2019-2020,Apertura,  Viernes 9 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n9 Agosto 2019 - 1600 hrs,  0 - 1,  10 de Diciembre,  98972-cruz-azul-vs-toluca
2019-2020,Apertura,  Sabado 10 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n10 Agosto 2019 - 1100 hrs,  1 - 1,  Colomos,  98979-atlas-vs-america
2019-2020,Apertura,  Domingo 11 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n11 Agosto 2019 - 1200 hrs,  3 - 1,  Cuauhtemoc,  98988-puebla-fc-vs-fc-juarez
2019-2020,Apertura,  Lunes 12 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n12 Agosto 2019 - 1600 hrs,  3 - 3,  Jose Mari­a Morelos y Pavon,  98991-m-morelia-vs-tigres-de-la-uanl
2019-2020,Apertura,  Lunes 12 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n12 Agosto 2019 - 1600 hrs,  1 - 2,  La Cantera,  98982-pumas-vs-pachuca
2019-2020,Apertura,  Lunes 12 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n12 Agosto 2019 - 1900 hrs,  2 - 1,  Nou Camp,  98997-leon-vs-guadalajara
2019-2020,Apertura,  Lunes 12 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n12 Agosto 2019 - 2000 hrs,  2 - 1,  Alfonso Lastras Rami­rez,  99001-club-atletico-de-san-luis-vs-veracruz
2019-2020,Apertura,  Lunes 12 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n12 Agosto 2019 - 1900 hrs,  2 - 0,  Caliente,  99007-tijuana-vs-necaxa
2019-2020,Apertura,  Lunes 12 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 5-n12 Agosto 2019 - 2100 hrs,  6 - 1,  Estadio BBVA,  99003-rayados-de-monterrey-vs-queretaro
2019-2020,Apertura,  Viernes 16 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n16 Agosto 2019 - 1600 hrs,  0 - 0,  Victoria,  99013-necaxa-vs-pumas
2019-2020,Apertura,  Viernes 16 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n16 Agosto 2019 - 1900 hrs,  0 - 6,  Oli­mpico Benito Juarez,  99053-fc-juarez-vs-atlas
2019-2020,Apertura,  Sabado 17 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n17 Agosto 2019 - 1700 hrs,  1 - 0,  Luis Pirata Fuente,  99031-veracruz-vs-leon
2019-2020,Apertura,  Lunes 19 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n19 Agosto 2019 - 1800 hrs,  3 - 1,  Azteca,  99025-america-vs-m-morelia
2019-2020,Apertura,  Lunes 19 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n19 Agosto 2019 - 1900 hrs,  1 - 2,  Hidalgo,  99037-pachuca-vs-toluca
2019-2020,Apertura,  Lunes 19 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n19 Agosto 2019 - 1900 hrs,  0 - 1,  Estadio AKRON,  99035-guadalajara-vs-tijuana
2019-2020,Apertura,  Lunes 19 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n19 Agosto 2019 - 2000 hrs,  4 - 0,  Universitario,  99041-tigres-de-la-uanl-vs-puebla-fc
2019-2020,Apertura,  Lunes 19 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n19 Agosto 2019 - 2000 hrs,  2 - 1,  Alfonso Lastras Rami­rez,  99045-club-atletico-de-san-luis-vs-cruz-azul
2019-2020,Apertura,  Lunes 19 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 6-n19 Agosto 2019 - 2100 hrs,  1 - 2,  TSM Corona,  99048-santos-laguna-vs-rayados-de-monterrey
2019-2020,Apertura,  Miercoles 21 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n21 Agosto 2019 - 1100 hrs,  2 - 0,  Colomos,  99071-atlas-vs-necaxa
2019-2020,Apertura,  Miercoles 21 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n21 Agosto 2019 - 1600 hrs,  0 - 0,  La Cantera,  99078-pumas-vs-veracruz
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 1600 hrs,  2 - 0,  Jose Mari­a Morelos y Pavon,  99086-m-morelia-vs-club-atletico-de-san-luis
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 1600 hrs,  1 - 2,  La Corregidora,  99065-queretaro-vs-puebla-fc
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 1600 hrs,  0 - 2,  10 de Diciembre,  99061-cruz-azul-vs-tigres-de-la-uanl
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 1800 hrs,  1 - 2,  Nemesio Diez,  99083-toluca-vs-america
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 1600 hrs,  4 - 2,  Cancha Alterna numero 1 (Pasto Natural) del Estadio Caliente,  99095-tijuana-vs-santos-laguna
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 1900 hrs,  1 - 1,  Nou Camp,  99092-leon-vs-pachuca
2019-2020,Apertura,  Jueves 22 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 7-n22 Agosto 2019 - 2100 hrs,  2 - 1,  Estadio BBVA,  99093-rayados-de-monterrey-vs-fc-juarez
2019-2020,Apertura,  Domingo 25 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n25 Agosto 2019 - 1200 hrs,  0 - 0,  Cuauhtemoc,  99099-puebla-fc-vs-pumas
2019-2020,Apertura,  Domingo 25 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n25 Agosto 2019 - 1600 hrs,  0 - 2,  Victoria,  99102-necaxa-vs-m-morelia
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 1700 hrs,  0 - 0,  Luis Pirata Fuente,  99105-veracruz-vs-toluca
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 1800 hrs,  2 - 0,  Azteca,  99097-america-vs-tijuana
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 1900 hrs,  3 - 1,  Hidalgo,  99107-pachuca-vs-cruz-azul
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 2000 hrs,  3 - 2,  Universitario,  99110-tigres-de-la-uanl-vs-rayados-de-monterrey
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 2000 hrs,  0 - 2,  Alfonso Lastras Rami­rez,  99114-club-atletico-de-san-luis-vs-queretaro
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 2100 hrs,  1 - 0,  Estadio AKRON,  99115-guadalajara-vs-fc-juarez
2019-2020,Apertura,  Lunes 26 de Agosto de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 8-n26 Agosto 2019 - 2100 hrs,  0 - 0,  TSM Corona,  99118-santos-laguna-vs-atlas
2019-2020,Apertura,  Viernes 6 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n6 Septiembre 2019 - 1600 hrs,  3 - 3,  10 de Diciembre,  98969-cruz-azul-vs-guadalajara
2019-2020,Apertura,  Viernes 6 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n6 Septiembre 2019 - 1600 hrs,  0 - 3,  La Corregidora,  98970-queretaro-vs-pachuca
2019-2020,Apertura,  Sabado 7 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n7 Septiembre 2019 - 1100 hrs,  2 - 0,  Jalisco,  98971-atlas-vs-puebla-fc
2019-2020,Apertura,  Sabado 7 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n7 Septiembre 2019 - 1200 hrs,  4 - 0,  La Cantera,  98975-pumas-vs-santos-laguna
2019-2020,Apertura,  Lunes 9 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n9 Septiembre 2019 - 1600 hrs,  2 - 1,  Jose Mari­a Morelos y Pavon,  98981-m-morelia-vs-leon
2019-2020,Apertura,  Lunes 9 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n9 Septiembre 2019 - 1700 hrs,  0 - 0,  Nemesio Diez,  98977-toluca-vs-tigres-de-la-uanl
2019-2020,Apertura,  Lunes 9 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n9 Septiembre 2019 - 1900 hrs,  4 - 1,  Estadio BBVA,  98984-rayados-de-monterrey-vs-america
2019-2020,Apertura,  Lunes 9 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n9 Septiembre 2019 - 1800 hrs,  0 - 0,  Oli­mpico Benito Juarez,  98990-fc-juarez-vs-necaxa
2019-2020,Apertura,  Lunes 9 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 9-n9 Septiembre 2019 - 1900 hrs,  3 - 0,  Caliente,  98987-tijuana-vs-club-atletico-de-san-luis
2019-2020,Apertura,  Viernes 13 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n13 Septiembre 2019 - 1000 hrs,  4 - 0,  El Barrial,  99020-rayados-de-monterrey-vs-veracruz
2019-2020,Apertura,  Viernes 13 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n13 Septiembre 2019 - 1600 hrs,  1 - 1,  CEGAR Cancha 1,  98994-queretaro-vs-tijuana
2019-2020,Apertura,  Sabado 14 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n14 Septiembre 2019 - 1900 hrs,  4 - 0,  Universitario,  99019-tigres-de-la-uanl-vs-club-atletico-de-san-luis
2019-2020,Apertura,  Domingo 15 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n15 Septiembre 2019 - 1200 hrs,  1 - 3,  Cuauhtemoc,  99004-puebla-fc-vs-m-morelia
2019-2020,Apertura,  Lunes 16 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n16 Septiembre 2019 - 1700 hrs,  1 - 0,  Nemesio Diez,  98999-toluca-vs-fc-juarez
2019-2020,Apertura,  Lunes 16 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n16 Septiembre 2019 - 1900 hrs,  3 - 0,  Nou Camp,  99014-leon-vs-necaxa
2019-2020,Apertura,  Lunes 16 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n16 Septiembre 2019 - 1900 hrs,  2 - 2,  Hidalgo,  99011-pachuca-vs-atlas
2019-2020,Apertura,  Lunes 16 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n16 Septiembre 2019 - 1900 hrs,  4 - 2,  Estadio AKRON,  99008-guadalajara-vs-america
2019-2020,Apertura,  Lunes 16 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 10-n16 Septiembre 2019 - 2100 hrs,  2 - 0,  TSM Corona,  99023-santos-laguna-vs-cruz-azul
2019-2020,Apertura,  Miercoles 18 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n18 Septiembre 2019 - 1900 hrs,  4 - 1,  Caliente,  99028-tijuana-vs-m-morelia
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 1100 hrs,  3 - 0,  Colomos,  99042-atlas-vs-toluca
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 1600 hrs,  2 - 3,  Victoria,  99039-necaxa-vs-puebla-fc
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 1700 hrs,  0 - 1,  Luis Pirata Fuente,  99051-veracruz-vs-santos-laguna
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 1800 hrs,  0 - 0,  Azteca,  99046-america-vs-leon
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 1900 hrs,  3 - 2,  Hidalgo,  99055-pachuca-vs-tigres-de-la-uanl
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 2000 hrs,  1 - 5,  Alfonso Lastras Rami­rez,  99058-club-atletico-de-san-luis-vs-rayados-de-monterrey
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 1900 hrs,  1 - 0,  Oli­mpico Benito Juarez,  99032-fc-juarez-vs-pumas
2019-2020,Apertura,  Jueves 19 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 11-n19 Septiembre 2019 - 2100 hrs,  2 - 1,  Estadio AKRON,  99049-guadalajara-vs-queretaro
2019-2020,Apertura,  Domingo 22 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 12-n22 Septiembre 2019 - 1000 hrs,  3 - 0,  10 de Diciembre,  99062-cruz-azul-vs-fc-juarez
2019-2020,Apertura,  Domingo 22 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 12-n22 Septiembre 2019 - 1200 hrs,  2 - 1,  Cuauhtemoc,  99070-puebla-fc-vs-veracruz
2019-2020,Apertura,  Domingo 22 de Septiembre de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 12-n22 Septiembre 2019 - 1600 hrs,  0 - 5,  La Corregidora,  99074-queretaro-vs-america
