2021-2022,Apertura,  Sábado 24 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n24 Julio 2021 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121681-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-atlas-vs-gallos-blancos-de-queretaro-jornada-2-estadio-cecaf-tvc-deportes,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-728-estadio-cecaf,  CECAF,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjgxLzIvNzIvMS8xNA==-atlas-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-121681-atlas-vs-gallos-blancos-de-queretaro,  
2021-2022,Apertura,  Sábado 24 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n24 Julio 2021 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121682-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-cruz-azul-vs-guadalajara-jornada-2-estadio-instalaciones-la-noria-cancha-1-tudn,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-1549-estadio-instalaciones-la-noria-cancha-1,  Instalaciones la Noria Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjgyLzIvNzIvMS8xNA==-cruz-azul-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-121682-cruz-azul-vs-guadalajara,  
2021-2022,Apertura,  Domingo 25 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n25 Julio 2021 - 1030 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121683-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExNzk1fQ==-informe-arbitral-rayados-de-monterrey-vs-fc-juarez-jornada-2-estadio-el-barrial,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-675-estadio-el-barrial,  El Barrial,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjgzLzIvNzIvMS8xNA==-rayados-de-monterrey-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-121683-rayados-de-monterrey-vs-fc-juarez,  
2021-2022,Apertura,  Domingo 25 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n25 Julio 2021 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121684-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-club-atletico-de-san-luis-vs-pumas-jornada-2-estadio-alfonso-lastras-ramirez-espn,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjg0LzIvNzIvMS8xNA==-club-atletico-de-san-luis-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-121684-club-atletico-de-san-luis-vs-pumas,  
2021-2022,Apertura,  Lunes 26 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n26 Julio 2021 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121685-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-necaxa-vs-pachuca-jornada-2-estadio-victoria-tudn,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjg1LzIvNzIvMS8xNA==-necaxa-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-121685-necaxa-vs-pachuca,  
2021-2022,Apertura,  Lunes 26 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n26 Julio 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121686-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-leon-vs-tigres-de-la-uanl-jornada-2-estadio-nou-camp-fox-sports,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjg2LzIvNzIvMS8xNA==-leon-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-121686-leon-vs-tigres-de-la-uanl,  
2021-2022,Apertura,  Lunes 26 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 2-n26 Julio 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121687-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-tijuana-vs-toluca-jornada-2-estadio-caliente-fox-sports,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjg3LzIvNzIvMS8xNA==-tijuana-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-121687-tijuana-vs-toluca,  
2021-2022,Apertura,  Viernes 30 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 3-n30 Julio 2021 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121688-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjEyMDQyLCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==-informe-arbitral-gallos-blancos-de-queretaro-vs-america-jornada-3-estadio-la-corregidora-tvc-deportes,  1 - 3,  https--www.ligafemenil.mx-cancha-estadio-25-estadio-la-corregidora,  La Corregidora,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjg4LzMvNzIvMS8xNA==-gallos-blancos-de-queretaro-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-121688-gallos-blancos-de-queretaro-vs-america,  
2021-2022,Apertura,  Sábado 31 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 3-n31 Julio 2021 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121689-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-toluca-vs-club-atletico-de-san-luis-jornada-3-estadio-nemesio-diez-tudn,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjg5LzMvNzIvMS8xNA==-toluca-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-121689-toluca-vs-club-atletico-de-san-luis,  
2021-2022,Apertura,  Sábado 31 de Julio de 2021-nTemporada 2021-2022-nTorneo Apertura-nJornada 3-n31 Julio 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-121690-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-pachuca-vs-cruz-azul-jornada-3-estadio-hidalgo,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTIxNjkwLzMvNzIvMS8xNA==-pachuca-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-121690-pachuca-vs-cruz-azul,  
