2020-2021,Apertura,  Sábado 22 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 2-n22 Agosto 2020 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117111-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-pumas-vs-toluca-jornada-2-estadio-la-cantera-1-cancha-1-tudn,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-1611-estadio-la-cantera-1-cancha-1,  La Cantera 1 Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTExLzIvNzEvMS8xNA==-pumas-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-117111-pumas-vs-toluca,  
2020-2021,Apertura,  Domingo 23 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 2-n23 Agosto 2020 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117112-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-guadalajara-vs-necaxa-jornada-2-estadio-verde-valle,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-36-estadio-verde-valle,  Verde Valle,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTEyLzIvNzEvMS8xNA==-guadalajara-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-117112-guadalajara-vs-necaxa,  
2020-2021,Apertura,  Domingo 23 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 2-n23 Agosto 2020 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117113-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMTgwfQ==-informe-arbitral-puebla-fc-vs-tijuana-jornada-2-estadio-cuauhtemoc-tvc-deportes,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTEzLzIvNzEvMS8xNA==-puebla-fc-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-117113-puebla-fc-vs-tijuana,  
2020-2021,Apertura,  Lunes 24 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 2-n24 Agosto 2020 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117114-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-america-vs-club-atletico-de-san-luis-jornada-2-estadio-cancha-centenario-no-5-natural-instalaciones-club-america-tudn,  3 - 2,  https--www.ligafemenil.mx-cancha-estadio-1421-estadio-cancha-centenario-no-5-natural-instalaciones-club-america,  Cancha Centenario No. 5 (Natural) Instalaciones Club América,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTE0LzIvNzEvMS8xNA==-america-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-117114-america-vs-club-atletico-de-san-luis,  
2020-2021,Apertura,  Lunes 24 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 2-n24 Agosto 2020 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117115-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-leon-vs-pachuca-jornada-2-estadio-nou-camp-fox-sports,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTE1LzIvNzEvMS8xNA==-leon-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-117115-leon-vs-pachuca,  
2020-2021,Apertura,  Miércoles 26 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 2-n26 Agosto 2020 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117116-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-santos-laguna-vs-rayados-de-monterrey-jornada-2-estadio-tsm-corona-fox-sports,  1 - 3,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTE2LzIvNzEvMS8xNA==-santos-laguna-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-117116-santos-laguna-vs-rayados-de-monterrey,  
2020-2021,Apertura,  Jueves 27 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n27 Agosto 2020 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117117-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-toluca-vs-guadalajara-jornada-3-estadio-instalaciones-metepec-cancha-2-tudn,  1 - 4,  https--www.ligafemenil.mx-cancha-estadio-1547-estadio-instalaciones-metepec-cancha-2,  Instalaciones Metepec Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTE3LzMvNzEvMS8xNA==-toluca-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-117117-toluca-vs-guadalajara,  
2020-2021,Apertura,  Viernes 28 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n28 Agosto 2020 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117118-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-necaxa-vs-mazatlan-fc-jornada-3-estadio-victoria-claro-sports,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTE4LzMvNzEvMS8xNA==-necaxa-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-117118-necaxa-vs-mazatlan-fc,  
2020-2021,Apertura,  Sábado 29 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n29 Agosto 2020 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117119-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-atlas-vs-gallos-blancos-de-queretaro-jornada-3-estadio-colomos-tvc-deportes,  3 - 3,  https--www.ligafemenil.mx-cancha-estadio-109-estadio-colomos,  Colomos,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTE5LzMvNzEvMS8xNA==-atlas-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-117119-atlas-vs-gallos-blancos-de-queretaro,  
2020-2021,Apertura,  Domingo 30 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n30 Agosto 2020 - 0930 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117120-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-tigres-de-la-uanl-vs-santos-laguna-jornada-3-estadio-universitario-tudn,  4 - 1,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTIwLzMvNzEvMS8xNA==-tigres-de-la-uanl-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-117120-tigres-de-la-uanl-vs-santos-laguna,  
2020-2021,Apertura,  Domingo 30 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n30 Agosto 2020 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117121-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-club-atletico-de-san-luis-vs-puebla-fc-jornada-3-estadio-alfonso-lastras-ramirez,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTIxLzMvNzEvMS8xNA==-club-atletico-de-san-luis-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-117121-club-atletico-de-san-luis-vs-puebla-fc,  
2020-2021,Apertura,  Domingo 30 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n30 Agosto 2020 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117122-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-fc-juarez-vs-pumas-jornada-3-estadio-olimpico-benito-juarez-tudn,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTIyLzMvNzEvMS8xNA==-fc-juarez-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-117122-fc-juarez-vs-pumas,  
2020-2021,Apertura,  Lunes 31 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n31 Agosto 2020 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117123-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-pachuca-vs-cruz-azul-jornada-3-estadio-hidalgo-fox-sports,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTIzLzMvNzEvMS8xNA==-pachuca-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-117123-pachuca-vs-cruz-azul,  
2020-2021,Apertura,  Lunes 31 de Agosto de 2020-nTemporada 2020-2021-nTorneo Apertura-nJornada 3-n31 Agosto 2020 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-117124-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-rayados-de-monterrey-vs-leon-jornada-3-estadio-bbva-fox-sports,  4 - 1,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTE3MTI0LzMvNzEvMS8xNA==-rayados-de-monterrey-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-117124-rayados-de-monterrey-vs-leon,  
