2024-2025,Apertura,  Viernes 19 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 2-n19 Julio 2024 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140270-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-santos-laguna-vs-club-atletico-de-san-luis-jornada-2-estadio-tsm-corona,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjcwLzIvNzUvMS8xNA==-santos-laguna-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-140270-santos-laguna-vs-club-atletico-de-san-luis,  
2024-2025,Apertura,  Sábado 20 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 2-n20 Julio 2024 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140271-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjEyMDUxLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-mazatlan-fc-vs-cruz-azul-jornada-2-estadio-el-encanto-fox-sports,  1 - 5,  https--www.ligafemenil.mx-cancha-estadio-1931-estadio-el-encanto,  El Encanto,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjcxLzIvNzUvMS8xNA==-mazatlan-fc-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-140271-mazatlan-fc-vs-cruz-azul,  
2024-2025,Apertura,  Lunes 22 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 2-n22 Julio 2024 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140272-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-tigres-de-la-uanl-vs-puebla-fc-jornada-2-estadio-universitario-fox-sports,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjcyLzIvNzUvMS8xNA==-tigres-de-la-uanl-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-140272-tigres-de-la-uanl-vs-puebla-fc,  
2024-2025,Apertura,  Lunes 22 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 2-n22 Julio 2024 - 2106 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140273-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-pachuca-vs-gallos-blancos-de-queretaro-jornada-2-estadio-hidalgo-fox-sports,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjczLzIvNzUvMS8xNA==-pachuca-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-140273-pachuca-vs-gallos-blancos-de-queretaro,  
2024-2025,Apertura,  Martes 23 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 2-n23 Julio 2024 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140274-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-rayados-de-monterrey-vs-atlas-jornada-2-estadio-bbva-vix,  5 - 0,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjc0LzIvNzUvMS8xNA==-rayados-de-monterrey-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-140274-rayados-de-monterrey-vs-atlas,  
2024-2025,Apertura,  Miércoles 24 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 2-n24 Julio 2024 - 2006 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140275-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-tijuana-vs-necaxa-jornada-2-estadio-caliente-caliente-tv,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjc1LzIvNzUvMS8xNA==-tijuana-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-140275-tijuana-vs-necaxa,  
2024-2025,Apertura,  Viernes 26 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 3-n26 Julio 2024 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140278-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExNzk1fQ==-informe-arbitral-pumas-vs-fc-juarez-jornada-3-estadio-olimpico-universitario-vix,  3 - 2,  https--www.ligafemenil.mx-cancha-estadio-7-estadio-olimpico-universitario,  Olímpico Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjc4LzMvNzUvMS8xNA==-pumas-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-140278-pumas-vs-fc-juarez,  
2024-2025,Apertura,  Domingo 28 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 13-n28 Julio 2024 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140403-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-cruz-azul-vs-atlas-jornada-13-estadio-instalaciones-la-noria,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-877-estadio-instalaciones-la-noria,  INSTALACIONES LA NORIA,  https--www.ligafemenil.mx-cancha-galeria-MTQwNDAzLzEzLzc1LzEvMTQ=-cruz-azul-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-140403-cruz-azul-vs-atlas,  
2024-2025,Apertura,  Domingo 28 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 3-n28 Julio 2024 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140279-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjEyMDQyLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-gallos-blancos-de-queretaro-vs-club-atletico-de-san-luis-jornada-3-estadio-olimpico-alameda-caliente-tv,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-1741-estadio-olimpico-alameda,  Estadio Olímpico Alameda,  https--www.ligafemenil.mx-cancha-galeria-MTQwMjc5LzMvNzUvMS8xNA==-gallos-blancos-de-queretaro-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-140279-gallos-blancos-de-queretaro-vs-club-atletico-de-san-luis,  
2024-2025,Apertura,  Domingo 28 de Julio de 2024-nTemporada 2024-2025-nTorneo Apertura-nJornada 14-n28 Julio 2024 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-140412-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc1IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-necaxa-vs-santos-laguna-jornada-14-estadio-victoria-vix,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-MTQwNDEyLzE0Lzc1LzEvMTQ=-necaxa-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-140412-necaxa-vs-santos-laguna,  
