2021-2022,Clausura,  Lunes 17 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 2-n17 Enero 2022 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125258-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-atlas-vs-mazatlan-fc-jornada-2-estadio-jalisco-tvc-deportes,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-5-estadio-jalisco,  Jalisco,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjU4LzIvNzIvMi8xNA==-atlas-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-125258-atlas-vs-mazatlan-fc,  
2021-2022,Clausura,  Lunes 17 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 2-n17 Enero 2022 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125259-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgwfQ==-informe-arbitral-toluca-vs-tijuana-jornada-2-estadio-nemesio-diez-tudn,  3 - 3,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjU5LzIvNzIvMi8xNA==-toluca-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-125259-toluca-vs-tijuana,  
2021-2022,Clausura,  Lunes 17 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 2-n17 Enero 2022 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125261-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-tigres-de-la-uanl-vs-guadalajara-jornada-2-estadio-universitario-tudn,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjYxLzIvNzIvMi8xNA==-tigres-de-la-uanl-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-125261-tigres-de-la-uanl-vs-guadalajara,  
2021-2022,Clausura,  Lunes 17 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 2-n17 Enero 2022 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125260-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQzLCJpZENsdWJ2aXNpdGEiOjExNzk1fQ==-informe-arbitral-leon-vs-fc-juarez-jornada-2-estadio-nou-camp-fox-sports,  1 - 3,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjYwLzIvNzIvMi8xNA==-leon-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-125260-leon-vs-fc-juarez,  
2021-2022,Clausura,  Martes 18 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 2-n18 Enero 2022 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125257-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-club-atletico-de-san-luis-vs-cruz-azul-jornada-2-estadio-alfonso-lastras-ramirez-espn,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjU3LzIvNzIvMi8xNA==-club-atletico-de-san-luis-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-125257-club-atletico-de-san-luis-vs-cruz-azul,  
2021-2022,Clausura,  Miércoles 19 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 2-n19 Enero 2022 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125262-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-santos-laguna-vs-necaxa-jornada-2-estadio-tsm-corona-fox-sports,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjYyLzIvNzIvMi8xNA==-santos-laguna-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-125262-santos-laguna-vs-necaxa,  
2021-2022,Clausura,  Sábado 22 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 3-n22 Enero 2022 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125263-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-atlas-vs-santos-laguna-jornada-3-estadio-jalisco-tvc-deportes,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-5-estadio-jalisco,  Jalisco,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjYzLzMvNzIvMi8xNA==-atlas-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-125263-atlas-vs-santos-laguna,  
2021-2022,Clausura,  Sábado 22 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 3-n22 Enero 2022 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125264-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-cruz-azul-vs-gallos-blancos-de-queretaro-jornada-3-estadio-instalaciones-la-noria-cancha-3-sintetica-tudn,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-67-estadio-instalaciones-la-noria-cancha-3-sintetica,  Instalaciones la Noria Cancha 3 (Sintética),  https--www.ligafemenil.mx-cancha-galeria-MTI1MjY0LzMvNzIvMi8xNA==-cruz-azul-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-125264-cruz-azul-vs-gallos-blancos-de-queretaro,  
2021-2022,Clausura,  Domingo 23 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 3-n23 Enero 2022 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125265-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDUxLCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-mazatlan-fc-vs-puebla-fc-jornada-3-estadio-mazatlan-tvp,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-1697-estadio-mazatlan,  Estadio Mazatlán,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjY1LzMvNzIvMi8xNA==-mazatlan-fc-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-125265-mazatlan-fc-vs-puebla-fc,  
2021-2022,Clausura,  Lunes 24 de Enero de 2022-nTemporada 2021-2022-nTorneo Clausura-nJornada 3-n24 Enero 2022 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-125266-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcyIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-necaxa-vs-pumas-jornada-3-estadio-victoria-tudn,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-MTI1MjY2LzMvNzIvMi8xNA==-necaxa-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-125266-necaxa-vs-pumas,  
