2022-2023,Clausura,  Domingo 15 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n15 Enero 2023 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130505-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-club-atletico-de-san-luis-vs-leon-jornada-2-estadio-alfonso-lastras-ramirez-espn,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTA1LzIvNzMvMi8xNA==-club-atletico-de-san-luis-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-130505-club-atletico-de-san-luis-vs-leon,  
2022-2023,Clausura,  Domingo 15 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n15 Enero 2023 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130508-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-tijuana-vs-cruz-azul-jornada-2-estadio-caliente-fox-premium,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTA4LzIvNzMvMi8xNA==-tijuana-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-130508-tijuana-vs-cruz-azul,  
2022-2023,Clausura,  Lunes 16 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n16 Enero 2023 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130509-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-necaxa-vs-guadalajara-jornada-2-estadio-victoria-vixzonamx--vixus,  1 - 4,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTA5LzIvNzMvMi8xNA==-necaxa-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-130509-necaxa-vs-guadalajara,  
2022-2023,Clausura,  Lunes 16 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n16 Enero 2023 - 1705 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130510-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-pachuca-vs-toluca-jornada-2-estadio-hidalgo-fox-sports--fox-premium,  10 - 2,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTEwLzIvNzMvMi8xNA==-pachuca-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-130510-pachuca-vs-toluca,  
2022-2023,Clausura,  Lunes 16 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n16 Enero 2023 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130512-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-america-vs-puebla-fc-jornada-2-estadio-azteca-vixzonamxus,  7 - 0,  https--www.ligafemenil.mx-cancha-estadio-1-estadio-azteca,  Azteca,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTEyLzIvNzMvMi8xNA==-america-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-130512-america-vs-puebla-fc,  
2022-2023,Clausura,  Lunes 16 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n16 Enero 2023 - 1906 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130514-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-rayados-de-monterrey-vs-santos-laguna-jornada-2-estadio-bbva-fox-sports--fox-premium,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTE0LzIvNzMvMi8xNA==-rayados-de-monterrey-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-130514-rayados-de-monterrey-vs-santos-laguna,  
2022-2023,Clausura,  Lunes 16 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 2-n16 Enero 2023 - 2000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130515-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDUxLCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-mazatlan-fc-vs-atlas-jornada-2-estadio-mazatlan-tvp,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-1697-estadio-mazatlan,  Estadio Mazatlán,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTE1LzIvNzMvMi8xNA==-mazatlan-fc-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-130515-mazatlan-fc-vs-atlas,  
2022-2023,Clausura,  Viernes 20 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n20 Enero 2023 - 1605 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130521-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-fc-juarez-vs-pachuca-jornada-3-estadio-olimpico-benito-juarez-fox-sports--fox-premium,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTIxLzMvNzMvMi8xNA==-fc-juarez-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-130521-fc-juarez-vs-pachuca,  
2022-2023,Clausura,  Viernes 20 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n20 Enero 2023 - 1906 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130526-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-atlas-vs-necaxa-jornada-3-estadio-jalisco-fox-sports--fox-premium,  4 - 1,  https--www.ligafemenil.mx-cancha-estadio-5-estadio-jalisco,  Jalisco,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTI2LzMvNzMvMi8xNA==-atlas-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-130526-atlas-vs-necaxa,  
2022-2023,Clausura,  Sábado 21 de Enero de 2023-nTemporada 2022-2023-nTorneo Clausura-nJornada 3-n21 Enero 2023 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-130528-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjczIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-cruz-azul-vs-club-atletico-de-san-luis-jornada-3-estadio-instalaciones-la-noria-vixzonamx--vixus,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-877-estadio-instalaciones-la-noria,  INSTALACIONES LA NORIA,  https--www.ligafemenil.mx-cancha-galeria-MTMwNTI4LzMvNzMvMi8xNA==-cruz-azul-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-130528-cruz-azul-vs-club-atletico-de-san-luis,  
