2017-2018,Clausura,  Sábado 13 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 2-n13 Enero 2018 - 1630 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88391-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-guadalajara-vs-rayados-de-monterrey-jornada-2-estadio-akron,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-1538-estadio-akron,  Estadio AKRON,  https--www.ligafemenil.mx-cancha-galeria-ODgzOTEvMi82OC8yLzE0-guadalajara-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-88391-guadalajara-vs-rayados-de-monterrey,  
2017-2018,Clausura,  Sábado 13 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 2-n13 Enero 2018 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88388-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-tigres-de-la-uanl-vs-atlas-jornada-2-estadio-universitario,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-ODgzODgvMi82OC8yLzE0-tigres-de-la-uanl-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-88388-tigres-de-la-uanl-vs-atlas,  
2017-2018,Clausura,  Lunes 15 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 2-n15 Enero 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88409-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-toluca-vs-cruz-azul-jornada-2-estadio-nemesio-diez,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDkvMi82OC8yLzE0-toluca-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-88409-toluca-vs-cruz-azul,  
2017-2018,Clausura,  Lunes 15 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 2-n15 Enero 2018 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88368-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==-informe-arbitral-pachuca-vs-america-jornada-2-estadio-hidalgo,  2 - 3,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-ODgzNjgvMi82OC8yLzE0-pachuca-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-88368-pachuca-vs-america,  
2017-2018,Clausura,  Lunes 15 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 2-n15 Enero 2018 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88394-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMjQ0fQ==-informe-arbitral-santos-laguna-vs-queretaro-jornada-2-estadio-tsm-corona,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-ODgzOTQvMi82OC8yLzE0-santos-laguna-vs-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-88394-santos-laguna-vs-queretaro,  
2017-2018,Clausura,  Viernes 19 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n19 Enero 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88379-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-cruz-azul-vs-pachuca-jornada-3-estadio-instalaciones-la-noria-cancha-1,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-47-estadio-instalaciones-la-noria-cancha-1,  Instalaciones La Noria Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODgzNzkvMy82OC8yLzE0-cruz-azul-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-88379-cruz-azul-vs-pachuca,  
2017-2018,Clausura,  Viernes 19 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n19 Enero 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88396-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-necaxa-vs-guadalajara-jornada-3-estadio-victoria,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-ODgzOTYvMy82OC8yLzE0-necaxa-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-88396-necaxa-vs-guadalajara,  
2017-2018,Clausura,  Sábado 20 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n20 Enero 2018 - 1100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88398-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-atlas-vs-leon-jornada-3-estadio-cancha-alfredo-pistache-torres,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-881-estadio-cancha-alfredo-pistache-torres,  CANCHA ALFREDO PISTACHE TORRES,  https--www.ligafemenil.mx-cancha-galeria-ODgzOTgvMy82OC8yLzE0-atlas-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-88398-atlas-vs-leon,  
2017-2018,Clausura,  Sábado 20 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n20 Enero 2018 - 1500 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88356-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgzLCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-m-morelia-vs-pumas-jornada-3-estadio-jose-maria-morelos-y-pavon,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-10-estadio-jose-maria-morelos-y-pavon,  José María Morelos y Pavón,  https--www.ligafemenil.mx-cancha-galeria-ODgzNTYvMy82OC8yLzE0-m-morelia-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-88356-m-morelia-vs-pumas,  
2017-2018,Clausura,  Sábado 20 de Enero de 2018-nTemporada 2017-2018-nTorneo Clausura-nJornada 3-n20 Enero 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-88406-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExMjQyfQ==-informe-arbitral-america-vs-veracruz-jornada-3-estadio-azteca,  4 - 0,  https--www.ligafemenil.mx-cancha-estadio-1-estadio-azteca,  Azteca,  https--www.ligafemenil.mx-cancha-galeria-ODg0MDYvMy82OC8yLzE0-america-vs-veracruz,  ,  https--www.ligafemenil.mx-cancha-playlist-88406-america-vs-veracruz,  
