2018-2019,Apertura,  Domingo 22 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 2-n22 Julio 2018 - 1830 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91918-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNTQyLCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-lobos-vs-cruz-azul-jornada-2-estadio-universitario-buap-tdn,  4 - 3,  https--www.ligafemenil.mx-cancha-estadio-75-estadio-universitario-buap,  Universitario BUAP,  https--www.ligafemenil.mx-cancha-galeria-OTE5MTgvMi82OS8xLzE0-lobos-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-91918-lobos-vs-cruz-azul,  
2018-2019,Apertura,  Lunes 23 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 2-n23 Julio 2018 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91921-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQyLCJpZENsdWJ2aXNpdGEiOjExMTgwfQ==-informe-arbitral-veracruz-vs-tijuana-jornada-2-estadio-luis-pirata-fuente-am,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-57-estadio-luis-pirata-fuente,  Luis Pirata Fuente,  https--www.ligafemenil.mx-cancha-galeria-OTE5MjEvMi82OS8xLzE0-veracruz-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-91921-veracruz-vs-tijuana,  
2018-2019,Apertura,  Lunes 23 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 2-n23 Julio 2018 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91924-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-pachuca-vs-puebla-fc-jornada-2-estadio-hidalgo-fox-sports,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-OTE5MjQvMi82OS8xLzE0-pachuca-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-91924-pachuca-vs-puebla-fc,  
2018-2019,Apertura,  Lunes 23 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 2-n23 Julio 2018 - 2000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91926-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-america-vs-toluca-jornada-2-estadio-azteca-tdn,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-1-estadio-azteca,  Azteca,  https--www.ligafemenil.mx-cancha-galeria-OTE5MjYvMi82OS8xLzE0-america-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-91926-america-vs-toluca,  
2018-2019,Apertura,  Lunes 23 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 2-n23 Julio 2018 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91928-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMTgzfQ==-informe-arbitral-santos-laguna-vs-m-morelia-jornada-2-estadio-tsm-corona-fox-sports,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-OTE5MjgvMi82OS8xLzE0-santos-laguna-vs-m-morelia,  ,  https--www.ligafemenil.mx-cancha-playlist-91928-santos-laguna-vs-m-morelia,  
2018-2019,Apertura,  Viernes 27 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 3-n27 Julio 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91931-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==-informe-arbitral-cruz-azul-vs-america-jornada-3-estadio-10-de-diciembre,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-705-estadio-10-de-diciembre,  10 DE DICIEMBRE,  https--www.ligafemenil.mx-cancha-galeria-OTE5MzEvMy82OS8xLzE0-cruz-azul-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-91931-cruz-azul-vs-america,  
2018-2019,Apertura,  Viernes 27 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 3-n27 Julio 2018 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91933-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQ0LCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-queretaro-vs-leon-jornada-3-estadio-la-corregidora-claro-sports,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-25-estadio-la-corregidora,  La Corregidora,  https--www.ligafemenil.mx-cancha-galeria-OTE5MzMvMy82OS8xLzE0-queretaro-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-91933-queretaro-vs-leon,  
2018-2019,Apertura,  Sábado 28 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 3-n28 Julio 2018 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91935-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMjQyfQ==-informe-arbitral-pumas-vs-veracruz-jornada-3-estadio-la-cantera-cancha-1-tdn,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-1146-estadio-la-cantera-cancha-1,  La Cantera Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-OTE5MzUvMy82OS8xLzE0-pumas-vs-veracruz,  ,  https--www.ligafemenil.mx-cancha-playlist-91935-pumas-vs-veracruz,  
2018-2019,Apertura,  Domingo 29 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 3-n29 Julio 2018 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91937-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExNTQyfQ==-informe-arbitral-puebla-fc-vs-lobos-jornada-3-estadio-cuauhtemoc,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-OTE5MzcvMy82OS8xLzE0-puebla-fc-vs-lobos,  ,  https--www.ligafemenil.mx-cancha-playlist-91937-puebla-fc-vs-lobos,  
2018-2019,Apertura,  Domingo 29 de Julio de 2018-nTemporada 2018-2019-nTorneo Apertura-nJornada 3-n29 Julio 2018 - 1230 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-91939-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY5IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-guadalajara-vs-santos-laguna-jornada-3-estadio-verde-valle-chivas-tv,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-36-estadio-verde-valle,  Verde Valle,  https--www.ligafemenil.mx-cancha-galeria-OTE5MzkvMy82OS8xLzE0-guadalajara-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-91939-guadalajara-vs-santos-laguna,  
