2024-2025,Clausura,  Jueves 9 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n9 Enero 2025 - 2100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144883-eyJpZENsdWJsb2NhbCI6MTExODUsImlkQ2x1YnZpc2l0YSI6MTExODh9-informe-arbitral-rayados-de-monterrey-vs-pumas-jornada-2-estadio-bbva-canal-9--lmxf-tv-vix,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTQ0ODgzLzIvNzUvMi8xNA==-rayados-de-monterrey-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-144883-rayados-de-monterrey-vs-pumas,  
2024-2025,Clausura,  Viernes 10 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n10 Enero 2025 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144892-eyJpZENsdWJsb2NhbCI6MTExOTIsImlkQ2x1YnZpc2l0YSI6MTExODJ9-informe-arbitral-santos-laguna-vs-guadalajara-jornada-2-estadio-tsm-corona-calientemx,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-63-estadio-tsm-corona,  TSM Corona,  https--www.ligafemenil.mx-cancha-galeria-MTQ0ODkyLzIvNzUvMi8xNA==-santos-laguna-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-144892-santos-laguna-vs-guadalajara,  
2024-2025,Clausura,  Viernes 10 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n10 Enero 2025 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144894-eyJpZENsdWJsb2NhbCI6MTExOTEsImlkQ2x1YnZpc2l0YSI6MTIwNDJ9-informe-arbitral-america-vs-gallos-blancos-de-queretaro-jornada-2-estadio-ciudad-de-los-deportes-lmxf-tv--vix,  7 - 0,  https--www.ligafemenil.mx-cancha-estadio-2-estadio-ciudad-de-los-deportes,  Ciudad De Los Deportes,  https--www.ligafemenil.mx-cancha-galeria-MTQ0ODk0LzIvNzUvMi8xNA==-america-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-144894-america-vs-gallos-blancos-de-queretaro,  
2024-2025,Clausura,  Sábado 11 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n11 Enero 2025 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144896-eyJpZENsdWJsb2NhbCI6MTEyNDMsImlkQ2x1YnZpc2l0YSI6MTE3Nzh9-informe-arbitral-leon-vs-club-atletico-de-san-luis-jornada-2-estadio-nou-camp-fox-sports,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-23-estadio-nou-camp,  Nou Camp,  https--www.ligafemenil.mx-cancha-galeria-MTQ0ODk2LzIvNzUvMi8xNA==-leon-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-144896-leon-vs-club-atletico-de-san-luis,  
2024-2025,Clausura,  Domingo 12 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n12 Enero 2025 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144899-eyJpZENsdWJsb2NhbCI6MTE1NDMsImlkQ2x1YnZpc2l0YSI6MTExODZ9-informe-arbitral-puebla-fc-vs-tigres-de-la-uanl-jornada-2-estadio-cuauhtemoc-fox-sports,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTQ0ODk5LzIvNzUvMi8xNA==-puebla-fc-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-144899-puebla-fc-vs-tigres-de-la-uanl,  
2024-2025,Clausura,  Domingo 12 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n12 Enero 2025 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144901-eyJpZENsdWJsb2NhbCI6MTExODEsImlkQ2x1YnZpc2l0YSI6MTExODB9-informe-arbitral-cruz-azul-vs-tijuana-jornada-2-estadio-instalaciones-la-noria-cancha-1-lmxf-tv--vix,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-1549-estadio-instalaciones-la-noria-cancha-1,  Instalaciones la Noria Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTAxLzIvNzUvMi8xNA==-cruz-azul-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-144901-cruz-azul-vs-tijuana,  
2024-2025,Clausura,  Domingo 12 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 2-n12 Enero 2025 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144904-eyJpZENsdWJsb2NhbCI6MTE3OTUsImlkQ2x1YnZpc2l0YSI6MTExODl9-informe-arbitral-fc-juarez-vs-necaxa-jornada-2-estadio-olimpico-benito-juarez-youtube,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTA0LzIvNzUvMi8xNA==-fc-juarez-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-144904-fc-juarez-vs-necaxa,  
2024-2025,Clausura,  Martes 14 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n14 Enero 2025 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144917-eyJpZENsdWJsb2NhbCI6MTExODgsImlkQ2x1YnZpc2l0YSI6MTExOTJ9-informe-arbitral-pumas-vs-santos-laguna-jornada-3-estadio-olimpico-universitario-lmxf-tv--vix,  6 - 1,  https--www.ligafemenil.mx-cancha-estadio-7-estadio-olimpico-universitario,  Olímpico Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTE3LzMvNzUvMi8xNA==-pumas-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-144917-pumas-vs-santos-laguna,  
2024-2025,Clausura,  Miércoles 15 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n15 Enero 2025 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144919-eyJpZENsdWJsb2NhbCI6MTExODQsImlkQ2x1YnZpc2l0YSI6MTExODF9-informe-arbitral-pachuca-vs-cruz-azul-jornada-3-estadio-hidalgo-fox-sports,  2 - 2,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTE5LzMvNzUvMi8xNA==-pachuca-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-144919-pachuca-vs-cruz-azul,  
2024-2025,Clausura,  Miércoles 15 de Enero de 2025-nTemporada 2024-2025-nTorneo Clausura-nJornada 3-n15 Enero 2025 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-144924-eyJpZENsdWJsb2NhbCI6MTE3NzgsImlkQ2x1YnZpc2l0YSI6MTExODV9-informe-arbitral-club-atletico-de-san-luis-vs-rayados-de-monterrey-jornada-3-estadio-alfonso-lastras-ramirez-espn,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTQ0OTI0LzMvNzUvMi8xNA==-club-atletico-de-san-luis-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-144924-club-atletico-de-san-luis-vs-rayados-de-monterrey,  
