2020-2021,Clausura,  Sábado 16 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 2-n16 Enero 2021 - 0900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119238-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDUxLCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-mazatlan-fc-vs-guadalajara-jornada-2-estadio-mazatlan-azteca-digital,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-1697-estadio-mazatlan,  Estadio Mazatlán,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjM4LzIvNzEvMi8xNA==-mazatlan-fc-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-119238-mazatlan-fc-vs-guadalajara,  
2020-2021,Clausura,  Domingo 17 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 2-n17 Enero 2021 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119239-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-puebla-fc-vs-pumas-jornada-2-estadio-cuauhtemoc-tvc-deportes,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjM5LzIvNzEvMi8xNA==-puebla-fc-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-119239-puebla-fc-vs-pumas,  
2020-2021,Clausura,  Lunes 18 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 2-n18 Enero 2021 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119240-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExNzk1fQ==-informe-arbitral-america-vs-fc-juarez-jornada-2-estadio-cancha-centenario-no-5-natural-instalaciones-club-america-tudn,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-1421-estadio-cancha-centenario-no-5-natural-instalaciones-club-america,  Cancha Centenario No. 5 (Natural) Instalaciones Club América,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQwLzIvNzEvMi8xNA==-america-vs-fc-juarez,  ,  https--www.ligafemenil.mx-cancha-playlist-119240-america-vs-fc-juarez,  
2020-2021,Clausura,  Lunes 18 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 2-n18 Enero 2021 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119241-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-pachuca-vs-santos-laguna-jornada-2-estadio-hidalgo-fox-sports,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQxLzIvNzEvMi8xNA==-pachuca-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-119241-pachuca-vs-santos-laguna,  
2020-2021,Clausura,  Lunes 18 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 2-n18 Enero 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119242-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg1LCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-rayados-de-monterrey-vs-necaxa-jornada-2-estadio-bbva-fox-sports,  5 - 0,  https--www.ligafemenil.mx-cancha-estadio-1608-estadio-bbva,  Estadio BBVA,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQyLzIvNzEvMi8xNA==-rayados-de-monterrey-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-119242-rayados-de-monterrey-vs-necaxa,  
2020-2021,Clausura,  Lunes 18 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 2-n18 Enero 2021 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119243-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-tijuana-vs-toluca-jornada-2-estadio-caliente,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQzLzIvNzEvMi8xNA==-tijuana-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-119243-tijuana-vs-toluca,  
2020-2021,Clausura,  Jueves 21 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n21 Enero 2021 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119244-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-pumas-vs-rayados-de-monterrey-jornada-3-estadio-la-cantera-cancha-1-tudn,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-1146-estadio-la-cantera-cancha-1,  La Cantera Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQ0LzMvNzEvMi8xNA==-pumas-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-119244-pumas-vs-rayados-de-monterrey,  
2020-2021,Clausura,  Viernes 22 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n22 Enero 2021 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119245-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-cruz-azul-vs-club-atletico-de-san-luis-jornada-3-estadio-instalaciones-la-noria-cancha-1-tudn,  3 - 1,  https--www.ligafemenil.mx-cancha-estadio-1549-estadio-instalaciones-la-noria-cancha-1,  Instalaciones la Noria Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQ1LzMvNzEvMi8xNA==-cruz-azul-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-119245-cruz-azul-vs-club-atletico-de-san-luis,  
2020-2021,Clausura,  Sábado 23 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n23 Enero 2021 - 0900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119247-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-fc-juarez-vs-pachuca-jornada-3-estadio-olimpico-benito-juarez-tudn,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQ3LzMvNzEvMi8xNA==-fc-juarez-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-119247-fc-juarez-vs-pachuca,  
2020-2021,Clausura,  Domingo 24 de Enero de 2021-nTemporada 2020-2021-nTorneo Clausura-nJornada 3-n24 Enero 2021 - 0900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-119246-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcxIiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjEyMDUxLCJpZENsdWJ2aXNpdGEiOjExMTkxfQ==-informe-arbitral-mazatlan-fc-vs-america-jornada-3-estadio-mazatlan-tvp,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-1697-estadio-mazatlan,  Estadio Mazatlán,  https--www.ligafemenil.mx-cancha-galeria-MTE5MjQ2LzMvNzEvMi8xNA==-mazatlan-fc-vs-america,  ,  https--www.ligafemenil.mx-cancha-playlist-119246-mazatlan-fc-vs-america,  
