2023-2024,Clausura,  Jueves 11 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n11 Enero 2024 - 1906 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136749-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-tijuana-vs-mazatlan-fc-jornada-2-estadio-caliente-fox-sports--fox-premium,  4 - 1,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzQ5LzIvNzQvMi8xNA==-tijuana-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-136749-tijuana-vs-mazatlan-fc,  
2023-2024,Clausura,  Viernes 12 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n12 Enero 2024 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136752-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-puebla-fc-vs-leon-jornada-2-estadio-cuauhtemoc-fox-sports--fox-premium,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzUyLzIvNzQvMi8xNA==-puebla-fc-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-136752-puebla-fc-vs-leon,  
2023-2024,Clausura,  Viernes 12 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n12 Enero 2024 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136753-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjExMTg3fQ==-informe-arbitral-atlas-vs-toluca-jornada-2-estadio-jalisco-fox-premium,  2 - 2,  https--www.ligafemenil.mx-cancha-estadio-5-estadio-jalisco,  Jalisco,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzUzLzIvNzQvMi8xNA==-atlas-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-136753-atlas-vs-toluca,  
2023-2024,Clausura,  Sábado 13 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n13 Enero 2024 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136756-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMTg2fQ==-informe-arbitral-pumas-vs-tigres-de-la-uanl-jornada-2-estadio-olimpico-universitario-vix,  1 - 5,  https--www.ligafemenil.mx-cancha-estadio-7-estadio-olimpico-universitario,  Olímpico Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzU2LzIvNzQvMi8xNA==-pumas-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-136756-pumas-vs-tigres-de-la-uanl,  
2023-2024,Clausura,  Sábado 13 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n13 Enero 2024 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136759-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-pachuca-vs-rayados-de-monterrey-jornada-2-estadio-hidalgo-fox-sports--fox-premium,  2 - 2,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzU5LzIvNzQvMi8xNA==-pachuca-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-136759-pachuca-vs-rayados-de-monterrey,  
2023-2024,Clausura,  Domingo 14 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n14 Enero 2024 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136761-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzc4LCJpZENsdWJ2aXNpdGEiOjEyMDQyfQ==-informe-arbitral-club-atletico-de-san-luis-vs-gallos-blancos-de-queretaro-jornada-2-estadio-alfonso-lastras-ramirez-espn,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-14-estadio-alfonso-lastras-ramirez,  Alfonso Lastras Ramírez,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzYxLzIvNzQvMi8xNA==-club-atletico-de-san-luis-vs-gallos-blancos-de-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-136761-club-atletico-de-san-luis-vs-gallos-blancos-de-queretaro,  
2023-2024,Clausura,  Domingo 14 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 2-n14 Enero 2024 - 1800 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136764-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-fc-juarez-vs-guadalajara-jornada-2-estadio-olimpico-benito-juarez-fox-sports,  2 - 0,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzY0LzIvNzQvMi8xNA==-fc-juarez-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-136764-fc-juarez-vs-guadalajara,  
2023-2024,Clausura,  Martes 16 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 3-n16 Enero 2024 - 1545 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136765-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTgxLCJpZENsdWJ2aXNpdGEiOjEyMDUxfQ==-informe-arbitral-cruz-azul-vs-mazatlan-fc-jornada-3-estadio-instalaciones-la-noria-vix,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-877-estadio-instalaciones-la-noria,  INSTALACIONES LA NORIA,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzY1LzMvNzQvMi8xNA==-cruz-azul-vs-mazatlan-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-136765-cruz-azul-vs-mazatlan-fc,  
2023-2024,Clausura,  Miércoles 17 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 3-n17 Enero 2024 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136767-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTg4fQ==-informe-arbitral-toluca-vs-pumas-jornada-3-estadio-nemesio-diez-vix,  2 - 2,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzY3LzMvNzQvMi8xNA==-toluca-vs-pumas,  ,  https--www.ligafemenil.mx-cancha-playlist-136767-toluca-vs-pumas,  
2023-2024,Clausura,  Miércoles 17 de Enero de 2024-nTemporada 2023-2024-nTorneo Clausura-nJornada 3-n17 Enero 2024 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-136768-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6Ijc0IiwiaWRUb3JuZW8iOiIyIiwiaWRDbHVibG9jYWwiOjExMTg2LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-tigres-de-la-uanl-vs-santos-laguna-jornada-3-estadio-universitario-vix,  7 - 1,  https--www.ligafemenil.mx-cancha-estadio-12-estadio-universitario,  Universitario,  https--www.ligafemenil.mx-cancha-galeria-MTM2NzY4LzMvNzQvMi8xNA==-tigres-de-la-uanl-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-136768-tigres-de-la-uanl-vs-santos-laguna,  
