2019-2020,Apertura,  Viernes 19 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n19 Julio 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99043-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNzk1LCJpZENsdWJ2aXNpdGEiOjExMTkyfQ==-informe-arbitral-fc-juarez-vs-santos-laguna-jornada-2-estadio-olimpico-benito-juarez-univision-tdn,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-17-estadio-olimpico-benito-juarez,  Olímpico Benito Juárez,  https--www.ligafemenil.mx-cancha-galeria-OTkwNDMvMi83MC8xLzE0-fc-juarez-vs-santos-laguna,  ,  https--www.ligafemenil.mx-cancha-playlist-99043-fc-juarez-vs-santos-laguna,  
2019-2020,Apertura,  Sábado 20 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n20 Julio 2019 - 1100 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99022-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMjQ1LCJpZENsdWJ2aXNpdGEiOjExMTg1fQ==-informe-arbitral-atlas-vs-rayados-de-monterrey-jornada-2-estadio-colomos-tvc-deportes,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-109-estadio-colomos,  Colomos,  https--www.ligafemenil.mx-cancha-galeria-OTkwMjIvMi83MC8xLzE0-atlas-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-99022-atlas-vs-rayados-de-monterrey,  
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1700 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99029-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgzfQ==-informe-arbitral-toluca-vs-m-morelia-jornada-2-estadio-nemesio-diez-tudn,  4 - 2,  https--www.ligafemenil.mx-cancha-estadio-6-estadio-nemesio-diez,  Nemesio Diez,  https--www.ligafemenil.mx-cancha-galeria-OTkwMjkvMi83MC8xLzE0-toluca-vs-m-morelia,  ,  https--www.ligafemenil.mx-cancha-playlist-99029-toluca-vs-m-morelia,  
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99026-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkxLCJpZENsdWJ2aXNpdGEiOjExNTQzfQ==-informe-arbitral-america-vs-puebla-fc-jornada-2-estadio-azteca-tudn,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-1-estadio-azteca,  Azteca,  https--www.ligafemenil.mx-cancha-galeria-OTkwMjYvMi83MC8xLzE0-america-vs-puebla-fc,  ,  https--www.ligafemenil.mx-cancha-playlist-99026-america-vs-puebla-fc,  
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99033-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExNzc4fQ==-informe-arbitral-guadalajara-vs-club-atletico-de-san-luis-jornada-2-estadio-akron-chivas-tv--fox,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-1538-estadio-akron,  Estadio AKRON,  https--www.ligafemenil.mx-cancha-galeria-OTkwMzMvMi83MC8xLzE0-guadalajara-vs-club-atletico-de-san-luis,  ,  https--www.ligafemenil.mx-cancha-playlist-99033-guadalajara-vs-club-atletico-de-san-luis,  
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99036-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg0LCJpZENsdWJ2aXNpdGEiOjExMTg5fQ==-informe-arbitral-pachuca-vs-necaxa-jornada-2-estadio-hidalgo,  1 - 0,  https--www.ligafemenil.mx-cancha-estadio-11-estadio-hidalgo,  Hidalgo,  https--www.ligafemenil.mx-cancha-galeria-OTkwMzYvMi83MC8xLzE0-pachuca-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-99036-pachuca-vs-necaxa,  
2019-2020,Apertura,  Lunes 22 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 2-n22 Julio 2019 - 1900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99038-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgwLCJpZENsdWJ2aXNpdGEiOjExMjQyfQ==-informe-arbitral-tijuana-vs-veracruz-jornada-2-estadio-caliente-fox-sports,  1 - 1,  https--www.ligafemenil.mx-cancha-estadio-48-estadio-caliente,  Caliente,  https--www.ligafemenil.mx-cancha-galeria-OTkwMzgvMi83MC8xLzE0-tijuana-vs-veracruz,  ,  https--www.ligafemenil.mx-cancha-playlist-99038-tijuana-vs-veracruz,  
2019-2020,Apertura,  Viernes 26 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n26 Julio 2019 - 1600 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99052-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg5LCJpZENsdWJ2aXNpdGEiOjExMTgyfQ==-informe-arbitral-necaxa-vs-guadalajara-jornada-3-estadio-victoria-claro-sports,  0 - 3,  https--www.ligafemenil.mx-cancha-estadio-15-estadio-victoria,  Victoria,  https--www.ligafemenil.mx-cancha-galeria-OTkwNTIvMy83MC8xLzE0-necaxa-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-99052-necaxa-vs-guadalajara,  
2019-2020,Apertura,  Sábado 27 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n27 Julio 2019 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99056-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg4LCJpZENsdWJ2aXNpdGEiOjExMjQ0fQ==-informe-arbitral-pumas-vs-queretaro-jornada-3-estadio-la-cantera-univision-tdn,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-37-estadio-la-cantera,  La Cantera,  https--www.ligafemenil.mx-cancha-galeria-OTkwNTYvMy83MC8xLzE0-pumas-vs-queretaro,  ,  https--www.ligafemenil.mx-cancha-playlist-99056-pumas-vs-queretaro,  
2019-2020,Apertura,  Domingo 28 de Julio de 2019-nTemporada 2019-2020-nTorneo Apertura-nJornada 3-n28 Julio 2019 - 1130 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-99060-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjcwIiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExNTQzLCJpZENsdWJ2aXNpdGEiOjExMTg0fQ==-informe-arbitral-puebla-fc-vs-pachuca-jornada-3-estadio-cuauhtemoc-tvc-deportes,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-9-estadio-cuauhtemoc,  Cuauhtémoc,  https--www.ligafemenil.mx-cancha-galeria-OTkwNjAvMy83MC8xLzE0-puebla-fc-vs-pachuca,  ,  https--www.ligafemenil.mx-cancha-playlist-99060-puebla-fc-vs-pachuca,  
