2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80651-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE5MSwiaWRDbHVidmlzaXRhIjoxMTE4Nn0=-informe-arbitral-america-vs-tigres-de-la-uanl-jornada-3-estadio-fmf-cancha-1,  0 - 0,  https--www.ligafemenil.mx-cancha-estadio-1424-estadio-fmf-cancha-1,  FMF Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODA2NTEvMy82Ny82MS8xNA==-america-vs-tigres-de-la-uanl,  ,  https--www.ligafemenil.mx-cancha-playlist-80651-america-vs-tigres-de-la-uanl,  
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80652-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4MSwiaWRDbHVidmlzaXRhIjoxMTE4OX0=-informe-arbitral-cruz-azul-vs-necaxa-jornada-3-estadio-fmf-cancha-2,  0 - 1,  https--www.ligafemenil.mx-cancha-estadio-1425-estadio-fmf-cancha-2,  FMF Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-ODA2NTIvMy82Ny82MS8xNA==-cruz-azul-vs-necaxa,  ,  https--www.ligafemenil.mx-cancha-playlist-80652-cruz-azul-vs-necaxa,  
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1000 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80653-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4MywiaWRDbHVidmlzaXRhIjoxMTE4Mn0=-informe-arbitral-m-morelia-vs-guadalajara-jornada-3-estadio-fmf-cancha-3,  1 - 2,  https--www.ligafemenil.mx-cancha-estadio-1427-estadio-fmf-cancha-3,  FMF Cancha 3,  https--www.ligafemenil.mx-cancha-galeria-ODA2NTMvMy82Ny82MS8xNA==-m-morelia-vs-guadalajara,  ,  https--www.ligafemenil.mx-cancha-playlist-80653-m-morelia-vs-guadalajara,  
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80654-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4OCwiaWRDbHVidmlzaXRhIjoxMTE4NX0=-informe-arbitral-pumas-vs-rayados-de-monterrey-jornada-3-estadio-fmf-cancha-1,  2 - 4,  https--www.ligafemenil.mx-cancha-estadio-1424-estadio-fmf-cancha-1,  FMF Cancha 1,  https--www.ligafemenil.mx-cancha-galeria-ODA2NTQvMy82Ny82MS8xNA==-pumas-vs-rayados-de-monterrey,  ,  https--www.ligafemenil.mx-cancha-playlist-80654-pumas-vs-rayados-de-monterrey,  
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80655-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE5MiwiaWRDbHVidmlzaXRhIjoxMTE4MH0=-informe-arbitral-santos-laguna-vs-tijuana-jornada-3-estadio-fmf-cancha-2,  0 - 2,  https--www.ligafemenil.mx-cancha-estadio-1425-estadio-fmf-cancha-2,  FMF Cancha 2,  https--www.ligafemenil.mx-cancha-galeria-ODA2NTUvMy82Ny82MS8xNA==-santos-laguna-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-80655-santos-laguna-vs-tijuana,  
2016-2017,Copa LIGA MX Femenil,  Viernes 5 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nJornada 3-n5 Mayo 2017 - 1215 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80656-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NCwiaWRDbHVidmlzaXRhIjoxMTE4N30=-informe-arbitral-pachuca-vs-toluca-jornada-3-estadio-fmf-cancha-3,  6 - 1,  https--www.ligafemenil.mx-cancha-estadio-1427-estadio-fmf-cancha-3,  FMF Cancha 3,  https--www.ligafemenil.mx-cancha-galeria-ODA2NTYvMy82Ny82MS8xNA==-pachuca-vs-toluca,  ,  https--www.ligafemenil.mx-cancha-playlist-80656-pachuca-vs-toluca,  
2016-2017,Copa LIGA MX Femenil,  Sábado 6 de Mayo de 2017-nTemporada 2016-2017-nTorneo Copa LIGA MX Femenil-nFinal-n6 Mayo 2017 - 1205 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-80742-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY3IiwiaWRUb3JuZW8iOiI2MSIsImlkQ2x1YmxvY2FsIjoxMTE4NCwiaWRDbHVidmlzaXRhIjoxMTE4MH0=-informe-arbitral-pachuca-vs-tijuana-final-estadio-fmf-tdn,  9 - 1,  https--www.ligafemenil.mx-cancha-estadio-1429-estadio-fmf,  Estadio FMF,  https--www.ligafemenil.mx-cancha-galeria-ODA3NDIvNC82Ny82MS8xNA==-pachuca-vs-tijuana,  ,  https--www.ligafemenil.mx-cancha-playlist-80742-pachuca-vs-tijuana,
2017-2018,Apertura,  Viernes 28 de Julio de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 1-n28 Julio 2017 - 1200 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-81161-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTg3LCJpZENsdWJ2aXNpdGEiOjExMTgxfQ==-informe-arbitral-toluca-vs-cruz-azul-jornada-1-estadio-instalaciones-metepec-cancha-1-natural,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-33-estadio-instalaciones-metepec-cancha-1-natural,  Instalaciones Metepec Cancha 1 Natural,  https--www.ligafemenil.mx-cancha-galeria-ODExNjEvMS82OC8xLzE0-toluca-vs-cruz-azul,  ,  https--www.ligafemenil.mx-cancha-playlist-81161-toluca-vs-cruz-azul,  
2017-2018,Apertura,  Sábado 29 de Julio de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 1-n29 Julio 2017 - 0900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-81164-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTkyLCJpZENsdWJ2aXNpdGEiOjExMjQzfQ==-informe-arbitral-santos-laguna-vs-leon-jornada-1-estadio-cancha-alterna-tsm-cancha-2-sintetica,  2 - 1,  https--www.ligafemenil.mx-cancha-estadio-64-estadio-cancha-alterna-tsm-cancha-2-sintetica,  Cancha Alterna TSM Cancha 2 Sintética,  https--www.ligafemenil.mx-cancha-galeria-ODExNjQvMS82OC8xLzE0-santos-laguna-vs-leon,  ,  https--www.ligafemenil.mx-cancha-playlist-81164-santos-laguna-vs-leon,  
2017-2018,Apertura,  Sábado 29 de Julio de 2017-nTemporada 2017-2018-nTorneo Apertura-nJornada 1-n29 Julio 2017 - 0900 hrs.,  https--www.ligafemenil.mx-cancha-informeArbitral-81167-eyJpZERpdmlzaW9uIjoiMTQiLCJpZFRlbXBvcmFkYSI6IjY4IiwiaWRUb3JuZW8iOiIxIiwiaWRDbHVibG9jYWwiOjExMTgyLCJpZENsdWJ2aXNpdGEiOjExMjQ1fQ==-informe-arbitral-guadalajara-vs-atlas-jornada-1-estadio-chivas-san-rafael,  3 - 0,  https--www.ligafemenil.mx-cancha-estadio-602-estadio-chivas-san-rafael,  Chivas San Rafael,  https--www.ligafemenil.mx-cancha-galeria-ODExNjcvMS82OC8xLzE0-guadalajara-vs-atlas,  ,  https--www.ligafemenil.mx-cancha-playlist-81167-guadalajara-vs-atlas,  
