Pos,Jugador,Club,G,MJ,ANOTA CADA,NACIONALIDAD
85º,Sarah Anne Mary Huchet,Cruz Azul,2,607,303.50 min,Francés
86º,Ana Rosa García,Cruz Azul,2,780,390.00 min,Mexicano
87º,Renata Fernanda Huerta,Cruz Azul,2,873,436.50 min,Mexicano
88º,Danya Jasmin Gutiérrrez,Cruz Azul,2,902,451.00 min,Mexicano
89º,Edith Deyanira Carmona,Cruz Azul,2,1417,708.50 min,Mexicano
90º,Valeria Valdez,Cruz Azul,2,1529,764.50 min,Mexicano
91º,Elliana Rose Ramirez,León,2,288,144.00 min,Mexicano
92º,Yashira Yuleth Barrientos,León,2,625,312.50 min,Mexicano
93º,Daniela Calderón,León,2,751,375.50 min,Mexicano
94º,Michelle Guadalupe Gutiérrez,Atlético de San Luis,2,120,60.00 min,Mexicano
95º,Denisse Alejandra Rivera,Atlético de San Luis,2,846,423.00 min,Mexicano
96º,Isidora Victoria Olave,Atlético de San Luis,2,1422,711.00 min,Chileno
97º,Olga Massombo,Mazatlán FC,2,713,356.50 min,Congalí (RD)
98º,Sebelle Elysse Rojas,Puebla,2,1222,611.00 min,Mexicano
99º,Johana Esperanza Rosas,Puebla,2,1269,634.50 min,Mexicano
100º,Kimberli Anahí Gómez,Santos Laguna,2,1177,588.50 min,Mexicano
101º,Ana Gabriela Huerta,Necaxa,2,915,457.50 min,Mexicano
102º,Carla Monique Montes,Rayadas,1,94,94.00 min,Mexicano
103º,Lourdes Sofía Martínez,Rayadas,1,121,121.00 min,Mexicano
104º,Marcela Restrepo,Rayadas,1,421,421.00 min,Colombiano
105º,Diana Laura Evangelista,Rayadas,1,617,617.00 min,Mexicano
106º,Myra Alexandra Delgadillo,Rayadas,1,695,695.00 min,Mexicano
107º,Karol Esthefany Bernal,Rayadas,1,783,783.00 min,Mexicano
108º,María Fernanda Elizondo,Tigres,1,111,111.00 min,Mexicano
109º,Natalia Judith Colín,Tigres,1,253,253.00 min,Mexicano
110º,Lydia Nayeli Rangel,Tigres,1,399,399.00 min,Mexicano
111º,Joseline Montoya,Tigres,1,443,443.00 min,Mexicano
112º,Belén De Jesús Cruz,Tigres,1,694,694.00 min,Mexicano
113º,Cristina Del Carmen Ferral,Tigres,1,890,890.00 min,Mexicano
