Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2020-2021,Apertura,1º,Katty Martínez,Tigres,18,1299
2020-2021,Apertura,2º,Alison Hecnary González,Atlas,17,1485
2020-2021,Apertura,3º,Mónica Desiree Monsiváis,Rayadas,13,1155
2020-2021,Apertura,4º,Alicia Cervantes,Guadalajara,12,1146
2020-2021,Apertura,5º,Daniela Espinosa,América,12,1363
2020-2021,Apertura,6º,Sandra Stephany Mayor,Tigres,10,1341
2020-2021,Apertura,7º,Adriana Iturbide,Atlas,9,1310
2020-2021,Apertura,8º,Christina Marie Burkenroad,Rayadas,9,1094
2020-2021,Apertura,9º,Esbeydi Viridiana Salazar,Pachuca,8,954
2020-2021,Apertura,10º,Betzy Casandra Cuevas,América,7,1428
2020-2021,Apertura,11º,Renae Nicole Cuéllar,Tijuana,7,1260
2020-2021,Apertura,12º,Dania Nicole Pérez,Guadalajara,6,1176
2020-2021,Apertura,13º,Christian Carolina Jaramillo,Guadalajara,6,1342
2020-2021,Apertura,14º,Edna Fabiola Santamaria,Pumas,6,1002
2020-2021,Apertura,15º,Lizette Montserrat Rodríguez,Querétaro,6,877
2020-2021,Apertura,16º,Belén De Jesús Cruz,Tigres,5,1134
2020-2021,Apertura,17º,Joana Robles,Atlas,5,1436
2020-2021,Apertura,18º,María Guadalupe Sánchez,Guadalajara,5,1413
2020-2021,Apertura,19º,Isabel Kasis,Atlético de San Luis,5,1339
2020-2021,Apertura,20º,Lucero Ximena Cuevas,León,5,1475
2020-2021,Apertura,21º,Atzimba Casas,FC Juárez,5,1048
2020-2021,Apertura,22º,María Fernanda Elizondo,Tigres,4,406
2020-2021,Apertura,23º,Lizbeth Jacqueline Ovalle,Tigres,4,1228
2020-2021,Apertura,24º,Daniela Lizbeth Solís,Rayadas,4,1210
2020-2021,Apertura,25º,Rebeca Bernal,Rayadas,4,1462
2020-2021,Apertura,26º,Norma Luz Irene Duarte,Guadalajara,4,751
2020-2021,Apertura,27º,Liliana Rodríguez,Pumas,4,610
2020-2021,Apertura,28º,Daniela Itzaxaya García,Pumas,4,1350
2020-2021,Apertura,29º,Paola Estefanía Alemán,Atlético de San Luis,4,1126
2020-2021,Apertura,30º,Daniela Calderón,León,4,710
2020-2021,Apertura,31º,Estefany Elizabeth Hernández,Necaxa,4,1169
2020-2021,Apertura,32º,Marcia Paola García,Atlas,3,542
2020-2021,Apertura,33º,Claudia Fabiola Ibarra,Atlas,3,679
2020-2021,Apertura,34º,Dinora Lizeth Garza,Rayadas,3,528
2020-2021,Apertura,35º,Aylin Ariana Aviléz,Rayadas,3,553
2020-2021,Apertura,36º,Jaquelín García,Pumas,3,754
2020-2021,Apertura,37º,Anisa Raquel Guajardo,Pumas,3,909
2020-2021,Apertura,38º,Karym Iturbe,Querétaro,3,736
2020-2021,Apertura,39º,Leidy Lizeth Ramos,Querétaro,3,963
2020-2021,Apertura,40º,Mayra Alejandra Santana,Querétaro,3,1335
2020-2021,Apertura,41º,Blanky Denisse Serrano,Pachuca,3,924
2020-2021,Apertura,42º,Lizbeth Ángeles,Pachuca,3,1126
2020-2021,Apertura,43º,Olga Anahí Trasviña,Santos Laguna,3,947
2020-2021,Apertura,44º,Alexia Nayeli Villanueva,Santos Laguna,3,1134
2020-2021,Apertura,45º,Cinthya Peraza,Santos Laguna,3,1317
2020-2021,Apertura,46º,Alexxandra Ramírez,Santos Laguna,3,1466
2020-2021,Apertura,47º,Liliana Hernández,Mazatlán FC,3,991
2020-2021,Apertura,48º,Estefania Izaguirre,Atlético de San Luis,3,1284
2020-2021,Apertura,49º,Daniela Carrandi,Atlético de San Luis,3,1411
2020-2021,Apertura,50º,María José López,Puebla,3,1118
2020-2021,Apertura,51º,Karla Daniela Zempoalteca,Cruz Azul,3,861
2020-2021,Apertura,52º,Karime Abud,Cruz Azul,3,1064
2020-2021,Apertura,53º,Dulce Maria Alvarado,Necaxa,3,1337
2020-2021,Apertura,54º,Natalia Inés Gómez Junco,Tigres,2,306
2020-2021,Apertura,55º,Liliana Mercado,Tigres,2,1350
2020-2021,Apertura,56º,Isabella Amyx,Atlas,2,170
2020-2021,Apertura,57º,Norma Janeth Hernández,Atlas,2,1297
2020-2021,Apertura,58º,Yamile Azenek Franco,Rayadas,2,664
2020-2021,Apertura,59º,Diana Laura García,Rayadas,2,1275
2020-2021,Apertura,60º,Joseline Montoya,Guadalajara,2,605
2020-2021,Apertura,61º,Dalia Isabel Molina,América,2,591
2020-2021,Apertura,62º,Dorian Montserrat Hernández,América,2,975
2020-2021,Apertura,63º,Selene Itzel Valera,América,2,1154
2020-2021,Apertura,64º,Marlyn Margoth Campa,América,2,1220
2020-2021,Apertura,65º,Paola Chavero,Pumas,2,311
