Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2023-2024,Clausura,1º,Verónica Charlyn Corral,Pachuca,19,1350
2023-2024,Clausura,2º,Katty Martínez,América,15,1175
2023-2024,Clausura,3º,Stephanie Mariana Ribeiro,Pumas,14,1320
2023-2024,Clausura,4º,Chinwendu Verónica Ihezuo,Pachuca,13,1262
2023-2024,Clausura,5º,Sandra Stephany Mayor,Tigres,12,1202
2023-2024,Clausura,6º,Alicia Cervantes,Guadalajara,11,946
2023-2024,Clausura,7º,Aerial Lynndonna Chavarin,Pumas,9,1248
2023-2024,Clausura,8º,Yashira Yuleth Barrientos,León,9,1124
2023-2024,Clausura,9º,Jasmine Alexis Casarez,FC Juárez,9,1351
2023-2024,Clausura,10º,Brenda Woch Da Graca,Toluca,9,1378
2023-2024,Clausura,11º,Daniela Espinosa,Tijuana,9,1404
2023-2024,Clausura,12º,Jermaine Seoposenwe,Rayadas,8,1027
2023-2024,Clausura,13º,Jennifer Hermoso,Tigres,7,997
2023-2024,Clausura,14º,Myra Alexandra Delgadillo,Rayadas,7,1312
2023-2024,Clausura,15º,Deneisha Selena Blackwood,Pumas,7,1201
2023-2024,Clausura,16º,Chrestinah Thembi Kgatlana,Tigres,6,906
2023-2024,Clausura,17º,Merel Didi Van Dongen,Rayadas,6,727
2023-2024,Clausura,18º,Dania Nicole Pérez,Rayadas,6,1454
2023-2024,Clausura,19º,Sarah Jacquelyn Luebbert,América,6,1188
2023-2024,Clausura,20º,Adriana Iturbide,Guadalajara,6,1386
2023-2024,Clausura,21º,Daniela Calderón,León,6,1365
2023-2024,Clausura,22º,Aisha Keshy Solórzano,Puebla,6,1316
2023-2024,Clausura,23º,Danielle Marie Fuentes,Necaxa,6,1244
2023-2024,Clausura,24º,Ximena Elizabeth Rios,Cruz Azul,6,1059
2023-2024,Clausura,25º,Maricarmen Reyes,Tigres,5,969
2023-2024,Clausura,26º,Lizbeth Jacqueline Ovalle,Tigres,5,1140
2023-2024,Clausura,27º,Ana Lucia Martínez,Rayadas,5,1205
2023-2024,Clausura,28º,Christian Carolina Jaramillo,Guadalajara,5,1318
2023-2024,Clausura,29º,Alejandra Guerrero,Pumas,5,1203
2023-2024,Clausura,30º,Lizbeth Ángeles,León,5,1314
2023-2024,Clausura,31º,Prisca Chilufya,FC Juárez,5,1190
2023-2024,Clausura,32º,Mariel Román,Toluca,5,1026
2023-2024,Clausura,33º,Jennie Marshall Lakip,Querétaro,5,488
2023-2024,Clausura,34º,Marcia Paola García,Atlas,5,1181
2023-2024,Clausura,35º,Savianna Gomez,Puebla,5,1294
2023-2024,Clausura,36º,Sinoxolo Cesane,Mazatlán FC,5,675
2023-2024,Clausura,37º,Trudi Sudan Carter,Atlético de San Luis,5,1385
2023-2024,Clausura,38º,Alison Hecnary González,Tigres,4,822
2023-2024,Clausura,39º,Rebeca Bernal,Rayadas,4,1205
2023-2024,Clausura,40º,Dana Gabrielle Sandoval,Guadalajara,4,710
2023-2024,Clausura,41º,Janelly Farias,FC Juárez,4,1375
2023-2024,Clausura,42º,Natalia Macías Valadez,Toluca,4,1180
2023-2024,Clausura,43º,Cinthya Peraza,Toluca,4,1488
2023-2024,Clausura,44º,Lía Betsabé Morán,Querétaro,4,1205
2023-2024,Clausura,45º,María Paula Salas,Atlas,4,735
2023-2024,Clausura,46º,Hildah Tholakele Magaia,Mazatlán FC,4,1158
2023-2024,Clausura,47º,Soumaya Lyna Bouak,Mazatlán FC,4,1445
2023-2024,Clausura,48º,Erica Gomes Da Silva Santos,Cruz Azul,4,849
2023-2024,Clausura,49º,Annelise Marie Henderson,Santos Laguna,4,840
2023-2024,Clausura,50º,Daniela Itzaxaya García,Santos Laguna,4,1442
2023-2024,Clausura,51º,Lydia Nayeli Rangel,Tigres,3,318
2023-2024,Clausura,52º,Belén De Jesús Cruz,Tigres,3,620
2023-2024,Clausura,53º,Alice Fernanda Soto,Pachuca,3,875
2023-2024,Clausura,54º,Daniela Frank Flores,Pachuca,3,1440
2023-2024,Clausura,55º,Miah Alexia Zuazua,América,3,710
2023-2024,Clausura,56º,Kiana Angélica Palacios,América,3,1030
2023-2024,Clausura,57º,Aurelie Anne Sophie Kaci,América,3,1086
2023-2024,Clausura,58º,Mayalu Ann Rausch,León,3,1423
2023-2024,Clausura,59º,Alondra Blanco,FC Juárez,3,241
2023-2024,Clausura,60º,Samantha Kassandra Calvillo,Toluca,3,465
2023-2024,Clausura,61º,Michaela Batya Bisi Abam,Toluca,3,831
2023-2024,Clausura,62º,Jazmín Enrigue,Querétaro,3,1394
2023-2024,Clausura,63º,Sanjuana De Jesús Muñoz,Tijuana,3,618
2023-2024,Clausura,64º,Marta Alexandra Cox Villarreal,Tijuana,3,902
2023-2024,Clausura,65º,Mayra Alejandra Pelayo-bernal,Tijuana,3,924
2023-2024,Clausura,66º,Mónica Rose Alvarado,Tijuana,3,1088
2023-2024,Clausura,67º,Brenda Damaris Ceren,Atlas,3,1374
2023-2024,Clausura,68º,Liliana Fernández,Puebla,3,1085
2023-2024,Clausura,69º,Mariana Ramos,Necaxa,3,532
2023-2024,Clausura,70º,Ana Rosa García,Cruz Azul,3,1027
2023-2024,Clausura,71º,Lia Mariel Romero,Santos Laguna,3,1075
2023-2024,Clausura,72º,María Fernanda Elizondo,Tigres,2,59
2023-2024,Clausura,73º,Destinee Noel Manzo,Pachuca,2,591
2023-2024,Clausura,74º,Mónica Ocampo,Pachuca,2,802
2023-2024,Clausura,75º,Claudia Fabiola Ibarra,Pachuca,2,844
2023-2024,Clausura,76º,Yanin Madrid,Pachuca,2,1113
2023-2024,Clausura,77º,Christina Marie Burkenroad,Rayadas,2,386
2023-2024,Clausura,78º,Yamile Azenek Franco,Rayadas,2,482
2023-2024,Clausura,79º,Aylin Ariana Aviléz,América,2,378
2023-2024,Clausura,80º,María Natalia Mauleon,América,2,723
2023-2024,Clausura,81º,Karen Irasema Luna,América,2,977
2023-2024,Clausura,82º,Andrea Pereira,América,2,1297
2023-2024,Clausura,83º,Esbeydi Viridiana Salazar,Guadalajara,2,810
2023-2024,Clausura,84º,Gabriela Valenzuela,Guadalajara,2,920
2023-2024,Clausura,85º,Mónica Desiree Monsiváis,Pumas,2,578
2023-2024,Clausura,86º,Dinora Lizeth Garza,León,2,266
2023-2024,Clausura,87º,Ysaura Candelaria Viso,León,2,380
2023-2024,Clausura,88º,Norma Luz Irene Duarte,FC Juárez,2,274
2023-2024,Clausura,89º,Andrea Hernández,FC Juárez,2,796
2023-2024,Clausura,90º,Annia Stephany Mejía,FC Juárez,2,1151
2023-2024,Clausura,91º,Michelle González,Toluca,2,1530
2023-2024,Clausura,92º,Edna Fabiola Santamaria,Querétaro,2,1040
2023-2024,Clausura,93º,Inglis Yoana Hernández,Tijuana,2,1003
2023-2024,Clausura,94º,Daphne Melissa Herrera,Tijuana,2,1063
2023-2024,Clausura,95º,Maritza Dardane Maldonado,Atlas,2,962
2023-2024,Clausura,96º,Fátima Rosales,Puebla,2,677
2023-2024,Clausura,97º,Dulce Eileen Martínez,Puebla,2,1530
2023-2024,Clausura,98º,Alejandra Guadalupe Curiel,Mazatlán FC,2,553
2023-2024,Clausura,99º,Karen Jissel Reyes,Necaxa,2,670
2023-2024,Clausura,100º,Iraida Guadalupe Fernández,Necaxa,2,1436
2023-2024,Clausura,101º,Meghan Lee Cavanaugh,Cruz Azul,2,663
2023-2024,Clausura,102º,Isabel Kasis,Atlético de San Luis,2,906
2023-2024,Clausura,103º,Farlyn Fernanda Caicedo,Atlético de San Luis,2,1195
