Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2023-2024,Clausura,104º,Nancy Guadalupe Antonio,Tigres,1,394
2023-2024,Clausura,105º,Konya Tajae Plummer,Tigres,1,494
2023-2024,Clausura,106º,Alexia Fernanda Delgado,Tigres,1,670
2023-2024,Clausura,107º,Jana Alexandra Gutiérrez,Tigres,1,1201
2023-2024,Clausura,108º,Ella Ryan Sanchez,Pachuca,1,31
2023-2024,Clausura,109º,Maria Catalina Usme,Pachuca,1,815
2023-2024,Clausura,110º,Valeria Valdez,Rayadas,1,393
2023-2024,Clausura,111º,Tanna Sánchez,Rayadas,1,428
2023-2024,Clausura,112º,Diana Laura Evangelista,Rayadas,1,481
2023-2024,Clausura,113º,Fátima Servín,Rayadas,1,852
2023-2024,Clausura,114º,Angelique Montserrat Saldivar,América,1,563
2023-2024,Clausura,115º,Jocelyn Marie Orejel,América,1,634
2023-2024,Clausura,116º,Kimberly Vanessa Rodríguez,América,1,699
2023-2024,Clausura,117º,Betzy Casandra Cuevas,América,1,798
2023-2024,Clausura,118º,Nicolette Andrea Hernández,América,1,800
2023-2024,Clausura,119º,Kristal Rubi Soto,Guadalajara,1,455
2023-2024,Clausura,120º,Diana Jaqueline Rodríguez,Guadalajara,1,1142
2023-2024,Clausura,121º,Casandra Montero,Guadalajara,1,1352
2023-2024,Clausura,122º,Sindia Anahi Arteaga,Pumas,1,16
2023-2024,Clausura,123º,Kimberli Anahí Gómez,Pumas,1,141
2023-2024,Clausura,124º,Irma Liceth Pinzon,Pumas,1,257
2023-2024,Clausura,125º,Laura Herrera,Pumas,1,448
2023-2024,Clausura,126º,Dirce Delgado,Pumas,1,1523
2023-2024,Clausura,127º,Fernanda Paz Pinilla,León,1,1113
2023-2024,Clausura,128º,Linda Ruth Bravo,León,1,1408
2023-2024,Clausura,129º,Isabela Esquivias,León,1,1465
2023-2024,Clausura,130º,Sayuri Yuki Watari,FC Juárez,1,411
2023-2024,Clausura,131º,Destinney Rosalía Duron,FC Juárez,1,470
2023-2024,Clausura,132º,Karime Abud,FC Juárez,1,844
2023-2024,Clausura,133º,Sumiko Gutiérrez,FC Juárez,1,987
2023-2024,Clausura,134º,Grace Asantewaa,FC Juárez,1,1093
2023-2024,Clausura,135º,Ivanna Guadalupe Estrada,Toluca,1,49
2023-2024,Clausura,136º,Liliana Rodríguez,Toluca,1,374
2023-2024,Clausura,137º,Celia Chainez Bensalem,Toluca,1,459
2023-2024,Clausura,138º,Natalia Inés Gómez Junco,Toluca,1,899
2023-2024,Clausura,139º,Dulce Maria Alvarado,Querétaro,1,315
2023-2024,Clausura,140º,Claudia Fernanda Cid,Querétaro,1,467
2023-2024,Clausura,141º,Deisy Estefania Ojeda,Querétaro,1,822
2023-2024,Clausura,142º,Barbrha Alejandra Figueroa,Querétaro,1,981
2023-2024,Clausura,143º,Solange Lemos,Querétaro,1,1002
2023-2024,Clausura,144º,Leidy Lizeth Ramos,Querétaro,1,1211
2023-2024,Clausura,145º,Magaly Cortés,Querétaro,1,1245
2023-2024,Clausura,146º,Victoria López,Tijuana,1,57
2023-2024,Clausura,147º,Luciana Nicolé García,Tijuana,1,58
2023-2024,Clausura,148º,Paola Del Carmen Villamizar,Tijuana,1,379
2023-2024,Clausura,149º,Mariana Munguía,Tijuana,1,510
2023-2024,Clausura,150º,Bianca Esther Mora,Tijuana,1,940
2023-2024,Clausura,151º,Joselyn De La Rosa,Tijuana,1,1291
2023-2024,Clausura,152º,Alexa Daniela Curiel,Atlas,1,146
2023-2024,Clausura,153º,Alejandra Lomelí,Atlas,1,1388
2023-2024,Clausura,154º,Ivonne Najar,Puebla,1,724
2023-2024,Clausura,155º,Viridiana López,Puebla,1,885
2023-2024,Clausura,156º,Andrea González,Puebla,1,1161
2023-2024,Clausura,157º,Samantha López,Mazatlán FC,1,1163
2023-2024,Clausura,158º,Zulma Yared Hernández,Mazatlán FC,1,1330
2023-2024,Clausura,159º,Olga Anahí Trasviña,Mazatlán FC,1,1342
2023-2024,Clausura,160º,Brenda Judith García,Mazatlán FC,1,1455
2023-2024,Clausura,161º,Saira Cecilia López,Necaxa,1,179
2023-2024,Clausura,162º,María Del Pilar Aceves,Necaxa,1,313
2023-2024,Clausura,163º,María José Acosta,Necaxa,1,1222
2023-2024,Clausura,164º,Itzia Tenahua,Cruz Azul,1,332
2023-2024,Clausura,165º,Alejandra Guadalupe Martínez,Cruz Azul,1,1332
2023-2024,Clausura,166º,Dalia Isabel Molina,Cruz Azul,1,1443
2023-2024,Clausura,167º,Mallory Ann Olsson,Santos Laguna,1,604
2023-2024,Clausura,168º,Celeste Guevara,Santos Laguna,1,637
2023-2024,Clausura,169º,Alexia Nayeli Villanueva,Santos Laguna,1,1285
2023-2024,Clausura,170º,Michel Anahy Ruiz,Santos Laguna,1,1361
2023-2024,Clausura,171º,Joana Robles,Atlético de San Luis,1,414
2023-2024,Clausura,172º,Mariela García,Atlético de San Luis,1,553
2023-2024,Clausura,173º,Mayra Alejandra Santana,Atlético de San Luis,1,624
2023-2024,Clausura,174º,Vanessa González,Atlético de San Luis,1,775
2023-2024,Clausura,175º,María Fernanda Sánchez,Atlético de San Luis,1,1335
2023-2024,Clausura,176º,Zellyka Guadalupe Arce,Atlético de San Luis,1,1355
2023-2024,Clausura,177º,Karen Lizbeth Cano,Atlético de San Luis,1,1530
