Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2019-2020,Apertura,1º,Mónica Desiree Monsiváis,Rayadas,17,1226
2019-2020,Apertura,1º,Esbeydi Viridiana Salazar,Pachuca,17,1520
2019-2020,Apertura,3º,Daniela Espinosa,América,13,1272
2019-2020,Apertura,4º,Renae Nicole Cuéllar,Tijuana,12,1530
2019-2020,Apertura,5º,Katty Martínez,Tigres,10,883
2019-2020,Apertura,6º,Diana Laura Evangelista,Rayadas,9,1172
2019-2020,Apertura,7º,Mariel Román,Toluca,9,1465
2019-2020,Apertura,8º,Adriana Iturbide,Atlas,9,1442
2019-2020,Apertura,9º,Lizbeth Jacqueline Ovalle,Tigres,8,1261
2019-2020,Apertura,10º,Alison Hecnary González,Atlas,8,1501
2019-2020,Apertura,11º,Dalia Isabel Molina,M. Morelia,8,1596
2019-2020,Apertura,12º,Belén De Jesús Cruz,Tigres,6,1275
2019-2020,Apertura,13º,Karla Yolanda Jiménez,M. Morelia,6,1510
2019-2020,Apertura,14º,Sanjuana De Jesús Muñoz,León,6,1554
2019-2020,Apertura,15º,Liliana Hernández,Veracruz,6,1518
2019-2020,Apertura,16º,Aylin Ariana Aviléz,Rayadas,5,498
2019-2020,Apertura,17º,Daniela Lizbeth Solís,Rayadas,5,820
2019-2020,Apertura,18º,Dinora Lizeth Garza,Rayadas,5,1225
2019-2020,Apertura,19º,Mónica Ocampo,Pachuca,5,1043
2019-2020,Apertura,20º,Lucero Ximena Cuevas,América,5,581
2019-2020,Apertura,21º,Kristal Rubi Soto,Guadalajara,5,1291
2019-2020,Apertura,22º,Betzy Casandra Cuevas,Tijuana,5,1335
2019-2020,Apertura,23º,Claudia Fabiola Ibarra,Atlas,5,1357
2019-2020,Apertura,24º,Alejandra Calderón,M. Morelia,5,1260
2019-2020,Apertura,25º,Paola González,Cruz Azul,5,843
2019-2020,Apertura,26º,Martha Natalia Enciso,Cruz Azul,5,1386
2019-2020,Apertura,27º,Alejandra Guadalupe Curiel,Cruz Azul,5,1396
2019-2020,Apertura,28º,Brenda León,Cruz Azul,5,1477
2019-2020,Apertura,29º,María José López,Puebla,5,1620
2019-2020,Apertura,30º,Estela Gómez,Santos Laguna,5,731
2019-2020,Apertura,31º,Ana Paola López,Pachuca,4,1294
2019-2020,Apertura,32º,Diana Izbeth Fierro,Pachuca,4,1378
2019-2020,Apertura,33º,Yashira Yuleth Barrientos,Guadalajara,4,1015
2019-2020,Apertura,34º,Dania Nicole Pérez,Guadalajara,4,1607
2019-2020,Apertura,35º,María Natalia Mauleon,Toluca,4,920
2019-2020,Apertura,36º,María Guadalupe Cruzaley,M. Morelia,4,1574
2019-2020,Apertura,37º,Daniela Calderón,León,4,1031
2019-2020,Apertura,38º,Yamile Azenek Franco,León,4,1559
2019-2020,Apertura,39º,Andrea Alejandra Ortega,Puebla,4,1044
2019-2020,Apertura,40º,Cinthya Peraza,Santos Laguna,4,1620
2019-2020,Apertura,41º,Natalia Inés Gómez Junco,Tigres,3,520
2019-2020,Apertura,42º,Greta Alejandra Espinoza,Tigres,3,1620
2019-2020,Apertura,43º,Dorian Montserrat Hernández,América,3,1530
