Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2022-2023,Apertura,138º,Marcia Paola García,Atlas,1,64
2022-2023,Apertura,139º,Sulma Yaderia Plancarte,Atlas,1,541
2022-2023,Apertura,140º,Alejandra Franco,Atlas,1,585
2022-2023,Apertura,141º,Sabrina Figueroa,Atlas,1,635
2022-2023,Apertura,142º,Alejandra Lomelí,Atlas,1,876
2022-2023,Apertura,143º,Zellyka Guadalupe Arce,Atlas,1,1098
2022-2023,Apertura,144º,Karen Andrea García,Atlas,1,1244
2022-2023,Apertura,145º,Valeria Razo,Atlas,1,1434
2022-2023,Apertura,146º,Karla Daniela Zempoalteca,FC Juárez,1,511
2022-2023,Apertura,147º,Natalia Guadalupe Penagos,León,1,87
2022-2023,Apertura,148º,Karen Itzayana Gómez,León,1,117
2022-2023,Apertura,149º,Romina Stefania Núñez,León,1,813
2022-2023,Apertura,150º,Madeleine Pasco,León,1,1196
2022-2023,Apertura,151º,Brenda Esmeralda Díaz,León,1,1323
2022-2023,Apertura,152º,Silvana González,Atlético de San Luis,1,434
2022-2023,Apertura,153º,Estefania Izaguirre,Atlético de San Luis,1,1035
2022-2023,Apertura,154º,Natalia Inés Gómez Junco,Atlético de San Luis,1,1457
2022-2023,Apertura,155º,Brenda Vanessa López,Santos Laguna,1,692
2022-2023,Apertura,156º,Barbrha Alejandra Figueroa,Querétaro,1,275
2022-2023,Apertura,157º,Sonia Vázquez,Querétaro,1,425
2022-2023,Apertura,158º,Lía Betsabé Morán,Querétaro,1,1386
2022-2023,Apertura,159º,Jaqueline González,Puebla,1,674
2022-2023,Apertura,160º,Fátima Rosales,Puebla,1,1351
2022-2023,Apertura,161º,Ivonne Najar,Puebla,1,1530
2022-2023,Apertura,162º,Jazmín Piza,Mazatlán FC,1,138
2022-2023,Apertura,163º,Yuliana Marlene Mora,Mazatlán FC,1,515
2022-2023,Apertura,164º,Karla Katia Saavedra,Mazatlán FC,1,907
2022-2023,Apertura,165º,Yaritza Yanely Arista,Mazatlán FC,1,1136
2022-2023,Apertura,166º,Iraida Guadalupe Fernández,Necaxa,1,494
2022-2023,Apertura,167º,Alejandra Guerrero,Necaxa,1,680
2022-2023,Apertura,168º,Reyna Sabina Velázquez,Necaxa,1,944
2022-2023,Apertura,169º,Fanny Lizeth Grano,Necaxa,1,1234
2022-2023,Apertura,170º,Samantha Kassandra Calvillo,Necaxa,1,1341
2022-2023,Apertura,171º,Dayán Vianey Fuentes,Necaxa,1,1489
