Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2018-2019,Apertura,67º,Karla Paola Nieto,Pachuca,2,900
2018-2019,Apertura,68º,Miriam Vanessa García,Guadalajara,2,1060
2018-2019,Apertura,69º,Yamile Azenek Franco,Toluca,2,728
2018-2019,Apertura,70º,Zaira Carolina Miranda,Toluca,2,901
2018-2019,Apertura,71º,Karla Daniela Zempoalteca,Toluca,2,1153
2018-2019,Apertura,72º,Edna Fabiola Santamaria,Pumas,2,990
2018-2019,Apertura,73º,Patricia De María Jardón,Pumas,2,1081
2018-2019,Apertura,74º,Ricla Rajunov,Pumas,2,1260
2018-2019,Apertura,75º,Fátima Del Carmen Delgado,Atlas,2,1248
2018-2019,Apertura,76º,Denisse Lizette Valdez,León,2,797
2018-2019,Apertura,77º,Sandy Paulina Cruzado,Querétaro,2,601
2018-2019,Apertura,78º,Sofia Alvarez,Querétaro,2,1288
2018-2019,Apertura,79º,Melissa Leilani Arredondo,Querétaro,2,1410
2018-2019,Apertura,80º,Claudia Fernanda Cid,Lobos BUAP,2,1383
2018-2019,Apertura,81º,Dalia Isabel Molina,M. Morelia,2,541
2018-2019,Apertura,82º,María Guadalupe Cruzaley,M. Morelia,2,1395
2018-2019,Apertura,83º,Alejandra Soriano,Veracruz,2,766
2018-2019,Apertura,84º,Daniela Alcantar,Veracruz,2,1141
2018-2019,Apertura,85º,Rosa Iris Aguiar,Tijuana,2,1306
2018-2019,Apertura,86º,Flor Rocío Rodríguez,Cruz Azul,2,428
2018-2019,Apertura,87º,Cristina Del Carmen Ferral,Tigres,1,671
2018-2019,Apertura,88º,Jazmín Enrigue,Tigres,1,887
2018-2019,Apertura,89º,Cynthia Mariana Rodríguez,Pachuca,1,80
2018-2019,Apertura,90º,Karen Itzayana Gómez,Pachuca,1,963
2018-2019,Apertura,91º,Alejandra Guadalupe Curiel,América,1,279
2018-2019,Apertura,92º,Julieta Peralta,América,1,433
2018-2019,Apertura,93º,Diana Victoria González,América,1,670
2018-2019,Apertura,94º,Estefanía Fuentes,América,1,855
2018-2019,Apertura,95º,Anette Natalia Vázquez,Guadalajara,1,252
2018-2019,Apertura,96º,Yazmin Araceli Álvarez,Guadalajara,1,354
2018-2019,Apertura,97º,Ana Gabriela Huerta,Guadalajara,1,361
2018-2019,Apertura,98º,Priscila Guadalupe Padilla,Guadalajara,1,728
2018-2019,Apertura,99º,Tania Paola Morales,Guadalajara,1,1099
2018-2019,Apertura,100º,María Andrea Sánchez,Guadalajara,1,1224
2018-2019,Apertura,101º,Miriam Castillo,Guadalajara,1,1232
2018-2019,Apertura,102º,Aylin Ariana Aviléz,Rayadas,1,265
2018-2019,Apertura,103º,Norali Armenta,Rayadas,1,412
2018-2019,Apertura,104º,Dinora Lizeth Garza,Rayadas,1,760
2018-2019,Apertura,105º,Rebeca Bernal,Rayadas,1,971
2018-2019,Apertura,106º,Valeria Valdez,Rayadas,1,1035
2018-2019,Apertura,107º,Alejandra Zaragoza,Toluca,1,118
2018-2019,Apertura,108º,Ana Paola López,Pumas,1,179
2018-2019,Apertura,109º,Hireri Velázquez,Pumas,1,886
2018-2019,Apertura,110º,Bibiana Guadalupe Quintos,Pumas,1,938
2018-2019,Apertura,111º,Ana Karen López,Pumas,1,1170
2018-2019,Apertura,112º,Dania Belén Padilla,Pumas,1,1348
2018-2019,Apertura,113º,Zellyka Guadalupe Arce,Atlas,1,1431
2018-2019,Apertura,114º,Alondra Jiménez,Puebla,1,357
2018-2019,Apertura,115º,Carmen Lissette Taboada,Puebla,1,476
2018-2019,Apertura,116º,Ivonne Najar,Puebla,1,690
2018-2019,Apertura,117º,Mariam Nataly Castro,Puebla,1,1113
2018-2019,Apertura,118º,María José López,Puebla,1,1384
2018-2019,Apertura,119º,Leticia Vázquez,León,1,863
2018-2019,Apertura,120º,Daniela Auza,Querétaro,1,537
2018-2019,Apertura,121º,Luz María Ruíz,Querétaro,1,1046
2018-2019,Apertura,122º,Ana Paola Pérez,Lobos BUAP,1,378
2018-2019,Apertura,123º,Cheyli Yuset Almejo,Lobos BUAP,1,527
2018-2019,Apertura,124º,Karen Mejía,Lobos BUAP,1,1206
2018-2019,Apertura,125º,Nadia Enira Barriga,M. Morelia,1,639
2018-2019,Apertura,126º,María Fernanda Sandoval,M. Morelia,1,771
2018-2019,Apertura,127º,Eleisa Santos,M. Morelia,1,1326
2018-2019,Apertura,128º,Roxana Torres,Veracruz,1,298
2018-2019,Apertura,129º,Paloma Sugey Velázquez,Veracruz,1,755
2018-2019,Apertura,130º,Diana Verónica Jiménez,Veracruz,1,1049
2018-2019,Apertura,131º,Ixzayana Viveros,Veracruz,1,1080
2018-2019,Apertura,132º,Lissete Aline Mata,Veracruz,1,1081
2018-2019,Apertura,133º,Zaira Ibeth Fortis,Veracruz,1,1112
2018-2019,Apertura,134º,Wendy Yamileth Morales,Veracruz,1,1350
2018-2019,Apertura,135º,Mitzy Nataly Ortega,Tijuana,1,650
2018-2019,Apertura,136º,Karen Miroslava Maprigat,Tijuana,1,731
2018-2019,Apertura,137º,Samantha Arellano,Tijuana,1,1440
2018-2019,Apertura,138º,Alondra Karime Camargo,Tijuana,1,1440
2018-2019,Apertura,139º,Liliana Guadalupe Godoy,Cruz Azul,1,287
2018-2019,Apertura,140º,Daniela Yunuet Fuentes,Cruz Azul,1,579
2018-2019,Apertura,141º,Martha Natalia Enciso,Cruz Azul,1,717
2018-2019,Apertura,142º,Itzel Cruz,Cruz Azul,1,1263
2018-2019,Apertura,143º,Daniela Janet Monroy,Cruz Azul,1,1271
2018-2019,Apertura,144º,Olga Anahí Trasviña,Santos Laguna,1,286
2018-2019,Apertura,145º,Alexxandra Ramírez,Santos Laguna,1,804
2018-2019,Apertura,146º,Daniela Delgado,Santos Laguna,1,865
2018-2019,Apertura,147º,Brenda Alejandra Guevara,Santos Laguna,1,1316
2018-2019,Apertura,148º,Iran Michelle Medina,Necaxa,1,746
2018-2019,Apertura,149º,Andrea Sofía Castellanos,Necaxa,1,898
2018-2019,Apertura,150º,Claudia Magdalena Sánchez,Necaxa,1,952
2018-2019,Apertura,151º,Melissa Janeth Garcia,Necaxa,1,1076
2018-2019,Apertura,152º,Andrea Magdalena Villalobos,Necaxa,1,1135
