Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2018-2019,Apertura,1º,Mónica Desiree Monsiváis,Rayadas,13,887
2018-2019,Apertura,2º,Katty Martínez,Tigres,12,834
2018-2019,Apertura,3º,Mariel Román,Toluca,11,1075
2018-2019,Apertura,4º,Mariela Jiménez,Puebla,9,1315
2018-2019,Apertura,5º,Mónica Ocampo,Pachuca,8,619
2018-2019,Apertura,6º,Diana Laura Evangelista,Rayadas,8,1064
2018-2019,Apertura,7º,Betzy Casandra Cuevas,América,7,1257
2018-2019,Apertura,8º,Adriana Iturbide,Atlas,7,1131
2018-2019,Apertura,9º,Sanjuana De Jesús Muñoz,León,7,1411
2018-2019,Apertura,10º,Yahaira Esmeralda Flores,Santos Laguna,7,1305
2018-2019,Apertura,11º,Alison Hecnary González,Tigres,6,515
2018-2019,Apertura,12º,María Fernanda Elizondo,Tigres,6,573
2018-2019,Apertura,13º,Lizbeth Ángeles,Pachuca,6,1394
2018-2019,Apertura,14º,Norma Luz Irene Duarte,Guadalajara,6,1419
2018-2019,Apertura,15º,Daniela Lizbeth Solís,Rayadas,6,967
2018-2019,Apertura,16º,Belén De Jesús Cruz,Tigres,5,624
2018-2019,Apertura,17º,Marylin Viridiana Díaz,América,5,1385
2018-2019,Apertura,18º,Alicia Cervantes,Rayadas,5,1008
2018-2019,Apertura,19º,María Natalia Mauleon,Toluca,5,855
2018-2019,Apertura,20º,Abigail De Jesús,Lobos BUAP,5,1006
2018-2019,Apertura,21º,Gloria Narváez,Lobos BUAP,5,1066
2018-2019,Apertura,22º,Sharon Andrea Barba,Cruz Azul,5,1033
2018-2019,Apertura,23º,Evelyn Teresa González,Tigres,4,739
2018-2019,Apertura,24º,Liliana Mercado,Tigres,4,1138
2018-2019,Apertura,25º,Esbeydi Viridiana Salazar,Pachuca,4,851
2018-2019,Apertura,26º,Vannya Rebeca García,América,4,396
2018-2019,Apertura,27º,Daniela Espinosa,América,4,924
2018-2019,Apertura,28º,Kristal Rubi Soto,Guadalajara,4,927
2018-2019,Apertura,29º,Arlett Tovar,Guadalajara,4,1206
2018-2019,Apertura,30º,Liliana Rodríguez,Toluca,4,1054
2018-2019,Apertura,31º,Kenya Téllez,Toluca,4,1162
2018-2019,Apertura,32º,Ana Rosa García,Atlas,4,1050
2018-2019,Apertura,33º,Claudia Fabiola Ibarra,Atlas,4,1286
2018-2019,Apertura,34º,Joana Robles,Atlas,4,1337
2018-2019,Apertura,35º,Mirelle Arciniega,Puebla,4,1120
2018-2019,Apertura,36º,Jessica Liliana Tenorio,Puebla,4,1440
2018-2019,Apertura,37º,Michelle González,León,4,1440
2018-2019,Apertura,38º,Alejandra Zoe Tapia,Querétaro,4,1079
2018-2019,Apertura,39º,Lizette Montserrat Rodríguez,M. Morelia,4,696
2018-2019,Apertura,40º,Madeleine Pasco,M. Morelia,4,1236
2018-2019,Apertura,41º,Inglis Yoana Hernández,Tijuana,4,1221
2018-2019,Apertura,42º,Lizbeth Jacqueline Ovalle,Tigres,3,536
2018-2019,Apertura,43º,Yanin Madrid,Pachuca,3,1253
2018-2019,Apertura,44º,Lucero Ximena Cuevas,América,3,1080
2018-2019,Apertura,45º,Dania Nicole Pérez,Guadalajara,3,665
2018-2019,Apertura,46º,Brenda Noemí Viramontes,Guadalajara,3,1004
2018-2019,Apertura,47º,Andrea Hernández,Toluca,3,999
2018-2019,Apertura,48º,Karen Becerril,Toluca,3,1039
2018-2019,Apertura,49º,Karime Abud,Pumas,3,505
2018-2019,Apertura,50º,Diana Paula Gómez,Pumas,3,905
2018-2019,Apertura,51º,Mayra Alejandra Santana,Atlas,3,260
2018-2019,Apertura,52º,Ana Anayeli Rodríguez,Atlas,3,617
2018-2019,Apertura,53º,Nayeli Denise Peréz,Puebla,3,363
2018-2019,Apertura,54º,Perla Rocío Navarrete,León,3,928
2018-2019,Apertura,55º,Diana Laura García,León,3,1293
2018-2019,Apertura,56º,Rebeca Villuendas,Querétaro,3,1121
2018-2019,Apertura,57º,Brenda León,Lobos BUAP,3,1385
2018-2019,Apertura,58º,Nancy Ojeda,Veracruz,3,965
2018-2019,Apertura,59º,Melissa Aideé Sosa,Santos Laguna,3,1431
2018-2019,Apertura,60º,Lydia Nayeli Rangel,Tigres,2,359
2018-2019,Apertura,61º,Nancy Guadalupe Antonio,Tigres,2,771
2018-2019,Apertura,62º,Christian Carolina Jaramillo,Tigres,2,810
2018-2019,Apertura,63º,Greta Alejandra Espinoza,Tigres,2,1143
2018-2019,Apertura,64º,Estefany Elizabeth Hernández,Pachuca,2,183
2018-2019,Apertura,65º,Fátima Monserrat Arellano,Pachuca,2,817
2018-2019,Apertura,66º,Yaritzi Rodríguez,Pachuca,2,898
