Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2021-2022,Apertura,1º,Alicia Cervantes,Guadalajara,17,1493
2021-2022,Apertura,2º,Renae Nicole Cuéllar,Tijuana,15,1530
2021-2022,Apertura,3º,Mónica Desiree Monsiváis,Rayadas,14,1315
2021-2022,Apertura,4º,Sandra Stephany Mayor,Tigres,13,1257
2021-2022,Apertura,5º,Alison Hecnary González,Atlas,13,1327
2021-2022,Apertura,6º,Katty Martínez,Tigres,12,937
2021-2022,Apertura,7º,Daniela Espinosa,América,11,1359
2021-2022,Apertura,8º,Alexia Nayeli Villanueva,Santos Laguna,11,1446
2021-2022,Apertura,9º,Diana Laura Evangelista,Rayadas,9,1423
2021-2022,Apertura,10º,Esbeydi Viridiana Salazar,Pachuca,9,994
2021-2022,Apertura,11º,Cinthya Peraza,Santos Laguna,8,1471
2021-2022,Apertura,12º,Aylin Ariana Aviléz,Rayadas,7,1102
2021-2022,Apertura,13º,María Guadalupe Sánchez,Tigres,6,1238
2021-2022,Apertura,14º,Rebeca Bernal,Rayadas,6,1530
2021-2022,Apertura,15º,Marcia Paola García,Atlas,6,1108
2021-2022,Apertura,16º,Christian Carolina Jaramillo,Guadalajara,6,977
2021-2022,Apertura,17º,Belén De Jesús Cruz,Tigres,5,921
2021-2022,Apertura,18º,Alexxandra Ramírez,Santos Laguna,5,1200
2021-2022,Apertura,19º,Paola Del Carmen Villamizar,Tijuana,5,686
2021-2022,Apertura,20º,Fanny Lizeth Grano,Necaxa,5,1530
2021-2022,Apertura,21º,Leidy Lizeth Ramos,Querétaro,5,866
2021-2022,Apertura,22º,Lizbeth Jacqueline Ovalle,Tigres,4,1268
2021-2022,Apertura,23º,Michelle González,Guadalajara,4,1199
2021-2022,Apertura,24º,Joseline Montoya,Guadalajara,4,1468
2021-2022,Apertura,25º,Verónica Charlyn Corral,Pachuca,4,878
2021-2022,Apertura,26º,Natalia Inés Gómez Junco,Pachuca,4,940
2021-2022,Apertura,27º,Verónica Martins,Puebla,4,461
2021-2022,Apertura,28º,Samantha Kassandra Calvillo,Necaxa,4,1455
2021-2022,Apertura,29º,Jaquelín García,Querétaro,4,1095
2021-2022,Apertura,30º,Anisa Raquel Guajardo,León,4,890
2021-2022,Apertura,31º,Daniela Calderón,León,4,1278
2021-2022,Apertura,32º,Adriana Iturbide,Atlas,3,827
2021-2022,Apertura,33º,Daniela Frank Flores,América,3,324
2021-2022,Apertura,34º,Kiana Angélica Palacios,América,3,822
2021-2022,Apertura,35º,Betzy Casandra Cuevas,América,3,1390
2021-2022,Apertura,36º,Janelly Farias,América,3,1440
2021-2022,Apertura,37º,Daniela Delgado,Santos Laguna,3,1326
2021-2022,Apertura,38º,Angelina Nicole Hix,Tijuana,3,1157
2021-2022,Apertura,39º,Michelle Francini Montero,Cruz Azul,3,345
2021-2022,Apertura,40º,Karime Abud,Cruz Azul,3,1052
2021-2022,Apertura,41º,Magaly Cortés,Cruz Azul,3,1428
2021-2022,Apertura,42º,Lucero Ximena Cuevas,Pachuca,3,689
2021-2022,Apertura,43º,Luz Aida Duarte,Pumas,3,451
2021-2022,Apertura,44º,Natalia Macías Valadez,Pumas,3,597
2021-2022,Apertura,45º,Marlyn Margoth Campa,Pumas,3,1050
2021-2022,Apertura,46º,María Del Pilar Aceves,Puebla,3,567
2021-2022,Apertura,47º,Estefany Elizabeth Hernández,Puebla,3,691
2021-2022,Apertura,48º,Destinney Rosalía Duron,Toluca,3,347
2021-2022,Apertura,49º,Diana Michelle Guatemala,Toluca,3,1196
2021-2022,Apertura,50º,Emily Misdiel González,Atlético de San Luis,3,998
2021-2022,Apertura,51º,Ana Karen López,Atlético de San Luis,3,1313
2021-2022,Apertura,52º,Miah Alexia Zuazua,FC Juárez,3,1150
2021-2022,Apertura,53º,Alejandra Guadalupe Curiel,FC Juárez,3,1262
2021-2022,Apertura,54º,María Fernanda Elizondo,Tigres,2,142
2021-2022,Apertura,55º,Jana Alexandra Gutiérrez,Tigres,2,890
2021-2022,Apertura,56º,Lydia Nayeli Rangel,Tigres,2,993
2021-2022,Apertura,57º,Greta Alejandra Espinoza,Tigres,2,1530
2021-2022,Apertura,58º,Christina Marie Burkenroad,Rayadas,2,620
2021-2022,Apertura,59º,Diana Laura García,Rayadas,2,1415
2021-2022,Apertura,60º,Claudia Fabiola Ibarra,Atlas,2,511
2021-2022,Apertura,61º,Verónica Raquel Pérez,Atlas,2,1281
2021-2022,Apertura,62º,Mayra Alejandra Pelayo-bernal,América,2,419
2021-2022,Apertura,63º,Dorian Montserrat Hernández,América,2,1015
2021-2022,Apertura,64º,Mariela Jiménez,Santos Laguna,2,305
2021-2022,Apertura,65º,Nancy Lizbeth Quiñones,Santos Laguna,2,755
2021-2022,Apertura,66º,Estela Gómez,Santos Laguna,2,1270
2021-2022,Apertura,67º,Dulce Maria Alvarado,Tijuana,2,925
2021-2022,Apertura,68º,Brenda León,Cruz Azul,2,614
2021-2022,Apertura,69º,Dalia Isabel Molina,Cruz Azul,2,1182
2021-2022,Apertura,70º,Lizbeth Ángeles,Pachuca,2,885
2021-2022,Apertura,71º,Laura Herrera,Pumas,2,985
2021-2022,Apertura,72º,Marylin Viridiana Díaz,Pumas,2,1149
2021-2022,Apertura,73º,Mariana Ramos,Puebla,2,897
2021-2022,Apertura,74º,Ivonne Najar,Puebla,2,1191
2021-2022,Apertura,75º,Jessica Liliana Tenorio,Puebla,2,1386
2021-2022,Apertura,76º,Flor Rocío Rodríguez,Necaxa,2,888
2021-2022,Apertura,77º,Reyna Sabina Velázquez,Necaxa,2,1384
2021-2022,Apertura,78º,Fátima Servín,Querétaro,2,1265
2021-2022,Apertura,79º,Marta Alexandra Cox Villarreal,León,2,908
2021-2022,Apertura,80º,Paulina Gómez,León,2,1126
2021-2022,Apertura,81º,Rebeca Villuendas,Atlético de San Luis,2,1513
2021-2022,Apertura,82º,Perla Rocío Navarrete,FC Juárez,2,965
2021-2022,Apertura,83º,Nancy Guadalupe Antonio,Tigres,1,874
2021-2022,Apertura,84º,Liliana Mercado,Tigres,1,1252
2021-2022,Apertura,85º,Daniela Lizbeth Solís,Rayadas,1,298
2021-2022,Apertura,86º,Yamile Azenek Franco,Rayadas,1,671
2021-2022,Apertura,87º,Mariana Cadena,Rayadas,1,1202
2021-2022,Apertura,88º,Valeria Razo,Atlas,1,241
2021-2022,Apertura,89º,Karen Andrea García,Atlas,1,994
2021-2022,Apertura,90º,María Fernanda Daniela Pérez,Atlas,1,1048
2021-2022,Apertura,91º,Atzimba Casas,Guadalajara,1,176
2021-2022,Apertura,92º,Gabriela Valenzuela,Guadalajara,1,700
2021-2022,Apertura,93º,Miriam Castillo,Guadalajara,1,989
2021-2022,Apertura,94º,Sarah Jacquelyn Luebbert,América,1,262
2021-2022,Apertura,95º,Stephanie Mariana Ribeiro,América,1,472
2021-2022,Apertura,96º,María Natalia Mauleon,América,1,662
2021-2022,Apertura,97º,Angelique Montserrat Saldivar,América,1,676
2021-2022,Apertura,98º,Karen Irasema Luna,América,1,1383
2021-2022,Apertura,99º,Olga Anahí Trasviña,Santos Laguna,1,310
2021-2022,Apertura,100º,Lucero Lara,Santos Laguna,1,757
2021-2022,Apertura,101º,Brenda Vanessa López,Santos Laguna,1,1263
2021-2022,Apertura,102º,Esmeralda Verdugo,Tijuana,1,1098
2021-2022,Apertura,103º,Joselyn De La Rosa,Tijuana,1,1182
2021-2022,Apertura,104º,Sanjuana De Jesús Muñoz,Tijuana,1,1370
2021-2022,Apertura,105º,Ana Gabriela Huerta,Cruz Azul,1,323
2021-2022,Apertura,106º,Claudia Fernanda Cid,Cruz Azul,1,1305
2021-2022,Apertura,107º,Lourdes Sofía Martínez,Pachuca,1,75
2021-2022,Apertura,108º,Ana Paola López,Pachuca,1,294
2021-2022,Apertura,109º,Linda Ruth Bravo,Pachuca,1,346
2021-2022,Apertura,110º,Alice Fernanda Soto,Pachuca,1,472
2021-2022,Apertura,111º,Karen Alejandra Díaz,Pachuca,1,973
2021-2022,Apertura,112º,Mónica Ocampo,Pachuca,1,1336
2021-2022,Apertura,113º,Liliana Rodríguez,Pumas,1,373
2021-2022,Apertura,114º,Edna Fabiola Santamaria,Pumas,1,722
2021-2022,Apertura,115º,María Akemi Yokoyama,Pumas,1,810
2021-2022,Apertura,116º,Daniela Itzaxaya García,Pumas,1,829
2021-2022,Apertura,117º,Deneva Cagigas,Pumas,1,1188
2021-2022,Apertura,118º,Dinora Lizeth Garza,Pumas,1,1322
2021-2022,Apertura,119º,Mariam Nataly Castro,Puebla,1,1076
2021-2022,Apertura,120º,Mirelle Arciniega,Puebla,1,1391
2021-2022,Apertura,121º,Brenda Vega,Toluca,1,317
2021-2022,Apertura,122º,Mariel Román,Toluca,1,697
2021-2022,Apertura,123º,Yamanic Nahomi Martínez,Toluca,1,900
2021-2022,Apertura,124º,Arlett Tovar,Toluca,1,1112
2021-2022,Apertura,125º,Patricia De María Jardón,Toluca,1,1199
2021-2022,Apertura,126º,Karen Becerril,Toluca,1,1373
2021-2022,Apertura,127º,Alejandra Guerrero,Necaxa,1,602
2021-2022,Apertura,128º,Luciana Nicolé García,Necaxa,1,659
2021-2022,Apertura,129º,Andrea Monserrat Martínez,Necaxa,1,1298
2021-2022,Apertura,130º,María Lourdes Ramírez,Querétaro,1,385
2021-2022,Apertura,131º,Mayra Alejandra Santana,Querétaro,1,386
2021-2022,Apertura,132º,Daniela Sánchez,Querétaro,1,971
2021-2022,Apertura,133º,Sofia Alvarez,Querétaro,1,1313
2021-2022,Apertura,134º,Alondra Karime Camargo,Querétaro,1,1375
2021-2022,Apertura,135º,Jazmín Enrigue,Querétaro,1,1388
2021-2022,Apertura,136º,Sandra Paola Camacho,León,1,273
2021-2022,Apertura,137º,Sonia Vázquez,León,1,955
2021-2022,Apertura,138º,Sabrina Figueroa,León,1,1065
2021-2022,Apertura,139º,Liliana Sánchez,León,1,1485
2021-2022,Apertura,140º,Sharon Andrea Barba,Atlético de San Luis,1,230
2021-2022,Apertura,141º,Karen Melina Vázquez,Atlético de San Luis,1,474
2021-2022,Apertura,142º,Beatriz Parra,Atlético de San Luis,1,848
2021-2022,Apertura,143º,Isabel Kasis,Atlético de San Luis,1,1091
2021-2022,Apertura,144º,Citlali Guadalupe Hernández,Atlético de San Luis,1,1310
2021-2022,Apertura,145º,Alejandra Escobedo,Mazatlán FC,1,291
2021-2022,Apertura,146º,Yahaira Esmeralda Flores,Mazatlán FC,1,444
2021-2022,Apertura,147º,Montserrat Peña,Mazatlán FC,1,868
2021-2022,Apertura,148º,Norma Priscila Gaitan,Mazatlán FC,1,1047
2021-2022,Apertura,149º,Alma Verania López,Mazatlán FC,1,1053
2021-2022,Apertura,150º,Belkis Karely Escalante,Mazatlán FC,1,1176
2021-2022,Apertura,151º,Kimberli Estefania Goytia,FC Juárez,1,600
2021-2022,Apertura,152º,Brenda Paola Alvarado,FC Juárez,1,676
2021-2022,Apertura,153º,Silvia Elicerio,FC Juárez,1,752
