Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Apertura,"Jueves 17 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
17 Octubre 2024 - 15:45 hrs.",,0 - 3,,INSTALACIONES CLUB NECAXA,,,,,,
2024-2025,Apertura,"Jueves 17 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
17 Octubre 2024 - 19:00 hrs.",,3 - 0,,Jalisco,,,,,,
2024-2025,Apertura,"Jueves 17 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
17 Octubre 2024 - 20:06 hrs.",,2 - 5,,El Encanto,,,,,,
2024-2025,Apertura,"Viernes 18 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
18 Octubre 2024 - 17:00 hrs.",,5 - 0,,TSM Corona,,,,,,
2024-2025,Apertura,"Sábado 19 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
19 Octubre 2024 - 12:00 hrs.",,4 - 5,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Apertura,"Domingo 20 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
20 Octubre 2024 - 17:00 hrs.",,0 - 6,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Domingo 20 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
20 Octubre 2024 - 18:06 hrs.",,2 - 2,,Hidalgo,,,,,,
2024-2025,Apertura,"Domingo 20 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
20 Octubre 2024 - 20:05 hrs.",,3 - 2,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Domingo 20 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 16
20 Octubre 2024 - 20:10 hrs.",,3 - 1,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Jueves 31 de Octubre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
31 Octubre 2024 - 17:00 hrs.",,1 - 3,,La Corregidora,,,,,,
2024-2025,Apertura,"Viernes 1 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
1 Noviembre 2024 - 17:00 hrs.",,2 - 1,,Nou Camp,,,,,,
2024-2025,Apertura,"Viernes 1 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
1 Noviembre 2024 - 17:00 hrs.",,4 - 0,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Sábado 2 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
2 Noviembre 2024 - 12:00 hrs.",,1 - 2,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Domingo 3 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
3 Noviembre 2024 - 12:00 hrs.",,2 - 4,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Domingo 3 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
3 Noviembre 2024 - 15:45 hrs.",,4 - 1,,Cancha Centenario No. 5 (Natural) Instalaciones Club América,,,,,,
2024-2025,Apertura,"Domingo 3 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
3 Noviembre 2024 - 19:00 hrs.",,6 - 0,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Domingo 3 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
3 Noviembre 2024 - 19:06 hrs.",,2 - 1,,Universitario,,,,,,
2024-2025,Apertura,"Domingo 3 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 17
3 Noviembre 2024 - 19:10 hrs.",,0 - 2,,Caliente,,,,,,
2024-2025,Apertura,"Jueves 7 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Ida
7 Noviembre 2024 - 20:06 hrs.",,1 - 0,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Viernes 8 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Ida
8 Noviembre 2024 - 17:15 hrs.",,1 - 4,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Viernes 8 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Ida
8 Noviembre 2024 - 18:00 hrs.",,1 - 0,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Viernes 8 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Ida
8 Noviembre 2024 - 20:10 hrs.",,0 - 0,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Domingo 10 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Vuelta
10 Noviembre 2024 - 19:06 hrs.",,2 - 1,,Hidalgo,,,,,,
2024-2025,Apertura,"Lunes 11 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Vuelta
11 Noviembre 2024 - 17:00 hrs.",,3 - 2,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Lunes 11 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Vuelta
11 Noviembre 2024 - 19:10 hrs.",,1 - 0,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Lunes 11 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Cuartos Vuelta
11 Noviembre 2024 - 21:06 hrs.",,7 - 1,,Universitario,,,,,,
2024-2025,Apertura,"Jueves 14 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Semifinal Ida
14 Noviembre 2024 - 21:00 hrs.",,1 - 1,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Viernes 15 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Semifinal Ida
15 Noviembre 2024 - 18:06 hrs.",,0 - 3,,Hidalgo,,,,,,
2024-2025,Apertura,"Domingo 17 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Semifinal Vuelta
17 Noviembre 2024 - 19:06 hrs.",,2 - 2,,Universitario,,,,,,
2024-2025,Apertura,"Lunes 18 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Semifinal Vuelta
18 Noviembre 2024 - 20:00 hrs.",,4 - 1,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Viernes 22 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Final Ida
22 Noviembre 2024 - 20:06 hrs.",,1 - 0,,Universitario,,,,,,
2024-2025,Apertura,"Lunes 25 de Noviembre de 2024
Temporada 2024-2025
Torneo Apertura
Final Vuelta
25 Noviembre 2024 - 20:00 hrs.",,3 - 2,,Estadio BBVA,,,,,,
