Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Apertura,"Viernes 9 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
9 Agosto 2024 - 17:00 hrs.",,1 - 0,,Nou Camp,,,,,,
2024-2025,Apertura,"Viernes 9 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
9 Agosto 2024 - 19:00 hrs.",,0 - 2,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Viernes 9 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
9 Agosto 2024 - 20:06 hrs.",,0 - 6,,El Encanto,,,,,,
2024-2025,Apertura,"Sábado 10 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
10 Agosto 2024 - 19:00 hrs.",,0 - 3,,TSM Corona,,,,,,
2024-2025,Apertura,"Lunes 12 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
12 Agosto 2024 - 15:45 hrs.",,4 - 0,,Cancha Centenario No. 5 (Natural) Instalaciones Club América,,,,,,
2024-2025,Apertura,"Lunes 12 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
12 Agosto 2024 - 18:00 hrs.",,0 - 6,,Nemesio Diez,,,,,,
2024-2025,Apertura,"Lunes 12 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
12 Agosto 2024 - 19:06 hrs.",,0 - 0,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Lunes 12 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
12 Agosto 2024 - 20:00 hrs.",,1 - 0,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Lunes 12 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 5
12 Agosto 2024 - 20:10 hrs.",,3 - 2,,Caliente,,,,,,
2024-2025,Apertura,"Viernes 16 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
16 Agosto 2024 - 17:00 hrs.",,1 - 2,,Victoria,,,,,,
2024-2025,Apertura,"Viernes 16 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
16 Agosto 2024 - 19:00 hrs.",,3 - 1,,Jalisco,,,,,,
2024-2025,Apertura,"Viernes 16 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
16 Agosto 2024 - 21:06 hrs.",,0 - 1,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Sábado 17 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
17 Agosto 2024 - 12:00 hrs.",,4 - 1,,INSTALACIONES LA NORIA,,,,,,
2024-2025,Apertura,"Sábado 17 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
17 Agosto 2024 - 17:00 hrs.",,0 - 0,,Cuauhtémoc,,,,,,
2024-2025,Apertura,"Sábado 17 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
17 Agosto 2024 - 19:06 hrs.",,1 - 0,,Hidalgo,,,,,,
2024-2025,Apertura,"Sábado 17 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
17 Agosto 2024 - 21:10 hrs.",,3 - 1,,Universitario,,,,,,
2024-2025,Apertura,"Domingo 18 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
18 Agosto 2024 - 20:06 hrs.",,1 - 0,,Estadio Olímpico Alameda,,,,,,
2024-2025,Apertura,"Lunes 19 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 6
19 Agosto 2024 - 19:00 hrs.",,0 - 3,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Miércoles 21 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
21 Agosto 2024 - 21:06 hrs.",,3 - 0,,Hidalgo,,,,,,
2024-2025,Apertura,"Jueves 22 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
22 Agosto 2024 - 19:06 hrs.",,2 - 1,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Jueves 22 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
22 Agosto 2024 - 20:10 hrs.",,3 - 0,,Caliente,,,,,,
2024-2025,Apertura,"Sábado 24 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
24 Agosto 2024 - 12:00 hrs.",,2 - 1,,Olímpico Universitario,,,,,,
2024-2025,Apertura,"Domingo 25 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
25 Agosto 2024 - 17:00 hrs.",,2 - 3,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Apertura,"Domingo 25 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
25 Agosto 2024 - 19:00 hrs.",,0 - 3,,TSM Corona,,,,,,
2024-2025,Apertura,"Domingo 25 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
25 Agosto 2024 - 19:06 hrs.",,4 - 0,,Olímpico Benito Juárez,,,,,,
2024-2025,Apertura,"Domingo 25 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
25 Agosto 2024 - 20:10 hrs.",,0 - 2,,El Encanto,,,,,,
2024-2025,Apertura,"Lunes 26 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
26 Agosto 2024 - 17:00 hrs.",,0 - 1,,Victoria,,,,,,
2024-2025,Apertura,"Lunes 26 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
26 Agosto 2024 - 19:00 hrs.",,5 - 0,,Estadio BBVA,,,,,,
2024-2025,Apertura,"Lunes 26 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
26 Agosto 2024 - 19:06 hrs.",,0 - 1,,Nou Camp,,,,,,
2024-2025,Apertura,"Lunes 26 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 7
26 Agosto 2024 - 21:10 hrs.",,2 - 0,,Estadio AKRON,,,,,,
2024-2025,Apertura,"Jueves 29 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 2
29 Agosto 2024 - 18:00 hrs.",,0 - 0,,Ciudad De Los Deportes,,,,,,
2024-2025,Apertura,"Jueves 29 de Agosto de 2024
Temporada 2024-2025
Torneo Apertura
Jornada 3
29 Agosto 2024 - 21:06 hrs.",,6 - 0,,Universitario,,,,,,
