Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2017-2018,Clausura,1º,Lucero Ximena Cuevas,América,15,993
2017-2018,Clausura,2º,Mónica Desiree Monsiváis,Rayadas,10,834
2017-2018,Clausura,3º,Betzy Casandra Cuevas,América,9,1104
2017-2018,Clausura,4º,Esbeydi Viridiana Salazar,Pachuca,8,844
2017-2018,Clausura,5º,Lizbeth Ángeles,Pachuca,8,1145
2017-2018,Clausura,6º,Leticia Vázquez,León,8,1260
2017-2018,Clausura,7º,Daniela Lizbeth Solís,Rayadas,7,716
2017-2018,Clausura,8º,Norali Armenta,Rayadas,7,895
2017-2018,Clausura,9º,Dayana Joselyn Cazares,América,7,739
2017-2018,Clausura,10º,Belén De Jesús Cruz,Tigres,7,843
2017-2018,Clausura,11º,María Natalia Mauleon,Toluca,7,934
2017-2018,Clausura,12º,Zaira Carolina Miranda,Toluca,7,1055
2017-2018,Clausura,13º,Rebeca Bernal,Rayadas,6,1260
2017-2018,Clausura,14º,Mónica Ocampo,Pachuca,6,955
2017-2018,Clausura,15º,Dinora Lizeth Garza,Rayadas,5,871
2017-2018,Clausura,16º,Alison Hecnary González,Tigres,5,378
2017-2018,Clausura,17º,Christian Carolina Jaramillo,Tigres,5,1201
2017-2018,Clausura,18º,Brenda Noemí Viramontes,Guadalajara,5,826
2017-2018,Clausura,19º,Kristal Rubi Soto,Guadalajara,5,1001
2017-2018,Clausura,20º,Tania Paola Morales,Guadalajara,5,1072
2017-2018,Clausura,21º,Ana Cristina Arvizu,Santos Laguna,5,728
2017-2018,Clausura,22º,Melissa Leilani Arredondo,Querétaro,5,1260
2017-2018,Clausura,23º,Michelle Alejandra Vargas,León,5,951
2017-2018,Clausura,24º,Diana Laura Evangelista,Rayadas,4,1160
2017-2018,Clausura,25º,Daniela Espinosa,América,4,419
2017-2018,Clausura,26º,Katty Martínez,Tigres,4,449
2017-2018,Clausura,27º,Arlett Tovar,Guadalajara,4,1170
2017-2018,Clausura,28º,Ana Paola López,Pumas,4,1260
2017-2018,Clausura,29º,Nadia Regina Noriega,Santos Laguna,4,897
2017-2018,Clausura,30º,Sandy Paulina Cruzado,Querétaro,4,917
2017-2018,Clausura,31º,Maritza Dardane Maldonado,Atlas,4,838
2017-2018,Clausura,32º,Ana Rosa García,Atlas,4,1007
2017-2018,Clausura,33º,Dorian Montserrat Hernández,América,3,593
2017-2018,Clausura,34º,Estefanía Fuentes,América,3,705
2017-2018,Clausura,35º,Lydia Nayeli Rangel,Tigres,3,585
2017-2018,Clausura,36º,Lizbeth Jacqueline Ovalle,Tigres,3,672
2017-2018,Clausura,37º,Liliana Mercado,Tigres,3,937
2017-2018,Clausura,38º,Nancy Guadalupe Antonio,Tigres,3,985
