Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2020-2021,Clausura,1º,Alison Hecnary González,Atlas,18,1411
2020-2021,Clausura,2º,Alicia Cervantes,Guadalajara,17,1294
2020-2021,Clausura,3º,Daniela Lizbeth Solís,Rayadas,11,1183
2020-2021,Clausura,4º,Renae Nicole Cuéllar,Tijuana,11,1530
2020-2021,Clausura,5º,Sandra Stephany Mayor,Tigres,10,1508
2020-2021,Clausura,6º,Aylin Ariana Aviléz,Rayadas,9,608
2020-2021,Clausura,7º,Joseline Montoya,Guadalajara,8,1484
2020-2021,Clausura,8º,Alejandra Guadalupe Curiel,Cruz Azul,8,1302
2020-2021,Clausura,9º,Cinthya Peraza,Santos Laguna,8,1488
2020-2021,Clausura,10º,Katty Martínez,Tigres,7,740
2020-2021,Clausura,11º,Christina Marie Burkenroad,Rayadas,7,869
2020-2021,Clausura,12º,Esbeydi Viridiana Salazar,Pachuca,7,1138
2020-2021,Clausura,13º,Alexxandra Ramírez,Santos Laguna,7,1420
2020-2021,Clausura,14º,Belén De Jesús Cruz,Tigres,6,746
2020-2021,Clausura,15º,Mónica Desiree Monsiváis,Rayadas,6,871
2020-2021,Clausura,16º,Mónica Ocampo,Pachuca,6,1128
2020-2021,Clausura,17º,Melisa Alejandra Ramos,Mazatlán FC,6,1365
2020-2021,Clausura,18º,Teresa Guadalupe Worbis,Puebla,6,1186
2020-2021,Clausura,19º,Christian Carolina Jaramillo,Guadalajara,5,1134
2020-2021,Clausura,20º,Marlyn Margoth Campa,Pumas,5,847
2020-2021,Clausura,21º,Daniela Espinosa,América,5,1285
2020-2021,Clausura,22º,Maritza Dardane Maldonado,Querétaro,5,1004
2020-2021,Clausura,23º,Lizette Montserrat Rodríguez,Querétaro,5,1299
2020-2021,Clausura,24º,Isabella Gutiérrez,Guadalajara,4,714
2020-2021,Clausura,25º,Ana Rosa García,Atlas,4,993
2020-2021,Clausura,26º,Edna Fabiola Santamaria,Pumas,4,1262
2020-2021,Clausura,27º,María Natalia Mauleon,Toluca,4,1094
2020-2021,Clausura,28º,Arlett Tovar,Toluca,4,1530
2020-2021,Clausura,29º,Daniela Calderón,León,4,1308
2020-2021,Clausura,30º,Atzimba Casas,FC Juárez,4,1380
2020-2021,Clausura,31º,Daniela Carrandi,Atlético de San Luis,4,1322
2020-2021,Clausura,32º,Blanca María Solís,Tigres,3,265
2020-2021,Clausura,33º,Lizbeth Jacqueline Ovalle,Tigres,3,532
