Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13
2024-2025,Clausura,"Lunes 20 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 4
20 Enero 2025 - 17:00 hrs.",,2 - 0,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Clausura,"Lunes 20 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 4
20 Enero 2025 - 19:00 hrs.",,1 - 2,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Martes 21 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 4
21 Enero 2025 - 15:45 hrs.",,1 - 1,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Clausura,"Martes 21 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 4
21 Enero 2025 - 19:00 hrs.",,0 - 3,,Jalisco,,,,,,
2024-2025,Clausura,"Martes 21 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 4
21 Enero 2025 - 21:00 hrs.",,2 - 3,,TSM Corona,,,,,,
2024-2025,Clausura,"Viernes 24 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
24 Enero 2025 - 16:00 hrs.",,- - -,,Caliente,,,,,,
2024-2025,Clausura,"Sábado 25 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
25 Enero 2025 - 15:45 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Domingo 26 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
26 Enero 2025 - 12:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Domingo 26 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
26 Enero 2025 - 15:45 hrs.",,- - -,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Clausura,"Domingo 26 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
26 Enero 2025 - 17:00 hrs.",,- - -,,Estadio AKRON,,,,,,
2024-2025,Clausura,"Domingo 26 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
26 Enero 2025 - 19:06 hrs.",,- - -,,Universitario,,,,,,
2024-2025,Clausura,"Domingo 26 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
26 Enero 2025 - 21:10 hrs.",,- - -,,Hidalgo,,,,,,
2024-2025,Clausura,"Lunes 27 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
27 Enero 2025 - 18:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Lunes 27 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 5
27 Enero 2025 - 21:00 hrs.",,- - -,,TSM Corona,,,,,,
2024-2025,Clausura,"Viernes 31 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
31 Enero 2025 - 17:00 hrs.",,- - -,,Jalisco,,,,,,
2024-2025,Clausura,"Viernes 31 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
31 Enero 2025 - 17:00 hrs.",,- - -,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Viernes 31 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
31 Enero 2025 - 19:00 hrs.",,- - -,,La Corregidora,,,,,,
2024-2025,Clausura,"Viernes 31 de Enero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
31 Enero 2025 - 19:00 hrs.",,- - -,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Clausura,"Domingo 2 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
2 Febrero 2025 - 19:00 hrs.",,- - -,,Estadio BBVA,,,,,,
2024-2025,Clausura,"Domingo 2 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
2 Febrero 2025 - 20:00 hrs.",,- - -,,El Encanto,,,,,,
2024-2025,Clausura,"Lunes 3 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
3 Febrero 2025 - 15:45 hrs.",,- - -,,Olímpico Benito Juárez,,,,,,
2024-2025,Clausura,"Lunes 3 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
3 Febrero 2025 - 17:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Lunes 3 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 6
3 Febrero 2025 - 19:00 hrs.",,- - -,,Hidalgo,,,,,,
2024-2025,Clausura,"Miércoles 5 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
5 Febrero 2025 - 15:45 hrs.",,- - -,,Instalaciones la Noria Cancha 1,,,,,,
2024-2025,Clausura,"Miércoles 5 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
5 Febrero 2025 - 17:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Miércoles 5 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
5 Febrero 2025 - 18:00 hrs.",,- - -,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Miércoles 5 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
5 Febrero 2025 - 20:00 hrs.",,- - -,,Estadio BBVA,,,,,,
2024-2025,Clausura,"Jueves 6 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
6 Febrero 2025 - 19:00 hrs.",,- - -,,Estadio AKRON,,,,,,
2024-2025,Clausura,"Jueves 6 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
6 Febrero 2025 - 20:00 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Jueves 6 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
6 Febrero 2025 - 21:00 hrs.",,- - -,,TSM Corona,,,,,,
2024-2025,Clausura,"Jueves 6 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
6 Febrero 2025 - 20:06 hrs.",,- - -,,Olímpico Benito Juárez,,,,,,
2024-2025,Clausura,"Viernes 7 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 7
7 Febrero 2025 - 19:00 hrs.",,- - -,,Nou Camp,,,,,,
2024-2025,Clausura,"Domingo 9 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
9 Febrero 2025 - 12:00 hrs.",,- - -,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Lunes 10 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
10 Febrero 2025 - 17:00 hrs.",,- - -,,Universitario,,,,,,
2024-2025,Clausura,"Lunes 10 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
10 Febrero 2025 - 17:00 hrs.",,- - -,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Lunes 10 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
10 Febrero 2025 - 19:00 hrs.",,- - -,,La Corregidora,,,,,,
2024-2025,Clausura,"Lunes 10 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
10 Febrero 2025 - 19:06 hrs.",,- - -,,Hidalgo,,,,,,
2024-2025,Clausura,"Lunes 10 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
10 Febrero 2025 - 20:00 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Lunes 10 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
10 Febrero 2025 - 19:00 hrs.",,- - -,,Caliente,,,,,,
2024-2025,Clausura,"Martes 11 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
11 Febrero 2025 - 19:00 hrs.",,- - -,,Jalisco,,,,,,
2024-2025,Clausura,"Martes 11 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 8
11 Febrero 2025 - 20:06 hrs.",,- - -,,El Encanto,,,,,,
2024-2025,Clausura,"Jueves 13 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
13 Febrero 2025 - 21:00 hrs.",,- - -,,Estadio AKRON,,,,,,
2024-2025,Clausura,"Viernes 14 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
14 Febrero 2025 - 16:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Viernes 14 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
14 Febrero 2025 - 17:00 hrs.",,- - -,,TSM Corona,,,,,,
2024-2025,Clausura,"Viernes 14 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
14 Febrero 2025 - 18:00 hrs.",,- - -,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Viernes 14 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
14 Febrero 2025 - 20:10 hrs.",,- - -,,Estadio BBVA,,,,,,
2024-2025,Clausura,"Sábado 15 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
15 Febrero 2025 - 17:00 hrs.",,- - -,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Clausura,"Domingo 16 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
16 Febrero 2025 - 12:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Domingo 16 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
16 Febrero 2025 - 17:00 hrs.",,- - -,,Nou Camp,,,,,,
2024-2025,Clausura,"Domingo 16 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 9
16 Febrero 2025 - 20:00 hrs.",,- - -,,Olímpico Benito Juárez,,,,,,
2024-2025,Clausura,"Jueves 27 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 13
27 Febrero 2025 - 18:00 hrs.",,- - -,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Viernes 28 de Febrero de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
28 Febrero 2025 - 20:00 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Domingo 2 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
2 Marzo 2025 - 16:00 hrs.",,- - -,,Caliente,,,,,,
2024-2025,Clausura,"Domingo 2 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
2 Marzo 2025 - 19:00 hrs.",,- - -,,El Encanto,,,,,,
2024-2025,Clausura,"Lunes 3 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
3 Marzo 2025 - 15:45 hrs.",,- - -,,Instalaciones La Noria Cancha 1,,,,,,
2024-2025,Clausura,"Lunes 3 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
3 Marzo 2025 - 19:00 hrs.",,- - -,,Jalisco,,,,,,
2024-2025,Clausura,"Lunes 3 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
3 Marzo 2025 - 19:00 hrs.",,- - -,,Universitario,,,,,,
2024-2025,Clausura,"Lunes 3 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
3 Marzo 2025 - 21:06 hrs.",,- - -,,Hidalgo,,,,,,
2024-2025,Clausura,"Martes 4 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
4 Marzo 2025 - 17:00 hrs.",,- - -,,Nemesio Diez,,,,,,
2024-2025,Clausura,"Martes 4 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 10
4 Marzo 2025 - 19:00 hrs.",,- - -,,La Corregidora,,,,,,
2024-2025,Clausura,"Jueves 6 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
6 Marzo 2025 - 17:00 hrs.",,- - -,,Victoria,,,,,,
2024-2025,Clausura,"Jueves 6 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
6 Marzo 2025 - 19:00 hrs.",,- - -,,Estadio BBVA,,,,,,
2024-2025,Clausura,"Viernes 7 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
7 Marzo 2025 - 16:00 hrs.",,- - -,,Olímpico Universitario,,,,,,
2024-2025,Clausura,"Viernes 7 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
7 Marzo 2025 - 19:00 hrs.",,- - -,,Estadio AKRON,,,,,,
2024-2025,Clausura,"Domingo 9 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
9 Marzo 2025 - 12:00 hrs.",,- - -,,Cuauhtémoc,,,,,,
2024-2025,Clausura,"Domingo 9 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
9 Marzo 2025 - 17:00 hrs.",,- - -,,Alfonso Lastras Ramírez,,,,,,
2024-2025,Clausura,"Lunes 10 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
10 Marzo 2025 - 19:00 hrs.",,- - -,,Nou Camp,,,,,,
2024-2025,Clausura,"Lunes 10 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
10 Marzo 2025 - 19:00 hrs.",,- - -,,TSM Corona,,,,,,
2024-2025,Clausura,"Lunes 10 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 11
10 Marzo 2025 - 21:06 hrs.",,- - -,,Olímpico Benito Juárez,,,,,,
2024-2025,Clausura,"Miércoles 12 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
12 Marzo 2025 - 19:00 hrs.",,- - -,,Hidalgo,,,,,,
2024-2025,Clausura,"Miércoles 12 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
12 Marzo 2025 - 20:00 hrs.",,- - -,,Ciudad De Los Deportes,,,,,,
2024-2025,Clausura,"Jueves 13 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
13 Marzo 2025 - 15:45 hrs.",,- - -,,Instalaciones La Noria Cancha 1,,,,,,
2024-2025,Clausura,"Jueves 13 de Marzo de 2025
Temporada 2024-2025
Torneo Clausura
Jornada 12
13 Marzo 2025 - 17:00 hrs.",,- - -,,La Corregidora,,,,,,
