Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2024-2025,Apertura,1º,Verónica Charlyn Corral,Pachuca,18,1530
2024-2025,Apertura,2º,Aisha Keshy Solórzano,Tijuana,16,1385
2024-2025,Apertura,3º,Lizbeth Jacqueline Ovalle,Tigres,15,1251
2024-2025,Apertura,4º,Kiana Angélica Palacios,América,13,1141
2024-2025,Apertura,5º,Alicia Cervantes,Guadalajara,11,1490
2024-2025,Apertura,6º,Stephanie Mariana Ribeiro,Pumas,11,1033
2024-2025,Apertura,7º,Sarah Jacquelyn Luebbert,América,10,1113
2024-2025,Apertura,8º,Christina Marie Burkenroad,Rayadas,9,801
2024-2025,Apertura,9º,Chinwendu Verónica Ihezuo,Pachuca,9,1073
2024-2025,Apertura,10º,María Paula Salas,Atlas,9,1211
2024-2025,Apertura,11º,Mariel Román,Toluca,8,1278
2024-2025,Apertura,12º,Jasmine Alexis Casarez,FC Juárez,7,1077
2024-2025,Apertura,13º,Dania Nicole Pérez,Rayadas,6,959
2024-2025,Apertura,14º,Michaela Batya Bisi Abam,Toluca,6,1084
2024-2025,Apertura,15º,Cinthya Peraza,Toluca,6,1417
2024-2025,Apertura,16º,Enekia Kasonga Lunyamila,Mazatlán FC,6,1067
2024-2025,Apertura,17º,Lucía García,Rayadas,5,732
2024-2025,Apertura,18º,Scarlett Nefer Camberos,América,5,758
2024-2025,Apertura,19º,Irene Guerrero,América,5,1209
2024-2025,Apertura,20º,Aerial Lynndonna Chavarin,Pumas,5,1158
2024-2025,Apertura,21º,Edna Fabiola Santamaria,Querétaro,5,1258
2024-2025,Apertura,22º,Marcia Paola García,Atlas,5,774
2024-2025,Apertura,23º,Ana Lucia Martínez,Rayadas,4,662
2024-2025,Apertura,24º,Chrestinah Thembi Kgatlana,Tigres,4,1010
2024-2025,Apertura,25º,Dayana Milan Martin,FC Juárez,4,370
2024-2025,Apertura,26º,Janelly Farias,FC Juárez,4,1209
2024-2025,Apertura,27º,Adriana Iturbide,Guadalajara,4,459
2024-2025,Apertura,28º,Gabriela Valenzuela,Guadalajara,4,1191
2024-2025,Apertura,29º,Deneisha Selena Blackwood,Pumas,4,1354
2024-2025,Apertura,30º,Wendis Jhoana Cabrera,Querétaro,4,610
2024-2025,Apertura,31º,Dalia Isabel Molina,Cruz Azul,4,1261
2024-2025,Apertura,32º,María Fernanda Sánchez,Atlético de San Luis,4,1310
2024-2025,Apertura,33º,Allison Rose Veloz,Necaxa,4,1182
2024-2025,Apertura,34º,Jermaine Seoposenwe,Rayadas,3,683
2024-2025,Apertura,35º,Ana Inés Costa Mendes,Tigres,3,543
2024-2025,Apertura,36º,Alison Hecnary González,Tigres,3,669
2024-2025,Apertura,37º,Jennifer Hermoso,Tigres,3,712
2024-2025,Apertura,38º,Priscila Flor Da Silva,América,3,315
2024-2025,Apertura,39º,María Natalia Mauleon,América,3,438
2024-2025,Apertura,40º,Angelique Montserrat Saldivar,América,3,508
2024-2025,Apertura,41º,Aylin Ariana Aviléz,América,3,524
2024-2025,Apertura,42º,Karen Irasema Luna,América,3,1222
2024-2025,Apertura,43º,Grace Asantewaa,FC Juárez,3,1207
2024-2025,Apertura,44º,Annia Stephany Mejía,FC Juárez,3,1347
2024-2025,Apertura,45º,Christian Carolina Jaramillo,Guadalajara,3,907
2024-2025,Apertura,46º,Dorian Montserrat Hernández,Guadalajara,3,1015
2024-2025,Apertura,47º,Sindia Anahi Arteaga,Pumas,3,675
2024-2025,Apertura,48º,Amandine Henry,Toluca,3,634
2024-2025,Apertura,49º,Brenda Woch Da Graca,Toluca,3,1296
2024-2025,Apertura,50º,Daniela Espinosa,Tijuana,3,820
2024-2025,Apertura,51º,Mayra Alejandra Pelayo-bernal,Tijuana,3,1088
2024-2025,Apertura,52º,Dulce Maria Alvarado,Querétaro,3,402
2024-2025,Apertura,53º,Solange Lemos,Querétaro,3,1468
2024-2025,Apertura,54º,Ximena Elizabeth Rios,Cruz Azul,3,909
2024-2025,Apertura,55º,Danielle Marie Fuentes,Cruz Azul,3,1163
2024-2025,Apertura,56º,Lizbeth Ángeles,León,3,940
2024-2025,Apertura,57º,María Cristina Montaño,Mazatlán FC,3,1382
2024-2025,Apertura,58º,Sandra Nabweteme,Santos Laguna,3,296
2024-2025,Apertura,59º,Katty Martínez,Rayadas,2,614
2024-2025,Apertura,60º,Diana Laura García,Rayadas,2,1031
2024-2025,Apertura,61º,Rebeca Bernal,Rayadas,2,1210
2024-2025,Apertura,62º,Tanna Sánchez,Rayadas,2,1247
2024-2025,Apertura,63º,Maricarmen Reyes,Tigres,2,840
2024-2025,Apertura,64º,Sandra Stephany Mayor,Tigres,2,1087
