Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2024-2025,Apertura,65º,Nicolette Andrea Hernández,América,2,841
2024-2025,Apertura,66º,Kimberly Vanessa Rodríguez,América,2,849
2024-2025,Apertura,67º,Nina Dominique Nicosia,Pachuca,2,475
2024-2025,Apertura,68º,Mónica Ocampo,Pachuca,2,734
2024-2025,Apertura,69º,Ohale Osinachi,Pachuca,2,1253
2024-2025,Apertura,70º,Prisca Chilufya,FC Juárez,2,1003
2024-2025,Apertura,71º,Liliana Mercado,FC Juárez,2,1134
2024-2025,Apertura,72º,Karime Abud,FC Juárez,2,1448
2024-2025,Apertura,73º,Esbeydi Viridiana Salazar,Guadalajara,2,1112
2024-2025,Apertura,74º,Kinberly Paloma Guzmán,Guadalajara,2,1321
2024-2025,Apertura,75º,Laura Herrera,Pumas,2,530
2024-2025,Apertura,76º,Alejandra Guerrero,Pumas,2,1091
2024-2025,Apertura,77º,Paola Del Carmen Villamizar,Tijuana,2,733
2024-2025,Apertura,78º,Mónica Rose Alvarado,Tijuana,2,1064
2024-2025,Apertura,79º,Bianca Esther Mora,Tijuana,2,1153
2024-2025,Apertura,80º,Emily Loriana Flores,Querétaro,2,1268
2024-2025,Apertura,81º,Alondra Karime Camargo,Querétaro,2,1530
2024-2025,Apertura,82º,Kayla Laurynn Fernandez,Atlas,2,369
2024-2025,Apertura,83º,Brenda Damaris Ceren,Atlas,2,1401
2024-2025,Apertura,84º,María Fernanda Daniela Pérez,Atlas,2,1530
2024-2025,Apertura,85º,Sarah Anne Mary Huchet,Cruz Azul,2,607
2024-2025,Apertura,86º,Ana Rosa García,Cruz Azul,2,780
2024-2025,Apertura,87º,Renata Fernanda Huerta,Cruz Azul,2,873
2024-2025,Apertura,88º,Danya Jasmin Gutiérrrez,Cruz Azul,2,902
2024-2025,Apertura,89º,Edith Deyanira Carmona,Cruz Azul,2,1417
2024-2025,Apertura,90º,Valeria Valdez,Cruz Azul,2,1529
2024-2025,Apertura,91º,Elliana Rose Ramirez,León,2,288
2024-2025,Apertura,92º,Yashira Yuleth Barrientos,León,2,625
2024-2025,Apertura,93º,Daniela Calderón,León,2,751
2024-2025,Apertura,94º,Michelle Guadalupe Gutiérrez,Atlético de San Luis,2,120
2024-2025,Apertura,95º,Denisse Alejandra Rivera,Atlético de San Luis,2,846
2024-2025,Apertura,96º,Isidora Victoria Olave,Atlético de San Luis,2,1422
2024-2025,Apertura,97º,Olga Massombo,Mazatlán FC,2,713
2024-2025,Apertura,98º,Sebelle Elysse Rojas,Puebla,2,1222
2024-2025,Apertura,99º,Johana Esperanza Rosas,Puebla,2,1269
2024-2025,Apertura,100º,Kimberli Anahí Gómez,Santos Laguna,2,1177
2024-2025,Apertura,101º,Ana Gabriela Huerta,Necaxa,2,915
2024-2025,Apertura,102º,Carla Monique Montes,Rayadas,1,94
2024-2025,Apertura,103º,Lourdes Sofía Martínez,Rayadas,1,121
2024-2025,Apertura,104º,Marcela Restrepo,Rayadas,1,421
2024-2025,Apertura,105º,Diana Laura Evangelista,Rayadas,1,617
2024-2025,Apertura,106º,Myra Alexandra Delgadillo,Rayadas,1,695
2024-2025,Apertura,107º,Karol Esthefany Bernal,Rayadas,1,783
2024-2025,Apertura,108º,María Fernanda Elizondo,Tigres,1,111
2024-2025,Apertura,109º,Natalia Judith Colín,Tigres,1,253
2024-2025,Apertura,110º,Lydia Nayeli Rangel,Tigres,1,399
2024-2025,Apertura,111º,Joseline Montoya,Tigres,1,443
2024-2025,Apertura,112º,Belén De Jesús Cruz,Tigres,1,694
2024-2025,Apertura,113º,Cristina Del Carmen Ferral,Tigres,1,890
2024-2025,Apertura,114º,Greta Alejandra Espinoza,Tigres,1,1119
2024-2025,Apertura,115º,Rebekah Alysee Valdez,América,1,11
2024-2025,Apertura,116º,Alexa Soto,América,1,82
2024-2025,Apertura,117º,Nancy Guadalupe Antonio,América,1,1110
2024-2025,Apertura,118º,Abril Anahí Fragoso,Pachuca,1,33
2024-2025,Apertura,119º,Shanice Janice Van De Sanden,Pachuca,1,550
2024-2025,Apertura,120º,Amanda Araceli Pérez,Pachuca,1,721
2024-2025,Apertura,121º,Alice Fernanda Soto,Pachuca,1,818
2024-2025,Apertura,122º,Alexandra Guadalupe Godínez,Pachuca,1,956
2024-2025,Apertura,123º,Yirleidis Quejada,Pachuca,1,1153
2024-2025,Apertura,124º,Daniela Frank Flores,Pachuca,1,1233
2024-2025,Apertura,125º,Vaitiare Kenti Robles,Pachuca,1,1366
2024-2025,Apertura,126º,Blanca María Solís,FC Juárez,1,148
2024-2025,Apertura,127º,Mónica Desiree Monsiváis,FC Juárez,1,173
2024-2025,Apertura,128º,Eva Beatriz González,FC Juárez,1,353
2024-2025,Apertura,129º,Amalia Phoebe López,Guadalajara,1,102
2024-2025,Apertura,130º,Kristal Rubi Soto,Guadalajara,1,232
2024-2025,Apertura,131º,Yamile Azenek Franco,Guadalajara,1,424
2024-2025,Apertura,132º,Angélica Araceli Torres,Guadalajara,1,1163
2024-2025,Apertura,133º,Diana Jaqueline Rodríguez,Guadalajara,1,1318
2024-2025,Apertura,134º,Camila Vite,Pumas,1,114
2024-2025,Apertura,135º,Dania Belén Padilla,Pumas,1,989
2024-2025,Apertura,136º,Karen Becerril,Pumas,1,1038
2024-2025,Apertura,137º,Carina Felipe,Pumas,1,1332
2024-2025,Apertura,138º,Paola Chavero,Pumas,1,1350
2024-2025,Apertura,139º,Celia Chainez Bensalem,Toluca,1,336
2024-2025,Apertura,140º,Liliana Rodríguez,Toluca,1,627
2024-2025,Apertura,141º,Diana Paola Monroy,Toluca,1,796
2024-2025,Apertura,142º,Brenda Vega,Toluca,1,1038
2024-2025,Apertura,143º,Mitsy Nayelli Ramirez,Toluca,1,1228
2024-2025,Apertura,144º,Claudia Fernanda Cid,Tijuana,1,127
2024-2025,Apertura,145º,Iraida Guadalupe Fernández,Tijuana,1,223
2024-2025,Apertura,146º,Nathaly Sofía Martínez,Tijuana,1,452
2024-2025,Apertura,147º,Fabiola Villalobos,Tijuana,1,467
2024-2025,Apertura,148º,Andrea González,Tijuana,1,548
2024-2025,Apertura,149º,Ammanda Mariee Marroquin,Tijuana,1,1100
2024-2025,Apertura,150º,Bibiana Guadalupe Quintos,Tijuana,1,1153
2024-2025,Apertura,151º,Daphne Melissa Herrera,Tijuana,1,1249
2024-2025,Apertura,152º,Victoria Sarahí Ceceña,Querétaro,1,383
2024-2025,Apertura,153º,Alejandra Lomelí,Atlas,1,563
2024-2025,Apertura,154º,Jaquelín García,Atlas,1,1330
2024-2025,Apertura,155º,Vivian Obianujuwan Ikechukwu,Cruz Azul,1,577
2024-2025,Apertura,156º,Julissa Fernanda Dávila,Cruz Azul,1,760
2024-2025,Apertura,157º,Ivonne Gutiérrez,Cruz Azul,1,926
2024-2025,Apertura,158º,Itzell Alemán,León,1,370
2024-2025,Apertura,159º,Sanjuana De Jesús Muñoz,León,1,568
2024-2025,Apertura,160º,Vanessa Guadalupe López,León,1,862
2024-2025,Apertura,161º,Yanin Madrid,León,1,895
2024-2025,Apertura,162º,Joana Robles,Atlético de San Luis,1,834
2024-2025,Apertura,163º,Laura Montserrat Parra,Atlético de San Luis,1,1353
2024-2025,Apertura,164º,Farlyn Fernanda Caicedo,Atlético de San Luis,1,1420
2024-2025,Apertura,165º,Sinoxolo Cesane,Mazatlán FC,1,1098
2024-2025,Apertura,166º,Gabriela Rocío Álvarez,Mazatlán FC,1,1205
2024-2025,Apertura,167º,Brenda Judith García,Mazatlán FC,1,1440
2024-2025,Apertura,168º,Joselyn Solís,Puebla,1,94
2024-2025,Apertura,169º,Vania Itzel Moron,Puebla,1,135
2024-2025,Apertura,170º,Venicia Gabriela Juárez,Puebla,1,198
2024-2025,Apertura,171º,Dulce María Méndez,Puebla,1,208
2024-2025,Apertura,172º,Liliana Fernández,Puebla,1,222
2024-2025,Apertura,173º,Anna Jane Loftus,Puebla,1,662
2024-2025,Apertura,174º,Luisa Fernanda De Alba,Puebla,1,796
2024-2025,Apertura,175º,Ahtziri Méndez,Puebla,1,833
2024-2025,Apertura,176º,Rubí Iridian Villegas,Puebla,1,1305
2024-2025,Apertura,177º,María Magalí Del Verdún Cuadrado,Santos Laguna,1,422
2024-2025,Apertura,178º,Frida Carolina Cussin,Santos Laguna,1,574
2024-2025,Apertura,179º,Lia Mariel Romero,Santos Laguna,1,588
2024-2025,Apertura,180º,Yessenia Esmeralda Novella,Santos Laguna,1,904
2024-2025,Apertura,181º,Michel Anahy Ruiz,Santos Laguna,1,1037
2024-2025,Apertura,182º,Havi Larisa Ibarra,Santos Laguna,1,1409
2024-2025,Apertura,183º,Quetzali Jahoumara Barranco,Necaxa,1,581
2024-2025,Apertura,184º,Athziri Guadalupe Alonso,Necaxa,1,817
