Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2018-2019,Clausura,1º,Claudia Fabiola Ibarra,Atlas,7,1419
2018-2019,Clausura,1º,Isela Guadalupe Ojeda,Santos Laguna,7,822
2018-2019,Clausura,3º,Aylin Ariana Aviléz,Rayadas,6,615
2018-2019,Clausura,4º,Mónica Desiree Monsiváis,Rayadas,6,690
2018-2019,Clausura,5º,Katty Martínez,Tigres,6,830
2018-2019,Clausura,6º,Sanjuana De Jesús Muñoz,Pachuca,6,1065
2018-2019,Clausura,7º,Ana Paola López,Pachuca,6,1248
2018-2019,Clausura,8º,Lizbeth Ángeles,Pachuca,6,1302
2018-2019,Clausura,9º,Edna Fabiola Santamaria,Pumas,6,1384
2018-2019,Clausura,10º,Daniela Lizbeth Solís,Rayadas,5,1051
2018-2019,Clausura,11º,Daniela Espinosa,América,5,1033
2018-2019,Clausura,12º,Lucero Ximena Cuevas,América,5,1147
2018-2019,Clausura,13º,Lizbeth Jacqueline Ovalle,Tigres,5,925
2018-2019,Clausura,14º,Belén De Jesús Cruz,Tigres,5,1268
2018-2019,Clausura,15º,Mónica Ocampo,Pachuca,5,748
2018-2019,Clausura,16º,Joana Robles,Atlas,5,999
2018-2019,Clausura,17º,Alison Hecnary González,Atlas,5,1202
2018-2019,Clausura,18º,Dania Nicole Pérez,Guadalajara,5,1220
2018-2019,Clausura,19º,Gloria Narváez,Lobos BUAP,5,1054
2018-2019,Clausura,20º,Cinthya Peraza,Santos Laguna,5,1249
2018-2019,Clausura,21º,Dalia Isabel Molina,M. Morelia,5,1389
2018-2019,Clausura,22º,Norma Priscila Gaitan,Cruz Azul,5,1286
2018-2019,Clausura,23º,Alicia Cervantes,Rayadas,4,885
2018-2019,Clausura,24º,Dinora Lizeth Garza,Rayadas,4,1030
2018-2019,Clausura,25º,Diana Victoria González,América,4,526
2018-2019,Clausura,26º,Esmeralda Verdugo,América,4,1037
2018-2019,Clausura,27º,Liliana Mercado,Tigres,4,1193
2018-2019,Clausura,28º,Mariela Jiménez,Puebla,4,1384
2018-2019,Clausura,29º,Yamile Azenek Franco,León,4,1128
2018-2019,Clausura,30º,Denisse Lizette Valdez,León,4,1238
2018-2019,Clausura,31º,Daniela Itzaxaya García,Pumas,4,1215
2018-2019,Clausura,32º,Abigail De Jesús,Lobos BUAP,4,1166
2018-2019,Clausura,33º,Liliana Hernández,Veracruz,4,1185
2018-2019,Clausura,34º,Andrea Hernández,Toluca,4,1170
2018-2019,Clausura,35º,Rebeca Bernal,Rayadas,3,1170
2018-2019,Clausura,36º,Liliana Rodríguez,Tigres,3,156
2018-2019,Clausura,37º,Yanin Madrid,Pachuca,3,625
2018-2019,Clausura,38º,Esbeydi Viridiana Salazar,Pachuca,3,708
2018-2019,Clausura,39º,Ana Rosa García,Atlas,3,569
2018-2019,Clausura,40º,Adriana Iturbide,Atlas,3,804
2018-2019,Clausura,41º,Damaris Michel Godínez,Puebla,3,1368
2018-2019,Clausura,42º,María José López,Puebla,3,1400
2018-2019,Clausura,43º,Michelle Alejandra Vargas,León,3,514
2018-2019,Clausura,44º,Selene Itzel Valera,León,3,1440
2018-2019,Clausura,45º,Ana Gabriela Huerta,Guadalajara,3,518
2018-2019,Clausura,46º,Kristal Rubi Soto,Guadalajara,3,931
2018-2019,Clausura,47º,Estefany Elizabeth Hernández,Pumas,3,908
2018-2019,Clausura,48º,Estela Gómez,M. Morelia,3,1020
2018-2019,Clausura,49º,María Guadalupe Cruzaley,M. Morelia,3,1350
2018-2019,Clausura,50º,Sharon Andrea Barba,Cruz Azul,3,1024
2018-2019,Clausura,51º,Valeria Abigail Barajas,Tijuana,3,1175
2018-2019,Clausura,52º,Alejandra Zoe Tapia,Querétaro,3,854
2018-2019,Clausura,53º,Elisa Paola Espino,Querétaro,3,1044
2018-2019,Clausura,54º,Diana Laura Evangelista,Rayadas,2,308
2018-2019,Clausura,55º,Norali Armenta,Rayadas,2,582
2018-2019,Clausura,56º,Mariana Cadena,Rayadas,2,1268
2018-2019,Clausura,57º,Selena Carolina Castillo,Rayadas,2,1440
2018-2019,Clausura,58º,Dorian Montserrat Hernández,América,2,389
2018-2019,Clausura,59º,Dayana Joselyn Cazares,América,2,672
2018-2019,Clausura,60º,Betzy Casandra Cuevas,América,2,1183
2018-2019,Clausura,61º,Lydia Nayeli Rangel,Tigres,2,419
2018-2019,Clausura,62º,Nancy Guadalupe Antonio,Tigres,2,740
2018-2019,Clausura,63º,Evelyn Teresa González,Tigres,2,1184
