Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2018-2019,Clausura,64º,Diana Izbeth Fierro,Pachuca,2,1033
2018-2019,Clausura,65º,Alejandra Franco,Atlas,2,1260
2018-2019,Clausura,66º,María Fernanda Daniela Pérez,Atlas,2,1440
2018-2019,Clausura,67º,Perla Rocío Navarrete,León,2,1070
2018-2019,Clausura,68º,Miriam Castillo,Guadalajara,2,1440
2018-2019,Clausura,69º,Flor Rocío Rodríguez,Lobos BUAP,2,282
2018-2019,Clausura,70º,María Lourdes Ramírez,Lobos BUAP,2,1352
2018-2019,Clausura,71º,Yahaira Esmeralda Flores,Santos Laguna,2,728
2018-2019,Clausura,72º,Brenda Nayeli Carvajal,Toluca,2,806
2018-2019,Clausura,73º,Mariel Román,Toluca,2,869
2018-2019,Clausura,74º,Alejandra Calderón,M. Morelia,2,668
2018-2019,Clausura,75º,María Guadalupe Ruíz,M. Morelia,2,1171
2018-2019,Clausura,76º,Ximena Mendoza,Cruz Azul,2,879
2018-2019,Clausura,77º,Reyna Sabina Velázquez,Cruz Azul,2,1029
2018-2019,Clausura,78º,Daniela Janet Monroy,Cruz Azul,2,1347
2018-2019,Clausura,79º,Inglis Yoana Hernández,Tijuana,2,1425
2018-2019,Clausura,80º,Libeth Paulina Castro,Necaxa,2,754
2018-2019,Clausura,81º,Liliana Sánchez,Necaxa,2,1440
2018-2019,Clausura,82º,Sandy Paulina Cruzado,Querétaro,2,691
2018-2019,Clausura,83º,Andrea Guadalupe Romero,Querétaro,2,876
2018-2019,Clausura,84º,Melissa Leilani Arredondo,Querétaro,2,1070
2018-2019,Clausura,85º,Pamela Andrea Verdirame,Rayadas,1,118
2018-2019,Clausura,86º,Gabriela Rocío Álvarez,Rayadas,1,438
2018-2019,Clausura,87º,Hilary Margarita García,Rayadas,1,695
2018-2019,Clausura,88º,Valeria Valdez,Rayadas,1,1101
2018-2019,Clausura,89º,Alejandra Guadalupe Curiel,América,1,77
2018-2019,Clausura,90º,Alondra González,América,1,155
2018-2019,Clausura,91º,Ximena Elizabeth Rios,América,1,880
2018-2019,Clausura,92º,Estefanía Fuentes,América,1,979
2018-2019,Clausura,93º,Vanessa González,Tigres,1,47
2018-2019,Clausura,94º,Blanca María Solís,Tigres,1,221
2018-2019,Clausura,95º,María Fernanda Elizondo,Tigres,1,563
2018-2019,Clausura,96º,Jazmín Enrigue,Tigres,1,845
2018-2019,Clausura,97º,Greta Alejandra Espinoza,Tigres,1,1305
2018-2019,Clausura,98º,Karen Alejandra Díaz,Pachuca,1,759
2018-2019,Clausura,99º,Karen Itzayana Gómez,Pachuca,1,1040
2018-2019,Clausura,100º,Valeria Razo,Atlas,1,120
2018-2019,Clausura,101º,Ana Anayeli Rodríguez,Atlas,1,663
2018-2019,Clausura,102º,Zellyka Guadalupe Arce,Atlas,1,1361
2018-2019,Clausura,103º,Mariam Nataly Castro,Puebla,1,977
2018-2019,Clausura,104º,Guillermina Martínez,Puebla,1,1116
2018-2019,Clausura,105º,Perla Cristina Morones,León,1,142
2018-2019,Clausura,106º,Dariana Rubio,León,1,684
2018-2019,Clausura,107º,Karla Daniela Zempoalteca,León,1,1241
2018-2019,Clausura,108º,Priscila Guadalupe Padilla,Guadalajara,1,1260
2018-2019,Clausura,109º,Arlett Tovar,Guadalajara,1,1273
2018-2019,Clausura,110º,Tania Paola Morales,Guadalajara,1,1289
2018-2019,Clausura,111º,Hireri Velázquez,Pumas,1,428
2018-2019,Clausura,112º,Paola Chavero,Pumas,1,726
2018-2019,Clausura,113º,Patricia De María Jardón,Pumas,1,854
2018-2019,Clausura,114º,Lucia Rodríguez,Pumas,1,1134
2018-2019,Clausura,115º,Dania Belén Padilla,Pumas,1,1188
2018-2019,Clausura,116º,Ricla Rajunov,Pumas,1,1193
2018-2019,Clausura,117º,Dayán Vianey Fuentes,Lobos BUAP,1,680
2018-2019,Clausura,118º,Itzia Tenahua,Lobos BUAP,1,1236
2018-2019,Clausura,119º,Dulce Eileen Martínez,Lobos BUAP,1,1421
2018-2019,Clausura,120º,Claudia Fernanda Cid,Lobos BUAP,1,1440
2018-2019,Clausura,121º,Linda Lizbeth Valdéz,Santos Laguna,1,661
2018-2019,Clausura,122º,Karla Lorena Martínez,Santos Laguna,1,780
2018-2019,Clausura,123º,Alexxandra Ramírez,Santos Laguna,1,900
2018-2019,Clausura,124º,Nancy Lizbeth Quiñones,Santos Laguna,1,1440
2018-2019,Clausura,125º,Zaira Ibeth Fortis,Veracruz,1,339
2018-2019,Clausura,126º,Ixzayana Viveros,Veracruz,1,452
2018-2019,Clausura,127º,Diana Sarahí Zacarías,Veracruz,1,494
2018-2019,Clausura,128º,Martha Gendrón,Veracruz,1,806
2018-2019,Clausura,129º,Wendy Yamileth Morales,Veracruz,1,1335
2018-2019,Clausura,130º,Ingrid Hidalgo,Toluca,1,298
2018-2019,Clausura,131º,Zaira Carolina Miranda,Toluca,1,932
2018-2019,Clausura,132º,Karen Becerril,Toluca,1,934
2018-2019,Clausura,133º,Dirce Delgado,Toluca,1,962
2018-2019,Clausura,134º,María Natalia Mauleon,Toluca,1,1047
2018-2019,Clausura,135º,Kenya Téllez,Toluca,1,1208
2018-2019,Clausura,136º,Lizette Montserrat Rodríguez,M. Morelia,1,460
2018-2019,Clausura,137º,Isamar Toledo,M. Morelia,1,488
2018-2019,Clausura,138º,Nadia Enira Barriga,M. Morelia,1,516
2018-2019,Clausura,139º,Diana Michelle Guatemala,M. Morelia,1,1154
2018-2019,Clausura,140º,Karen Gutierrez,Cruz Azul,1,57
2018-2019,Clausura,141º,Daniela Osorio,Cruz Azul,1,238
2018-2019,Clausura,142º,Martha Natalia Enciso,Cruz Azul,1,1162
2018-2019,Clausura,143º,Itzel Cruz,Cruz Azul,1,1411
2018-2019,Clausura,144º,Patricia Ameyalli Gutiérrez,Tijuana,1,736
2018-2019,Clausura,145º,Magdalena Carolina Zepeda,Tijuana,1,942
2018-2019,Clausura,146º,Alondra Karime Camargo,Tijuana,1,1197
2018-2019,Clausura,147º,Sheila Odeth Pulido,Tijuana,1,1262
2018-2019,Clausura,148º,Karen Miroslava Maprigat,Tijuana,1,1376
2018-2019,Clausura,149º,Vyaney Alejandra Zorrilla,Necaxa,1,302
2018-2019,Clausura,150º,Claudia Magdalena Sánchez,Necaxa,1,653
2018-2019,Clausura,151º,Brianda Escobedo,Necaxa,1,656
2018-2019,Clausura,152º,Nohely Deneb Enriquez,Necaxa,1,757
2018-2019,Clausura,153º,Alejandra Zaragoza,Necaxa,1,867
2018-2019,Clausura,154º,Luz María Ruíz,Querétaro,1,422
2018-2019,Clausura,155º,Fátima Servín,Querétaro,1,507
2018-2019,Clausura,156º,Sofia Alvarez,Querétaro,1,746
2018-2019,Clausura,157º,Rebeca Villuendas,Querétaro,1,957
2018-2019,Clausura,158º,Karen Elizabeth Hernández,Querétaro,1,1027
