Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2021-2022,Clausura,1º,Alicia Cervantes,Guadalajara,14,1090
2021-2022,Clausura,2º,Verónica Charlyn Corral,Pachuca,13,1444
2021-2022,Clausura,3º,Sandra Stephany Mayor,Tigres,11,1368
2021-2022,Clausura,4º,Scarlett Nefer Camberos,América,11,1214
2021-2022,Clausura,5º,Uchenna Grace Kanu,Tigres,10,1135
2021-2022,Clausura,6º,Mónica Desiree Monsiváis,Rayadas,9,958
2021-2022,Clausura,7º,Katty Martínez,América,9,1245
2021-2022,Clausura,8º,Adriana Iturbide,Atlas,9,1255
2021-2022,Clausura,9º,Destinney Rosalía Duron,Toluca,9,1322
2021-2022,Clausura,10º,Daniela Calderón,León,9,1454
2021-2022,Clausura,11º,Mia Renee Fishel,Tigres,8,958
2021-2022,Clausura,12º,Beatriz Parra,Atlético de San Luis,8,1223
2021-2022,Clausura,13º,Luciana Nicolé García,Necaxa,8,1419
2021-2022,Clausura,14º,Christina Marie Burkenroad,Rayadas,7,1184
2021-2022,Clausura,15º,Rebeca Bernal,Rayadas,7,1253
2021-2022,Clausura,16º,Renae Nicole Cuéllar,Tijuana,7,1340
2021-2022,Clausura,17º,Daniela Lizbeth Solís,Rayadas,6,1323
2021-2022,Clausura,18º,Diana Laura García,Rayadas,6,1348
2021-2022,Clausura,19º,Sarah Jacquelyn Luebbert,América,6,1206
2021-2022,Clausura,20º,Sanjuana De Jesús Muñoz,Tijuana,6,1292
2021-2022,Clausura,21º,Cinthya Peraza,Santos Laguna,6,1381
2021-2022,Clausura,22º,Aylin Ariana Aviléz,Rayadas,5,719
2021-2022,Clausura,23º,María Fernanda Elizondo,Tigres,5,236
2021-2022,Clausura,24º,Stephanie Mariana Ribeiro,Pumas,5,923
2021-2022,Clausura,25º,Magaly Cortés,Cruz Azul,5,851
2021-2022,Clausura,26º,Karen Becerril,Toluca,5,1421
2021-2022,Clausura,27º,Alexia Nayeli Villanueva,Santos Laguna,5,1158
2021-2022,Clausura,28º,Dania Nicole Pérez,Rayadas,4,1030
2021-2022,Clausura,29º,Christian Carolina Jaramillo,Guadalajara,4,1140
2021-2022,Clausura,30º,Lizbeth Jacqueline Ovalle,Tigres,4,1410
2021-2022,Clausura,31º,Mónica Ocampo,Pachuca,4,662
2021-2022,Clausura,32º,Esbeydi Viridiana Salazar,Pachuca,4,1079
2021-2022,Clausura,33º,Claudia Fabiola Ibarra,Atlas,4,993
2021-2022,Clausura,34º,Dalia Isabel Molina,Cruz Azul,4,911
2021-2022,Clausura,35º,Daniela Sánchez,Querétaro,4,1128
2021-2022,Clausura,36º,Sonia Vázquez,Querétaro,4,1502
2021-2022,Clausura,37º,Lydia Nayeli Rangel,Tigres,3,670
2021-2022,Clausura,38º,María Natalia Mauleon,América,3,371
2021-2022,Clausura,39º,Daniela Espinosa,América,3,868
2021-2022,Clausura,40º,Verónica Raquel Pérez,Atlas,3,1419
2021-2022,Clausura,41º,Angelina Nicole Hix,Tijuana,3,1032
2021-2022,Clausura,42º,Mariel Román,Toluca,3,987
2021-2022,Clausura,43º,Diana Michelle Guatemala,Toluca,3,1295
2021-2022,Clausura,44º,Jordana Pérez,Atlético de San Luis,3,130
2021-2022,Clausura,45º,Emily Misdiel González,Atlético de San Luis,3,548
2021-2022,Clausura,46º,Fanny Lizeth Grano,Necaxa,3,1385
2021-2022,Clausura,47º,Connie Elizabeth Caliz,Mazatlán FC,3,1261
2021-2022,Clausura,48º,Verónica Martins,Puebla,3,362
2021-2022,Clausura,49º,Celeste Alejandra Vidal,FC Juárez,3,610
2021-2022,Clausura,50º,Jasmine Alexis Casarez,FC Juárez,3,1133
2021-2022,Clausura,51º,Diana Laura Evangelista,Rayadas,2,623
2021-2022,Clausura,52º,Michelle González,Guadalajara,2,1256
2021-2022,Clausura,53º,Casandra Montero,Guadalajara,2,1308
2021-2022,Clausura,54º,Joseline Montoya,Guadalajara,2,1385
2021-2022,Clausura,55º,Kristal Rubi Soto,Guadalajara,2,1390
2021-2022,Clausura,56º,Nicolette Andrea Hernández,América,2,427
2021-2022,Clausura,57º,Betzy Casandra Cuevas,América,2,1370
2021-2022,Clausura,58º,Janelly Farias,América,2,1460
2021-2022,Clausura,59º,Natalia Inés Gómez Junco,Pachuca,2,624
2021-2022,Clausura,60º,Lizbeth Ángeles,Pachuca,2,1149
2021-2022,Clausura,61º,Zellyka Guadalupe Arce,Atlas,2,1141
2021-2022,Clausura,62º,Aerial Lynndonna Chavarin,Pumas,2,487
2021-2022,Clausura,63º,Marylin Viridiana Díaz,Pumas,2,1421
2021-2022,Clausura,64º,Claudia Fernanda Cid,Cruz Azul,2,765
2021-2022,Clausura,65º,Diana Laura García,Cruz Azul,2,1338
2021-2022,Clausura,66º,Ana Gabriela Lozada,Cruz Azul,2,1530
2021-2022,Clausura,67º,Zaira Carolina Miranda,Toluca,2,506
2021-2022,Clausura,68º,Stephanie Baz,Toluca,2,581
2021-2022,Clausura,69º,Natalia Judith Colín,Toluca,2,595
2021-2022,Clausura,70º,Mariana Díaz Leal,Querétaro,2,963
2021-2022,Clausura,71º,Jaquelín García,Querétaro,2,1166
2021-2022,Clausura,72º,Mariela Jiménez,Santos Laguna,2,748
2021-2022,Clausura,73º,Marcela Valera,Santos Laguna,2,1186
2021-2022,Clausura,74º,Flor Rocío Rodríguez,Necaxa,2,561
2021-2022,Clausura,75º,Montserrat Peña,Mazatlán FC,2,1178
2021-2022,Clausura,76º,Fátima Guadalupe Bracamonte,León,2,664
2021-2022,Clausura,77º,María Elena Sainz,Puebla,2,1313
2021-2022,Clausura,78º,Dulce Eileen Martínez,Puebla,2,1340
2021-2022,Clausura,79º,Alejandra Guadalupe Curiel,FC Juárez,2,643
2021-2022,Clausura,80º,Perla Rocío Navarrete,FC Juárez,2,644
2021-2022,Clausura,81º,Barbara Klarissa Olivieri,Rayadas,1,111
2021-2022,Clausura,82º,Mónica Irina Flores,Rayadas,1,806
2021-2022,Clausura,83º,Valeria Del Campo,Rayadas,1,824
2021-2022,Clausura,84º,Yamile Azenek Franco,Rayadas,1,1174
2021-2022,Clausura,85º,Victoria Lizbeth Acevedo,Guadalajara,1,344
2021-2022,Clausura,86º,Karen Irasema Luna,América,1,1025
2021-2022,Clausura,87º,Andrea Balcazar,Pachuca,1,340
2021-2022,Clausura,88º,Selene Deyanira Cortés,Pachuca,1,511
2021-2022,Clausura,89º,Sulma Yaderia Plancarte,Atlas,1,249
2021-2022,Clausura,90º,Alejandra Lomelí,Atlas,1,277
2021-2022,Clausura,91º,Joana Robles,Atlas,1,771
2021-2022,Clausura,92º,Julissa Fernanda Dávila,Atlas,1,876
2021-2022,Clausura,93º,Ana Rosa García,Atlas,1,986
2021-2022,Clausura,94º,María Fernanda Daniela Pérez,Atlas,1,999
2021-2022,Clausura,95º,Karen Andrea García,Atlas,1,1130
2021-2022,Clausura,96º,Norma Janeth Hernández,Atlas,1,1250
2021-2022,Clausura,97º,Catherine Kyara Rodríguez,Pumas,1,124
2021-2022,Clausura,98º,Natalia Macías Valadez,Pumas,1,417
2021-2022,Clausura,99º,Edna Fabiola Santamaria,Pumas,1,450
2021-2022,Clausura,100º,Paola Chavero,Pumas,1,804
2021-2022,Clausura,101º,Deneva Cagigas,Pumas,1,816
2021-2022,Clausura,102º,Dinora Lizeth Garza,Pumas,1,921
2021-2022,Clausura,103º,Dania Belén Padilla,Pumas,1,1321
2021-2022,Clausura,104º,Bibiana Guadalupe Quintos,Pumas,1,1358
2021-2022,Clausura,105º,Rosa Iris Aguiar,Tijuana,1,158
2021-2022,Clausura,106º,Inglis Yoana Hernández,Tijuana,1,885
2021-2022,Clausura,107º,Paola Del Carmen Villamizar,Tijuana,1,898
2021-2022,Clausura,108º,Esmeralda Verdugo,Tijuana,1,927
2021-2022,Clausura,109º,Dulce Maria Alvarado,Tijuana,1,977
2021-2022,Clausura,110º,Annia Stephany Mejía,Tijuana,1,1334
2021-2022,Clausura,111º,Joselyn De La Rosa,Tijuana,1,1357
2021-2022,Clausura,112º,Karime Abud,Cruz Azul,1,140
2021-2022,Clausura,113º,Ana Gabriela Huerta,Cruz Azul,1,506
2021-2022,Clausura,114º,Michelle Francini Montero,Cruz Azul,1,553
2021-2022,Clausura,115º,Martha Natalia Enciso,Cruz Azul,1,808
2021-2022,Clausura,116º,Gabriela Rocío Álvarez,Cruz Azul,1,985
2021-2022,Clausura,117º,Tania Paola Morales,Cruz Azul,1,994
2021-2022,Clausura,118º,Nancy Zaragoza,Cruz Azul,1,1352
2021-2022,Clausura,119º,Karla Lorena Martínez,Toluca,1,1057
2021-2022,Clausura,120º,Patricia De María Jardón,Toluca,1,1274
2021-2022,Clausura,121º,Itzia Tenahua,Atlético de San Luis,1,416
2021-2022,Clausura,122º,Magdalena Carolina Zepeda,Atlético de San Luis,1,680
2021-2022,Clausura,123º,Rubí Sarahí Ruvalcaba,Atlético de San Luis,1,698
2021-2022,Clausura,124º,Daniela Carrandi,Atlético de San Luis,1,754
2021-2022,Clausura,125º,Ana Karen López,Atlético de San Luis,1,765
2021-2022,Clausura,126º,Estefania Izaguirre,Atlético de San Luis,1,855
2021-2022,Clausura,127º,Isabel Kasis,Atlético de San Luis,1,1182
2021-2022,Clausura,128º,Rebeca Villuendas,Atlético de San Luis,1,1292
2021-2022,Clausura,129º,Leidy Lizeth Ramos,Querétaro,1,327
2021-2022,Clausura,130º,Alondra Karime Camargo,Querétaro,1,898
2021-2022,Clausura,131º,Alejandra Montserrat Medina,Querétaro,1,906
2021-2022,Clausura,132º,Jazmín Enrigue,Querétaro,1,984
2021-2022,Clausura,133º,Estela Gómez,Santos Laguna,1,776
2021-2022,Clausura,134º,Joseline Andrea Hernández,Santos Laguna,1,965
2021-2022,Clausura,135º,Andrea Alejandra Balderas,Necaxa,1,473
2021-2022,Clausura,136º,Saira Cecilia López,Necaxa,1,508
2021-2022,Clausura,137º,Brenda León,Necaxa,1,988
2021-2022,Clausura,138º,Andrea Monserrat Martínez,Necaxa,1,1082
2021-2022,Clausura,139º,Norma Priscila Gaitan,Mazatlán FC,1,486
2021-2022,Clausura,140º,María Magalí Del Verdún Cuadrado,Mazatlán FC,1,587
2021-2022,Clausura,141º,Michell Cecilia Guerrero,Mazatlán FC,1,728
2021-2022,Clausura,142º,Ixchebel Tamara Romero,Mazatlán FC,1,1381
2021-2022,Clausura,143º,Alexandra De La Caridad Hernández Ynurreta,León,1,176
2021-2022,Clausura,144º,Sandra Paola Camacho,León,1,216
2021-2022,Clausura,145º,Dalia Nailea Vidrio,León,1,431
2021-2022,Clausura,146º,Marta Alexandra Cox Villarreal,León,1,546
2021-2022,Clausura,147º,Yazmin Araceli Álvarez,León,1,1002
2021-2022,Clausura,148º,Selena Carolina Castillo,León,1,1209
2021-2022,Clausura,149º,Paulina Gómez,León,1,1409
2021-2022,Clausura,150º,María Del Pilar Aceves,Puebla,1,402
2021-2022,Clausura,151º,Jessica Liliana Tenorio,Puebla,1,598
2021-2022,Clausura,152º,Estefany Elizabeth Hernández,Puebla,1,1012
2021-2022,Clausura,153º,Yenifer Britany García,FC Juárez,1,129
2021-2022,Clausura,154º,Karen Yozaleth González,FC Juárez,1,227
2021-2022,Clausura,155º,Susana Romero,FC Juárez,1,405
2021-2022,Clausura,156º,Silvia Elicerio,FC Juárez,1,771
2021-2022,Clausura,157º,Rubí Iridian Villegas,FC Juárez,1,1075
2021-2022,Clausura,158º,Paola González,FC Juárez,1,1086
2021-2022,Clausura,159º,Miah Alexia Zuazua,FC Juárez,1,1231
2021-2022,Clausura,160º,Andrea Hernández,FC Juárez,1,1277
