Club,Total Tarjetas,Porcentaje por Club,Promedio por Minutos,Promedio por Partido
Pachuca,39,7.47%,39.23,2.29
Necaxa,38,7.28%,40.26,2.24
Queretaro,35,6.70%,43.71,2.06
Puebla,34,6.51%,45.00,2.00
Atletico de San Luis,33,6.32%,46.36,1.94
Leon,32,6.13%,47.81,1.88
Toluca,32,6.13%,47.81,1.88
Tijuana,30,5.75%,51.00,1.76
Guadalajara,29,5.56%,52.76,1.71
Mazatlan FC,29,5.56%,52.76,1.71
Pumas,29,5.56%,52.76,1.71
FC Juarez,28,5.36%,54.64,1.65
Santos Laguna,28,5.36%,54.64,1.65
Tigres,26,4.98%,58.85,1.53
Atlas,22,4.21%,69.55,1.29
Rayadas,22,4.21%,69.55,1.29
America,18,3.45%,85.00,1.06
Cruz Azul,18,3.45%,85.00,1.06
