Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7
2022-2023,Clausura,1º,Verónica Charlyn Corral,Pachuca,20,1520
2022-2023,Clausura,2º,Jennifer Hermoso,Pachuca,18,1479
2022-2023,Clausura,3º,Christina Marie Burkenroad,Rayadas,15,1283
2022-2023,Clausura,4º,Mia Renee Fishel,Tigres,13,1341
2022-2023,Clausura,5º,Kiana Angélica Palacios,América,13,993
2022-2023,Clausura,6º,Alicia Cervantes,Guadalajara,10,522
2022-2023,Clausura,7º,Lizbeth Jacqueline Ovalle,Tigres,9,1365
2022-2023,Clausura,8º,María Natalia Mauleon,América,9,1061
2022-2023,Clausura,9º,Renae Nicole Cuéllar,Tijuana,8,1008
2022-2023,Clausura,10º,Sandra Stephany Mayor,Tigres,7,990
2022-2023,Clausura,11º,Christian Carolina Jaramillo,Guadalajara,7,1530
2022-2023,Clausura,12º,Jasmine Alexis Casarez,FC Juárez,7,1455
2022-2023,Clausura,13º,Daniela Espinosa,Tijuana,7,1169
2022-2023,Clausura,14º,Kimberli Anahí Gómez,Pumas,7,799
2022-2023,Clausura,15º,Alexia Nayeli Villanueva,Santos Laguna,7,1500
2022-2023,Clausura,16º,Chinwendu Verónica Ihezuo,Rayadas,6,799
2022-2023,Clausura,17º,Maricarmen Reyes,Tigres,6,898
2022-2023,Clausura,18º,Katty Martínez,América,6,941
2022-2023,Clausura,19º,Miah Alexia Zuazua,FC Juárez,6,1039
2022-2023,Clausura,20º,Carolina Paola Venegas,Atlas,6,863
2022-2023,Clausura,21º,Destinney Rosalía Duron,Toluca,6,915
2022-2023,Clausura,22º,Sofía Varela,Santos Laguna,6,1143
2022-2023,Clausura,23º,Adriana Iturbide,Guadalajara,5,996
2022-2023,Clausura,24º,Gabriela Valenzuela,Guadalajara,5,1158
2022-2023,Clausura,25º,Blanca María Solís,FC Juárez,5,887
2022-2023,Clausura,26º,Myra Alexandra Delgadillo,FC Juárez,5,1221
2022-2023,Clausura,27º,Mariel Román,Toluca,5,1151
2022-2023,Clausura,28º,Brenda Woch Da Graca,Toluca,5,1400
2022-2023,Clausura,29º,Daniela Carrandi,Atlético de San Luis,5,1422
2022-2023,Clausura,30º,Aylin Ariana Aviléz,Rayadas,4,635
2022-2023,Clausura,31º,Rebeca Bernal,Rayadas,4,1369
2022-2023,Clausura,32º,Uchenna Grace Kanu,Tigres,4,135
2022-2023,Clausura,33º,Andrea Pereira,América,4,1350
2022-2023,Clausura,34º,Joseline Montoya,Guadalajara,4,1312
2022-2023,Clausura,35º,Luz Aida Duarte,Pumas,4,360
2022-2023,Clausura,36º,Yashira Yuleth Barrientos,León,4,604
2022-2023,Clausura,37º,Mariana Valeria Larroquette,León,4,1093
2022-2023,Clausura,38º,Daniela Calderón,León,4,1356
2022-2023,Clausura,39º,Daniela Lizbeth Solís,Rayadas,3,500
2022-2023,Clausura,40º,Diana Laura Evangelista,Rayadas,3,1250
2022-2023,Clausura,41º,Belén De Jesús Cruz,Tigres,3,620
2022-2023,Clausura,42º,Alison Hecnary González,América,3,472
2022-2023,Clausura,43º,Scarlett Nefer Camberos,América,3,519
2022-2023,Clausura,44º,Sarah Jacquelyn Luebbert,América,3,591
2022-2023,Clausura,45º,Aurelie Anne Sophie Kaci,América,3,1204
2022-2023,Clausura,46º,Damaris Michel Godínez,Guadalajara,3,1463
2022-2023,Clausura,47º,Alice Fernanda Soto,Pachuca,3,977
2022-2023,Clausura,48º,Jermaine Seoposenwe,FC Juárez,3,987
2022-2023,Clausura,49º,María Fernanda Daniela Pérez,Atlas,3,783
2022-2023,Clausura,50º,Brenda Damaris Ceren,Atlas,3,981
2022-2023,Clausura,51º,Claudia Fabiola Ibarra,Atlas,3,1193
2022-2023,Clausura,52º,Valeria Razo,Atlas,3,1254
2022-2023,Clausura,53º,Paola Del Carmen Villamizar,Tijuana,3,1418
2022-2023,Clausura,54º,Stephanie Mariana Ribeiro,Pumas,3,414
2022-2023,Clausura,55º,Venicia Gabriela Juárez,Pumas,3,686
2022-2023,Clausura,56º,Marylin Viridiana Díaz,Pumas,3,1505
2022-2023,Clausura,57º,Mayalu Ann Rausch,León,3,865
2022-2023,Clausura,58º,Leidy Lizeth Ramos,Querétaro,3,921
2022-2023,Clausura,59º,Itzia Tenahua,Atlético de San Luis,3,437
2022-2023,Clausura,60º,Beatriz Parra,Atlético de San Luis,3,902
2022-2023,Clausura,61º,Cinthya Peraza,Santos Laguna,3,1110
2022-2023,Clausura,62º,Brenda Judith García,Puebla,3,825
2022-2023,Clausura,63º,Diana Elizabeth Anguiano,Necaxa,3,1322
2022-2023,Clausura,64º,Carlee Rose Giammona,Rayadas,2,680
2022-2023,Clausura,65º,Yamile Azenek Franco,Rayadas,2,998
