Club,Total Tarjetas,Porcentaje por Club,Promedio por Minutos,Promedio por Partido
Tigres,10,22.73%,153.00,0.59
Pachuca,8,18.18%,191.25,0.47
Rayadas,8,18.18%,191.25,0.47
America,7,15.91%,218.57,0.41
Guadalajara,4,9.09%,382.50,0.24
FC Juarez,3,6.82%,510.00,0.18
Pumas,2,4.55%,765.00,0.12
Toluca,2,4.55%,765.00,0.12
